"stage","Organization","Metric","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027"
6.7,"Navy","Amount_OMB23_GDP21",56386583.5960501,67331061.0834579,55325766.3364974,55348691.3046543,50562757.5046511,40669678.8382158,66330121.0807977,68054166.5824441,85808297.6666863,72761029.6389588,68974695.8465267,71042431.9649682,76892822.59515,59084533.9758003,70101584.2122678,58771377.0545587,66202267.1071774,66042614.8906605,81812384.2925618,97340269.9639841,97538693.218516,107058549.303866,98858187.5742828,106239000,127826892.30877,117774368.43345,108913815.533662,100259850.554568,98962900.2670429,98483284.0000646
6.1,"Air Force","Amount_Then_Year",,,,,,,,,,,,24669000,,,,,,,,,,,,,,,,,,
6.2,"Air Force","Amount_Then_Year",83760000,89843000,100677000,110705000,137449000,133843000,128528000,132760000,146789000,172167000,177848000,209351000,213092000,196528000,205195000,193453000,169190000,124701000,152656000,145328000,159450000,171512000,196823000,188291000,210888000,151417000,151941000,156870000,160315000,163957000
6.3,"Air Force","Amount_Then_Year",63275000,69328000,72464000,93238000,101998000,99549000,72849000,59729000,81886000,92553000,87478000,108081000,152969000,116132000,83370000,103576000,101910000,61819000,119836000,57153000,74836000,73938000,78047000,40152000,49445000,49013000,64013000,81027000,82845000,84688000
6.4,"Air Force","Amount_Then_Year",,,,,,,,,,,,,,,,82278000,48194000,79887000,221603000,287679000,565450000,696099000,647850000,642581000,583712000,353658000,757468000,917761000,937646000,955867000
6.5,"Air Force","Amount_Then_Year",190758959.789656,137001811.904175,66350115.13158,157278500,425280138.382957,442492182.777728,422824856.961249,572827593.65967,568389446.22665,442587144.30112,569294028.853641,515725610.288755,445539895.102434,205156237.84222,99384824.900129,169871983.249749,74282939.767992,99693618.4836,61126070.967144,52307692.32,,,,,,,,,,
6.7,"Air Force","Amount_Then_Year",93487000,93338000,151546000,154308000,163498000,174205000,169947000,141803000,146527000,152969000,158560000,146359000,147200000,115290000,168390000,114802000,86470000,93160000,104092000,106049000,105664000,105664000,108446000,121206000,115715000,116087000,3671000,17314000,13097000,90541000
6.1,"Army","Amount_Then_Year",2282000,2042000,2423000,2472000,2462000,2439000,1881000,2040000,1996000,1929000,2185000,3299000,3303000,3348000,3940000,3886000,4200000,4054000,4097000,4164000,3443000,3544000,,22353000,20616000,21854000,22173000,24323000,24331000,24324000
6.2,"Army","Amount_Then_Year",2675000,3061000,3246000,3528000,3482000,3630000,3646000,3904000,3999000,4261000,4149000,4238000,4221000,5305000,5484000,5201000,6680000,7834000,8292000,9511000,,,3507000,2939000,3129000,3414000,3544000,3575000,3575000,3574000
6.3,"Army","Amount_Then_Year",5964000,6291000,6757000,6637000,9993000,6364000,6652000,6873000,7356000,8051000,10593000,11281000,17264000,10570000,8149000,8869000,8030000,7975000,7891000,4757000,,,2808000,4862000,3828000,2038000,2174000,2211000,2211000,2211000
6.4,"Army","Amount_Then_Year",,,,,,,,3236000,,,,,,,,,,,,,,,,,,,,,,
6.7,"Army","Amount_Then_Year",2756000,6543000,3757000,5658000,14443000,6759000,5285000,7117000,1982000,836000,461000,326000,767000,688000,8e+05,804000,310000,49700000,49486000,111887000,167671000,196680000,206975000,232239000,260156000,228184000,205340000,133622000,111217000,69741000
6.5,"Navy","Amount_Then_Year",194137040.210344,143483188.095825,64202884.86842,163465500,388262861.617043,626184817.222272,598062143.038751,615121406.34033,537402553.77335,673850855.69888,570700971.146359,446550389.711245,449366104.897566,261822762.15778,205984175.099871,186475016.750251,104833060.232008,125084381.5164,89010929.032856,67692307.68,41261000,45639000,27057000,16543000,10146000,9205000,8358000,8656000,8940000,9684000
6.7,"Navy","Amount_Then_Year",35338000,42704000,35990000,36963000,34292000,28385000,47523000,50431000,65823000,57370000,56277000,57878000,63769000,50161000,60673000,51589000,59040000,59212000,73811000,89303000,91528000,102231000,96317000,106239000,134299000,126663000,119792000,112660000,113678000,115616000
