"Organization","Metric","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027"
"Air Force","Amount_OMB23_GDP21",688167408.81103,614138634.998766,601123313.716806,771957989.176819,1221198729.47957,1217997324.19981,1108431492.92799,1224113500.3691,1230086378.52355,1091068119.80448,1217269762.26566,1232589030.35936,1156124561.01213,745734475.390836,642795033.802098,756422429.65802,538282448.009887,512240291.848931,730785036.526711,706883194.367253,964858107.246355,1096664461.77921,1058371853.85989,992230000,913507458.449174,623145175.504191,888364220.993325,1043866478.11728,1039357690.29648,1103143789.73616
"Army","Amount_OMB23_GDP21",21823513.041009,28281126.8886752,24877379.1782033,27395079.0633512,44794604.3681121,27498061.5206284,24375338.9843876,31266781.1408703,19988433.041996,19121806.5864839,21311228.590355,23498329.5472779,30814284.0787696,23453124.0603688,21228164.2037149,21371824.1009425,21551618.7974246,77587692.0157909,77328891.3922703,142047709.947442,182351148.843995,209678971.895192,218917354.441259,262393000,273862827.698719,237560877.217989,212051540.259212,145709618.242055,123038956.933991,85053590.3975786
"Navy","Amount_OMB23_GDP21",366158626.352016,293559875.764267,154021898.772153,300123236.078102,623047328.83337,937859582.301196,901074021.120814,898130402.538742,786377981.531308,927390314.696374,768442078.687431,619161331.719472,618739616.243507,367485002.195119,308095700.164308,271208011.234018,183752847.309451,205556558.640644,180472425.916086,171124885.307884,141509325.384511,154852712.832338,126629048.182455,122782000,137483938.521808,126333403.52207,116512834.418315,107963110.508414,106745657.954435,106732247.138874
"Air Force","Amount_Then_Year",431280959.789656,389510811.904175,391037115.13158,515529500,828225138.382957,850089182.777728,794148856.961249,907119593.65967,943591446.22665,860276144.30112,993180028.853641,1004185610.28876,958800895.102434,633106237.84222,556339824.900129,663980983.249749,480046939.767992,459260618.4836,659313070.967144,648516692.32,905400000,1047213000,1031166000,992230000,959760000,670175000,977093000,1172972000,1193903000,1295053000
"Army","Amount_Then_Year",13677000,17937000,16183000,18295000,30380000,19192000,17464000,23170000,15333000,15077000,17388000,19144000,25555000,19911000,18373000,18760000,19220000,69563000,69766000,130319000,171114000,200224000,213290000,262393000,287729000,255490000,233231000,163731000,141334000,99850000
"Navy","Amount_Then_Year",229475040.210344,186187188.095825,100192884.86842,200428500,422554861.617043,654569817.222272,645585143.038751,665552406.34033,603225553.77335,731220855.69888,626977971.146359,504428389.711245,513135104.897566,311983762.15778,266657175.099871,238064016.750251,163873060.232008,184296381.5164,162821929.032856,156995307.68,132789000,147870000,123374000,122782000,144445000,135868000,128150000,121316000,122618000,125300000
