Organization,ProjectName,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Air Force,Adaptive Engine Transition Program (AETP),,,,,,,,,,,,,,,,,,,,,565450000,,,,,,,,,
Air Force,Advanced Aerospace Propulsion,12757000,13766000,19577000,20937000,22060000,22554000,15418000,16524000,21276000,20499000,20145000,,31164000,33329000,28416000,,,,22599000,22622000,41256000,29913000,18814000,,17019000,17437000,23213000,36438000,37255000,38083000
Air Force,Advanced Engine Dev,,,,,,,,,,,,,,,,,,,,,,696099000,647850000,642581000,583712000,353658000,757468000,917761000,937646000,955867000
Air Force,Advanced Engine Development/Transition Prioritization,,,,,,,,,,,,,,,,82278000,48194000,79887000,221603000,287679000,,,,,,,,,,
Air Force,Advanced Propulsion Technology,1683000,2003000,,,18435000,14701000,16681000,12140000,19272000,29077000,21133000,17276000,17061000,22074000,20009000,21275000,21810000,17250000,19074000,26750000,27912000,24875000,29802000,8338000,17679000,17358000,17674000,18021000,18402000,18802000
Air Force,Advanced Turbine Engine Gas Generator,26821000,28508000,31841000,35617000,33810000,31688000,27192000,21834000,23427000,26662000,32994000,48405000,56168000,33646000,31125000,31039000,31650000,8286000,20389000,14581000,14803000,23036000,38831000,40152000,20816000,,,,,
Air Force,Aerospace Fuels,1444000,1904000,2134000,3417000,11456000,11498000,3352000,345000,5187000,17979000,8469000,14998000,27254000,9091000,6589000,3195000,2380000,2144000,2194000,2054000,2436000,2028000,2386000,,,,,,,
Air Force,Aircraft Engine Component Improvement Program (F135),,,,,,,,,,,,,,,,,,,30329000,30526000,31200000,31200000,33163000,27562000,39961000,29549000,,,,41162000
Air Force,Aircraft Engine Component Improvement Program (USAF),93487000,93338000,151546000,154308000,163498000,174205000,169947000,141803000,146527000,152969000,158560000,146359000,147200000,115290000,136516000,113829000,70070000,78674000,73763000,75523000,74464000,74464000,75283000,93644000,75754000,86538000,3671000,17314000,13097000,49379000
Air Force,Aircraft Propulsion Subsystems Int,22253000,25150000,18912000,33267000,34672000,33809000,26887000,21026000,31996000,27413000,25870000,44678000,38383000,40066000,17240000,69342000,67880000,51389000,74654000,17896000,16341000,18961000,18016000,,11610000,31576000,40800000,44589000,45590000,46605000
Air Force,Combustion and Mechanical Systems,10629000,11246000,11247000,8501000,12380000,17621000,17540000,15577000,20723000,24022000,29957000,27086000,25915000,24214000,25847000,19234000,18150000,16559000,16167000,10502000,15300000,14136000,15876000,9776000,19983000,13119000,13413000,13669000,13958000,14258000
Air Force,F135,,,,,410790765.2,349783465.5,363586941.7,468796368.8,388225257.5,304708912.6,333192743.6,280485686.8,233576843.4,173206689.1,97626168.75,169871983.2,74282939.77,99693618.48,61126070.97,52307692.32,,,,,,,,,,
Air Force,F135 Aircraft Engine Component Improvement Program,,,,,,,,,,,,,,,31874000,973000,16400000,14486000,,,,,,,,,,,,
Air Force,F136,,,,,14489373.21,92708717.28,59237915.31,104031224.9,180164188.7,137878231.7,236101285.2,235239923.4,211963051.7,31949548.7,1758656.155,,,,,,,,,,,,,,,
Air Force,Materials,,,,,,,,,,,,,,30681000,,,,,,,,,,,,,,,,
Air Force,"Materials for Structures, Propulsion, and Subsystems",39766000,41812000,50451000,62036000,60490000,65429000,62966000,71274000,73687000,70723000,65942000,79314000,109378000,85962000,88824000,60945000,53490000,35119000,54699000,57300000,62934000,83861000,100544000,109001000,104876000,52794000,51077000,54207000,55514000,56879000
Air Force,Materials Technology for Sustainment,,,,,,,,,,,,,,,,,,44642000,43539000,,,,,,,,,,,
Air Force,Materials Transition,,,,,,,,,,,,,,,,,,,24677000,,,,,,,,,,,
Air Force,Propulsion ,,,,,,,,,,,,24669000,,,,,,,,,,,,,,,,,,
Air Force,Turbine Engine Technology,31682000,34782000,38979000,40168000,46144000,36092000,31341000,33769000,33107000,48345000,60816000,85675000,60738000,64278000,70515000,91999000,75740000,55773000,62716000,50776000,53304000,48640000,50601000,61176000,68350000,68146000,69777000,70973000,72441000,74018000
