"SimpleArea","ClaimantProgramCode","PlatformPortfolio","ProductOrServiceCode","ProductOrServiceCodeText","ProductServiceOrRnDarea","SubCustomer.engines","Contracting_Agency_ID","ContractingOfficeID","fundingrequestingagencyid","fundingrequestingofficeid","ProjectID","Project.Name","Action_Obligation_OMB23_GDP21"
"Products","","Aircraft","2810","GAS RECIPROCATING ENG - AIRCRAFT","Engines & Power Plants","Army","2100","W91QVN","5700","F2L3CE",NA,NA,0
"Products","","Aircraft","2840","GAS TURBINES & JET ENGINES AIRCRAFT","Engines & Power Plants","Army","2100","W58RGZ","2100","W58RGZ",NA,NA,0
"Products","","Aircraft","2840","GAS TURBINES & JET ENGINES AIRCRAFT","Engines & Power Plants","Army","2100","W58RGZ","2100","W81YTA",NA,NA,22808930.1515607
"Products","","Aircraft","2840","GAS TURBINES & JET ENGINES AIRCRAFT","Engines & Power Plants","Army","2100","W912NR","5700","F8J2LG",NA,NA,0
"Products","","Aircraft","2840","GAS TURBINES & JET ENGINES AIRCRAFT","Engines & Power Plants","Navy","1700","JA104","","",NA,NA,0
"Products","","Aircraft","2840","GAS TURBINES & JET ENGINES AIRCRAFT","Engines & Power Plants","Navy","1700","N00019","1700","N00019",NA,NA,0
"Products","","Aircraft","2840","GAS TURBINES & JET ENGINES AIRCRAFT","Engines & Power Plants","Navy","1700","N00383","1700","N00383",NA,NA,0
"Products","","Aircraft","2840","GAS TURBINES & JET ENGINES AIRCRAFT","Engines & Power Plants","Navy","1700","N00421","1700","N00421",NA,NA,0
"Products","","Aircraft","2840","GAS TURBINES & JET ENGINES AIRCRAFT","Engines & Power Plants","Air Force","5700","FA4861","5700","F3G0BA",NA,NA,0
"Products","","Aircraft","2840","GAS TURBINES & JET ENGINES AIRCRAFT","Engines & Power Plants","Air Force","5700","FA4887","5700","F2U200",NA,NA,0
"Products","","Aircraft","2840","GAS TURBINES & JET ENGINES AIRCRAFT","Engines & Power Plants","Air Force","5700","FA8122","5700","F3YCAB",NA,NA,0
"Products","","Aircraft","2840","GAS TURBINES & JET ENGINES AIRCRAFT","Engines & Power Plants","Air Force","5700","FA8122","5700","F3YCBL",NA,NA,0
"Products","","Aircraft","2840","GAS TURBINES & JET ENGINES AIRCRAFT","Engines & Power Plants","Air Force","5700","FA8122","5700","FA8122",NA,NA,0
"Products","","Aircraft","2840","GAS TURBINES & JET ENGINES AIRCRAFT","Engines & Power Plants","Air Force","5700","FA8122","5700","FD2030",NA,NA,0
"Products","","Aircraft","2840","GAS TURBINES & JET ENGINES AIRCRAFT","Engines & Power Plants","Air Force","5700","GD60","","",NA,NA,0
"Products","","Aircraft","2840","GAS TURBINES & JET ENGINES AIRCRAFT","Engines & Power Plants","DLA and Other DoD","9763","S0701A","2100","W58RGZ",NA,NA,0
"Products","","Aircraft","2840","GAS TURBINES & JET ENGINES AIRCRAFT","Engines & Power Plants","DLA and Other DoD","9763","S2207A","5700","FD2030",NA,NA,0
"Products","","Aircraft","2840","GAS TURBINES & JET ENGINES AIRCRAFT","Engines & Power Plants","DLA and Other DoD","97AS","SPE4A1","97AS","SPE4A1",NA,NA,0
"Products","","Aircraft","2840","GAS TURBINES & JET ENGINES AIRCRAFT","Engines & Power Plants","DLA and Other DoD","97AS","SPRTA1","5700","F3YTBK",NA,NA,0
"Products","","Aircraft","2840","GAS TURBINES & JET ENGINES AIRCRAFT","Engines & Power Plants","DLA and Other DoD","97AS","SPRTA1","5700","FD2030",NA,NA,0
"Products","","Aircraft","2915","ENGINE FUEL SYSTEM COMPONENTS AIR","Engines & Power Plants","Army","2100","W58RGZ","2100","W58RGZ",NA,NA,0
"Products","","Aircraft","2915","ENGINE FUEL SYSTEM COMPONENTS AIR","Engines & Power Plants","Navy","1700","N00383","1700","N00383",NA,NA,78678.7469933899
"Products","","Aircraft","2915","ENGINE FUEL SYSTEM COMPONENTS AIR","Engines & Power Plants","Air Force","5700","FA5606","5700","FB5621",NA,NA,0
"Products","","Aircraft","2950","TURBOSUPERCHARGER AND COMPONENTS","Engines & Power Plants","Army","2100","W912QM","2100","W90YQU",NA,NA,0
"Products","","Aircraft","2950","TURBOSUPERCHARGER AND COMPONENTS","Engines & Power Plants","DLA and Other DoD","97AS","SPRDL1","2100","W56HZW",NA,NA,47795.9549823155
"Products","","Aircraft","2995","MISC ENGINE ACCESSORIES - AIRCRAFT","Engines & Power Plants","Navy","1700","N00019","1700","N00019",NA,NA,0
"Products","","Aircraft","2995","MISC ENGINE ACCESSORIES - AIRCRAFT","Engines & Power Plants","Navy","1700","N00383","1700","N00383",NA,NA,0
"Products","A1A","Aircraft","2805","GAS RECIPROCATING ENG - EXCEPT AIR","Engines & Power Plants","Army","2100","AH23","2100","",111,"UH-60 BLACKHAWK UTTAS",22136.5699506935
"Products","A1A","Aircraft","2805","GAS RECIPROCATING ENG - EXCEPT AIR","Engines & Power Plants","Army","2100","AH23","2100","",NA,NA,47819.2894565952
"Products","A1A","Aircraft","2805","GAS RECIPROCATING ENG - EXCEPT AIR","Engines & Power Plants","Army","2100","W58RGZ","2100","",NA,NA,6252.94999141413
"Products","A1A","Aircraft","2805","GAS RECIPROCATING ENG - EXCEPT AIR","Engines & Power Plants","Army","2100","W58RGZ","2100","W58RGZ",52,"BLACK HAWK (UH-60A/L)",0
"Products","A1A","Aircraft","2805","GAS RECIPROCATING ENG - EXCEPT AIR","Engines & Power Plants","Army","2100","W58RGZ","2100","W58RGZ",687,"MH-60S",84259.7244037954
"Products","A1A","Aircraft","2805","GAS RECIPROCATING ENG - EXCEPT AIR","Engines & Power Plants","Navy","1700","AC5G2","1700","",795,"AV-8 HARRIER",1646735.49756025
"Products","A1A","Aircraft","2805","GAS RECIPROCATING ENG - EXCEPT AIR","Engines & Power Plants","Navy","1700","M00146","1700","N65923",NA,NA,389.991357346202
"Products","A1A","Aircraft","2805","GAS RECIPROCATING ENG - EXCEPT AIR","Engines & Power Plants","Navy","1700","N00383","1700","N00383",NA,NA,4417321.27072144
"Products","A1A","Aircraft","2805","GAS RECIPROCATING ENG - EXCEPT AIR","Engines & Power Plants","Navy","1700","N62558","97AS","SP0700",NA,NA,14657.9235064373
"Products","A1A","Aircraft","2805","GAS RECIPROCATING ENG - EXCEPT AIR","Engines & Power Plants","Air Force","5700","FA8112","5700","FA8112",NA,NA,3955.03235290019
"Products","A1A","Aircraft","2805","GAS RECIPROCATING ENG - EXCEPT AIR","Engines & Power Plants","DLA and Other DoD","9763","S2207A","2100","W58RGZ",687,"MH-60S",-36071.5880063125
"Products","A1A","Aircraft","2805","GAS RECIPROCATING ENG - EXCEPT AIR","Engines & Power Plants","DLA and Other DoD","9763","S2305A","1700","N00383",NA,NA,-7425.15095106148
"Products","A1A","Aircraft","2805","GAS RECIPROCATING ENG - EXCEPT AIR","Engines & Power Plants","DLA and Other DoD","9763","SCN01A","1700","N00383",NA,NA,-275460.74485947
"Products","A1A","Aircraft","2805","GAS RECIPROCATING ENG - EXCEPT AIR","Engines & Power Plants","DLA and Other DoD","97AS","0700","","",NA,NA,0
"Products","A1A","Aircraft","2805","GAS RECIPROCATING ENG - EXCEPT AIR","Engines & Power Plants","DLA and Other DoD","97AS","0700","97AS","",NA,NA,320329.232790209
"Products","A1A","Aircraft","2805","GAS RECIPROCATING ENG - EXCEPT AIR","Engines & Power Plants","DLA and Other DoD","97AS","SP0700","97AS","SP0700",NA,NA,2020348.09241792
"Products","A1A","Aircraft","2805","GAS RECIPROCATING ENG - EXCEPT AIR","Engines & Power Plants","DLA and Other DoD","97AS","SP0740","97AS","SP0740",NA,NA,4137.69558959729
"Products","A1A","Aircraft","2805","GAS RECIPROCATING ENG - EXCEPT AIR","Engines & Power Plants","DLA and Other DoD","97AS","SP0750","97AS","SP0750",NA,NA,57864.461602094
"Products","A1A","Aircraft","2805","GAS RECIPROCATING ENG - EXCEPT AIR","Engines & Power Plants","DLA and Other DoD","97AS","SPE4A1","97AS","SPE4A1",NA,NA,14495.9005513859
"Products","A1A","Aircraft","2805","GAS RECIPROCATING ENG - EXCEPT AIR","Engines & Power Plants","DLA and Other DoD","97AS","SPE4A2","97AS","SPE4A2",NA,NA,35781.5933590481
"Products","A1A","Aircraft","2805","GAS RECIPROCATING ENG - EXCEPT AIR","Engines & Power Plants","DLA and Other DoD","97AS","SPE4A5","97AS","SPE4A5",NA,NA,677262.066247244
"Products","A1A","Aircraft","2805","GAS RECIPROCATING ENG - EXCEPT AIR","Engines & Power Plants","DLA and Other DoD","97AS","SPE4A6","97AS","SPE4A6",NA,NA,12813.7800336882
"Products","A1A","Aircraft","2805","GAS RECIPROCATING ENG - EXCEPT AIR","Engines & Power Plants","DLA and Other DoD","97AS","SPE4A7","97AS","SPE4A7",NA,NA,20603.7415990571
"Products","A1A","Aircraft","2805","GAS RECIPROCATING ENG - EXCEPT AIR","Engines & Power Plants","DLA and Other DoD","97AS","SPE4AR","97AS","SPE4AR",NA,NA,4246.96962514286
"Products","A1A","Aircraft","2805","GAS RECIPROCATING ENG - EXCEPT AIR","Engines & Power Plants","DLA and Other DoD","97AS","SPE4AX","97AS","SPE4AX",NA,NA,12360.5412442924
"Products","A1A","Aircraft","2805","GAS RECIPROCATING ENG - EXCEPT AIR","Engines & Power Plants","DLA and Other DoD","97AS","SPE7L0","97AS","SPE7L0",NA,NA,5118.35248069263
"Products","A1A","Aircraft","2805","GAS RECIPROCATING ENG - EXCEPT AIR","Engines & Power Plants","DLA and Other DoD","97AS","SPE7L1","97AS","SPE7L1",NA,NA,13398.8140950424
"Products","A1A","Aircraft","2805","GAS RECIPROCATING ENG - EXCEPT AIR","Engines & Power Plants","DLA and Other DoD","97AS","SPE7L2","97AS","SPE7L2",NA,NA,71037.2097402146
"Products","A1A","Aircraft","2805","GAS RECIPROCATING ENG - EXCEPT AIR","Engines & Power Plants","DLA and Other DoD","97AS","SPE7L4","97AS","SPE7L4",NA,NA,1966.54371402603
"Products","A1A","Aircraft","2805","GAS RECIPROCATING ENG - EXCEPT AIR","Engines & Power Plants","DLA and Other DoD","97AS","SPE7L5","97AS","SPE7L5",NA,NA,59670.8632971089
"Products","A1A","Aircraft","2805","GAS RECIPROCATING ENG - EXCEPT AIR","Engines & Power Plants","DLA and Other DoD","97AS","SPEFA1","97AS","SPEFA1",NA,NA,37706.4980418248
"Products","A1A","Aircraft","2805","GAS RECIPROCATING ENG - EXCEPT AIR","Engines & Power Plants","DLA and Other DoD","97AS","SPEFA3","97AS","SPEFA3",NA,NA,811.891850152158
"Products","A1A","Aircraft","2805","GAS RECIPROCATING ENG - EXCEPT AIR","Engines & Power Plants","DLA and Other DoD","97AS","SPM700","97AS","SPM700",NA,NA,37217.5311922185
"Products","A1A","Aircraft","2805","GAS RECIPROCATING ENG - EXCEPT AIR","Engines & Power Plants","DLA and Other DoD","97AS","SPM750","97AS","SPM750",NA,NA,142538.58169384
"Products","A1A","Aircraft","2805","GAS RECIPROCATING ENG - EXCEPT AIR","Engines & Power Plants","DLA and Other DoD","97AS","SPM7A1","97AS","SPM7A1",NA,NA,3794.84305649581
"Products","A1A","Aircraft","2805","GAS RECIPROCATING ENG - EXCEPT AIR","Engines & Power Plants","DLA and Other DoD","97AS","SPM7A6","97AS","SPM7A6",NA,NA,23763.7112455942
"Products","A1A","Aircraft","2805","GAS RECIPROCATING ENG - EXCEPT AIR","Engines & Power Plants","DLA and Other DoD","97AS","SPM7L1","97AS","SPM7L1",NA,NA,61111.06330479
"Products","A1A","Aircraft","2805","GAS RECIPROCATING ENG - EXCEPT AIR","Engines & Power Plants","DLA and Other DoD","97AS","SPM7L5","97AS","SPM7L1",NA,NA,15016.8552352731
"Products","A1A","Aircraft","2805","GAS RECIPROCATING ENG - EXCEPT AIR","Engines & Power Plants","DLA and Other DoD","97AS","SPM7L5","97AS","SPM7L5",NA,NA,184346.340261036
"Products","A1A","Aircraft","2805","GAS RECIPROCATING ENG - EXCEPT AIR","Engines & Power Plants","DLA and Other DoD","97AS","SPM7LX","97AS","SP0700",NA,NA,10459.0105885115
"Products","A1A","Aircraft","2805","GAS RECIPROCATING ENG - EXCEPT AIR","Engines & Power Plants","DLA and Other DoD","97AS","SPM7LX","97AS","SPM7LX",NA,NA,45436.5683687624
"Products","A1A","Aircraft","2805","GAS RECIPROCATING ENG - EXCEPT AIR","Engines & Power Plants","DLA and Other DoD","97AS","SPRPA1","1700","N00383",NA,NA,999610.261408258
"Products","A1A","Aircraft","2805","GAS RECIPROCATING ENG - EXCEPT AIR","Engines & Power Plants","DLA and Other DoD","97AS","SPRRA1","2100","W58H0Z",52,"BLACK HAWK (UH-60A/L)",208718.005177831
"Products","A1A","Aircraft","2805","GAS RECIPROCATING ENG - EXCEPT AIR","Engines & Power Plants","DLA and Other DoD","97AS","SPRRA1","2100","W58H0Z",NA,NA,10369.2326021253
"Products","A1A","Aircraft","2805","GAS RECIPROCATING ENG - EXCEPT AIR","Engines & Power Plants","DLA and Other DoD","97AS","SPRWA1","5700","F3QL09",NA,NA,124437.331905434
"Products","A1A","Aircraft","2805","GAS RECIPROCATING ENG - EXCEPT AIR","Engines & Power Plants","DLA and Other DoD","97ZS","H92244","97ZS","H92244",NA,NA,233480.686286552
"Products","A1A","Aircraft","2810","GAS RECIPROCATING ENG - AIRCRAFT","Engines & Power Plants","Army","2100","AH23","2100","",99,"CH-47 CHINOOK",135999.116409349
"Products","A1A","Aircraft","2810","GAS RECIPROCATING ENG - AIRCRAFT","Engines & Power Plants","Army","2100","AH23","2100","",111,"UH-60 BLACKHAWK UTTAS",489632.34800051
