Sum of Action_Obligation_OMB23_GDP21,Column Labels,,,,,,,,,,,,,,,,,,,,,,
Row Labels,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Grand Total
UNITED TECH,23.07%,32.92%,36.67%,35.96%,35.11%,37.96%,27.46%,43.23%,33.87%,31.99%,31.86%,32.59%,30.82%,29.99%,29.06%,44.65%,49.94%,28.40%,44.30%,53.26%,43.78%,38.72%,36.84%
GENERAL ELECTRIC,25.62%,26.01%,19.76%,30.52%,21.42%,22.83%,27.01%,24.26%,29.76%,26.42%,22.17%,23.70%,26.04%,23.32%,25.88%,15.45%,11.98%,20.54%,17.00%,16.70%,26.54%,24.20%,23.02%
ROLLS ROYCE,3.82%,5.68%,3.86%,5.03%,5.22%,5.02%,4.58%,4.37%,4.92%,7.52%,7.85%,9.75%,7.01%,8.20%,10.41%,6.84%,7.15%,10.14%,6.33%,7.54%,8.20%,8.97%,6.72%
HONEYWELL,6.34%,5.82%,7.62%,4.77%,7.74%,5.29%,6.02%,3.80%,2.75%,2.97%,3.32%,2.72%,3.83%,2.77%,3.07%,1.56%,2.63%,2.55%,2.00%,1.35%,1.27%,2.79%,3.68%
KELLY AVIATION CENTER [Joint Venture Lockheed Martin/Rolls Royce],3.11%,3.37%,4.15%,3.39%,6.43%,4.85%,4.64%,3.88%,5.76%,4.42%,6.10%,5.27%,4.28%,2.74%,2.68%,1.63%,1.00%,0.04%,0.64%,-0.21%,0.00%,0.00%,3.06%
LOCKHEED MARTIN,3.70%,0.58%,1.57%,0.59%,1.82%,0.94%,2.08%,1.35%,1.14%,0.37%,0.19%,0.11%,0.34%,0.58%,0.59%,0.34%,0.34%,6.46%,6.58%,3.04%,4.22%,2.16%,1.83%
CFM INTERNATIONAL,2.01%,1.43%,1.56%,0.74%,0.17%,0.44%,0.44%,0.51%,1.20%,0.75%,1.49%,1.13%,2.02%,2.60%,0.76%,0.58%,1.00%,2.61%,3.40%,2.67%,2.43%,3.22%,1.53%
TEXTRON,0.27%,0.16%,0.06%,0.21%,0.50%,0.27%,0.42%,0.38%,0.21%,0.14%,0.10%,0.29%,0.72%,6.93%,6.32%,9.08%,7.61%,0.49%,0.71%,0.50%,-0.43%,1.36%,1.46%
BOEING,0.82%,1.51%,1.64%,0.75%,1.61%,0.89%,0.37%,0.33%,0.76%,0.65%,0.49%,0.50%,1.64%,3.00%,2.30%,1.86%,0.94%,4.21%,1.69%,1.24%,1.88%,1.12%,1.32%
URS,0.27%,1.07%,0.79%,0.46%,0.58%,0.34%,0.51%,0.45%,0.52%,1.96%,2.07%,3.27%,3.05%,1.93%,2.25%,3.46%,2.56%,3.54%,1.70%,0.00%,0.00%,0.00%,1.32%
