"","AllContractor","NumberOfActions","Action_Obligation_OMB23_GDP21","MinOfFiscalYear","MaxOfFiscalYear","pos"
"4566","128163263",1,3298.16315112827,2006,2006,4566
"4567","114591451",1,3279.75013321806,2009,2009,4567
"4568","151031812",3,3272.15367733159,2005,2007,4568
"4569","009171117",1,3250.29129968616,2009,2009,4569
"4570","008772225",3,3216.04921906438,2008,2008,4570
"4571","606774891",3,3187.69518562866,2010,2015,4571
"4572","046236063",1,3186.63413474367,2005,2008,4572
"4573","041401910",1,3180.3265700479,2009,2009,4573.5
"4574","825636871",1,3180.3265700479,2009,2009,4573.5
"4575","150437882",2,3079.15074932617,2020,2020,4575
"4576","963667477",3,3051.20383465543,2012,2013,4576
"4577","085724700",1,3039.29238112061,2018,2018,4577
"4578","005378922",1,3035.21410787697,2017,2017,4578
"4579","078417251",1,3027.83157017073,2020,2020,4579
"4580","102680647",7,3008.08718669134,2016,2020,4580
"4581","691758015",1,3002.52861624671,2005,2005,4581
"4582","049915556",1,2986.33520348493,2005,2005,4582
"4583","052858008",3,2968.84014136285,2018,2019,4583
"4584","001090208",1,2958.87939529137,2011,2011,4584
"4585","054121616",4,2955.31178996366,2009,2017,4585
"4586","535374185",1,2924.6458836925,2007,2007,4586
"4587","057846362",1,2921.41645125631,2006,2006,4587
"4588","186884896",1,2917.03622397778,2007,2007,4588
"4589","069024354",2,2913.49254165078,2011,2020,4589
"4590","828118476",15,2907.47082617503,2013,2014,4590
"4591","079730579",1,2852,2021,2021,4591
"4592","009481078",1,2833.99999895142,2017,2017,4592
"4593","128523730",1,2825.15111101984,2009,2009,4593
"4594","078340454",1,2810.7,2021,2021,4594
"4595","061635082",1,2807.8399989611,2017,2017,4595
"4596","519775334",1,2769.8816087865,2015,2015,4596
"4597","796343452",2,2766.61849012239,2007,2007,4597
"4598","048477322",3,2750.9523822221,2003,2016,4598
"4599","616587080",1,2698.90212696334,2005,2005,4599
"4600","080332193",1,2646.73799902071,2017,2017,4600
"4601","606008436",1,2622.5,2021,2021,4601
"4602","601272719",1,2607.58270746278,2019,2019,4602
"4603","807946004",1,2604.46059089627,2008,2008,4603
"4604","013471432",3,2588.71,2021,2021,4604
"4605","004840356",1,2577.64793404114,2009,2009,4605
"4606","829279194",3,2540.83298949312,2015,2016,4606
"4607","STORM PRODUCTS",1,2459.06104397034,2012,2012,4607
"4608","807182746",1,2451.2570267259,2008,2008,4608
"4609","081080000",1,2416.5,2021,2021,4609
"4610","238512870",2,2396.95144771267,2011,2011,4610
"4611","185601051",1,2377.7327738547,2005,2005,4611
"4612","028231165",3,2364.7877754825,2020,2020,4612
"4613","078408876",10,2360.65975888595,2017,2019,4613
"4614","804359131",1,2360.14354646396,2009,2009,4614
"4615","103324034",6,2324.02940391132,2011,2017,4615
"4616","043019744",2,2314.72375079287,2014,2021,4616
"4617","078823898",1,2311.85298313545,2016,2016,4617
"4618","557275716",1,2291.36790579187,2005,2005,4618
"4619","051025489",2,2282.89791441739,2007,2007,4619
"4620","056007099",1,2187.48001150046,2020,2020,4620
"4621","101533875",5,2185.1605611809,2010,2012,4621
"4622","076905301",6,2184.79599919163,2017,2017,4622
"4623","963500330",3,2179.29395558527,2019,2021,4623
"4624","114313943",1,2173.63754715342,2013,2013,4624
"4625","080390914",1,2166.65468859919,2020,2020,4625
"4626","801684994",1,2153.06598210892,2015,2015,4626
"4627","079717282",1,2119.181387088,2015,2015,4627
"4628","446400152",1,2077.5874055718,2008,2008,4628
"4629","080436142",1,2037.39194014248,2020,2020,4629
"4630","002658334",4,2025.19773534188,2013,2015,4630
"4631","047121989",1,1995.85550826153,2017,2017,4631
"4632","008728735",3,1959.20106236558,2005,2006,4632
"4633","020920141",1,1948.07288696951,2007,2007,4633
"4634","003082740",1,1940.47791377411,2009,2009,4634
"4635","080084172",2,1906.6216660574,2016,2017,4635
"4636","168928260",2,1901.91448159466,2005,2006,4636
"4637","965479707",1,1888.71987690893,2016,2016,4637
"4638","031426885",1,1882.28076181354,2011,2011,4638
"4639","082164120",2,1851.40638005299,2009,2010,4639
"4640","063273916",1,1850.09740803337,2005,2005,4640
"4641","041418518",2,1823.93498155505,2019,2020,4641
"4642","076773239",1,1822.88,2021,2021,4642
"4643","079865047",1,1821.64832034085,2015,2015,4643
"4644","078543953",2,1790.29961838971,2014,2017,4644
"4645","006947204",1,1788.19200099654,2008,2008,4645
"4646","079725816",1,1762.26662715739,2015,2015,4646
"4647","787244953",1,1738.03241617176,2019,2019,4647
"4648","065802175",1,1729.14047600133,2015,2015,4648
"4649","877294066",1,1697.60943785994,2005,2005,4649
"4650","868617726",2,1674.88145101017,2005,2012,4650
"4651","153747266",3,1674.1291407265,2012,2013,4651
"4652","080603631",1,1670.97140729212,2018,2018,4652
"4653","111374401",1,1669.33390014093,2009,2009,4653
"4654","123169992",1,1667.46114405082,2015,2015,4654
"4655","147264675",1,1648.759604857,2007,2007,4655
"4656","619610558",1,1634.8954333572,2016,2016,4656
"4657","968353859",1,1609.04757029527,2016,2016,4657
"4658","080903216",1,1608,2021,2021,4658
"4659","007185556",1,1606.50567859769,2004,2004,4659
"4660","086987039",3,1593.82380870708,2019,2021,4660
"4661","460019326",1,1587.18892480502,2008,2008,4661
"4662","794939868",2,1585.45050400565,2011,2011,4662
"4663","533112147",1,1561.50207469642,2015,2015,4663
"4664","613302306",1,1533.13296535161,2019,2019,4664
"4665","102600210",4,1503.4332065881,2005,2008,4665
"4666","038101804",1,1473.93305042017,2016,2016,4666
"4667","806569815",2,1449.6274403378,2006,2011,4667
"4668","945080935",1,1411.27742677449,2020,2020,4668
"4669","065392110",2,1408.81645436236,2018,2018,4669
"4670","148485993",1,1396.58864137632,2016,2016,4670
"4671","092213073",1,1392.94907931919,2015,2015,4671
"4672","079176914",1,1392.39887545219,2016,2016,4672
"4673","832105220",1,1385.50460454,2016,2016,4673
"4674","112488445",3,1348.07323356156,2018,2019,4674
"4675","791866619",1,1341.16845719472,2016,2016,4675
"4676","040199572",3,1315.33127262053,2015,2015,4676
"4677","061955621",1,1310.12974755176,2007,2007,4677
"4678","002162162",2,1307.99999951604,2017,2017,4678
"4679","859177370",4,1307.9759857391,2015,2018,4679
"4680","837627686",1,1290.07521668848,2005,2005,4680
"4681","002508695",2,1273.82849952868,2017,2017,4681
"4682","790901065",1,1207.71,2021,2021,4682
"4683","078766105",4,1197.07597832256,2015,2017,4683
"4684","165049540",1,1196.76511223339,2009,2009,4684
"4685","948599428",3,1177.180424097,2011,2014,4685
"4686","256787698",1,1167.38999956807,2017,2017,4686
"4687","718646599",1,1153.78065927683,2005,2005,4687
"4688","064908866",2,1121.39383375327,2005,2005,4688
"4689","827064648",1,1108.00160563753,2020,2020,4689
"4690","MICROTECHNOLOGIES",1,1104.81917926636,2019,2019,4690
"4691","007176811",1,1069.06453782967,2010,2010,4691
"4692","079682611",1,1059.2278577682,2020,2020,4692
"4693","152762931",7,1055.35010728297,2015,2020,4693
"4694","619452485",1,1046.39999961283,2017,2017,4694
"4695","079864842",10,1044.12145223651,2016,2018,4695
"4696","088577903",3,1038.75579443305,2015,2016,4696
"4697","079258635",2,1009.17205390862,2020,2021,4697
"4698","008958472",1,1005.34104229384,2005,2005,4698
"4699","153859673",2,990.320696741835,2004,2005,4699
"4700","037187080",1,961.996813875475,2015,2015,4700
"4701","002322071",1,957.460994639136,2008,2008,4701
"4702","171714913",1,951.20746434058,2007,2007,4702
"4703","604261313",1,947.977885886975,2018,2018,4703
"4704","157422726",1,941.651000164789,2012,2012,4704
"4705","780425372",1,920.588547871836,2009,2009,4705
"4706","075452235",1,920,2021,2021,4706
"4707","056915150",1,915,2021,2021,4707
"4708","078353011",1,914.433038996403,2016,2016,4708
"4709","079936038",1,909.35188678571,2015,2015,4709
"4710","004076410",1,891.677310423612,2006,2006,4710
"4711","050568740",2,888,2021,2021,4711
"4712","002159291",1,859.215978013714,2009,2009,4712
"4713","193686920",4,823.134665089972,2015,2015,4713
"4714","956702856",2,820.57497257114,2007,2007,4714
"4715","004240326",2,816.737990775444,2013,2014,4715
"4716","089040331",1,783.176620038925,2008,2008,4716
"4717","001960368",2,774.100305900554,2002,2002,4717
"4718","048601533",1,771.713629834183,2010,2010,4718
"4719","016757097",2,770.004517106041,2017,2019,4719
"4720","803591762",1,764.798541706082,2016,2016,4720
"4721","077843952",2,762.356650352914,2019,2020,4721
"4722","078374098",5,758.787863867467,2012,2014,4722
"4723","841225092",1,742.198084914918,2005,2005,4723
"4724","960324218",2,741.799165270718,2016,2017,4724
"4725","246366306",1,736.54312307465,2020,2020,4725
"4726","108309006",1,735.45082959751,2005,2005,4726
"4727","078455551",3,718.342554723495,2013,2015,4727
"4728","117099672",1,712.8,2021,2021,4728
"4729","080259625",2,693.240000121317,2012,2012,4729
"4730","079514056",2,686.794314052415,2014,2015,4730
"4731","004554648",4,677.265825154268,2018,2021,4731
"4732","693040081",1,663.929923232981,2005,2005,4732
"4733","041589433",1,654.513731792867,2019,2019,4733
"4734","014664403",2,647.843816644209,2011,2011,4734
"4735","094342045",2,638.86049184361,2016,2018,4735
"4736","035419865",2,634.542479295138,2012,2015,4736
"4737","196816433",1,620.697074691828,2015,2015,4737
"4738","832323708",6,602.461637283141,2010,2012,4738
"4739","793460577",1,600.505723249343,2005,2005,4739
"4740","134390389",1,570.986347902839,2006,2006,4740
"4741","595380395",1,567.355695120843,2008,2008,4741
"4742","123343027",3,566.917783375242,2020,2021,4742
"4743","079938512",1,565.285878652322,2016,2016,4743
"4744","002894145",1,564.510970709797,2020,2020,4744
"4745","804036387",1,561.325201500639,2010,2010,4745
"4746","809070779",1,551.532831013327,2008,2008,4746
"4747","927000612",2,551.320367546558,2004,2004,4747
"4748","013811419",1,539.55,2021,2021,4748
"4749","079576587",5,534.442984385201,2016,2017,4749
"4750","733263284",1,532.835270182436,2018,2018,4750
"4751","028449999",4,528.593657834892,2007,2009,4751
"4752","830518069",1,521.455999807061,2017,2017,4752
"4753","806459723",4,517.791540374779,2004,2010,4753
"4754","079902592",2,514.014895106015,2016,2017,4754
"4755","131013427",1,502.908482374978,2003,2003,4755
"4756","196716328",4,497.447287858347,2009,2010,4756
"4757","129768607",2,492.761134922723,2013,2014,4757
"4758","965012029",6,491.779799928656,2011,2013,4758
"4759","031855047",1,490.499999818515,2017,2017,4759
"4760","691051015",1,465.560616901176,2005,2005,4760
"4761","062498100",1,447.581626953246,2018,2018,4761
"4762","229532981",1,440.624168016346,2006,2006,4762
"4763","003584724",1,431.824340314134,2005,2005,4763
"4764","494991029",1,428.969979677032,2008,2008,4764
"4765","136662702",1,424.043225439846,2011,2011,4765
"4766","144946006",3,415.820296872629,2009,2010,4766
"4767","968298187",3,415.59690563018,2011,2012,4767
"4768","079752719",1,400,2021,2021,4768
"4769","153693742",1,393.815828794451,2016,2016,4769
"4770","079927236",1,382.618350812604,2018,2018,4770
"4771","100055057",1,375.147395647904,2005,2005,4771
"4772","080870806",3,370.561293416737,2006,2007,4772
"4773","786129130",2,358.080945926981,2011,2011,4773
"4774","076337802",2,348.872191247735,2017,2019,4774
"4775","023004828",1,345.76117368278,2015,2015,4775
"4776","038491779",2,330.745953929403,2018,2019,4776
"4777","034899417",4,319.01641024892,2013,2015,4777
"4778","793001652",1,306.862849290612,2009,2009,4778
"4779","601903479",2,291.510168795217,2016,2016,4779
"4780","063346811",3,287.731045898515,2018,2020,4780
"4781","079864683",6,286.789566016079,2019,2020,4781
"4782","004244851",2,285.277528432545,2019,2020,4782
"4783","013531378",6,282.341349887063,2012,2014,4783
"4784","175192046",1,276.805994384344,2011,2011,4784
"4785","051340566",2,262.930772996711,2014,2015,4785
"4786","001318419",1,260.724359772986,2006,2006,4786
"4787","186458527",2,249.191154283644,2010,2010,4787
"4788","BRANCH GROUP1049 PG BLVD",1,243.900074159227,2008,2008,4788
"4789","078686558",3,222.684576827169,2016,2017,4789
"4790","004179339",2,222.026038575228,2007,2008,4790
"4791","062004911",1,219.745456095284,2010,2010,4791
"4792","004401774",2,217.23602055136,2019,2020,4792
"4793","080896370",1,213.134108072974,2018,2018,4793
"4794","032690864",2,203.780782297246,2014,2015,4794
"4795","502663407",2,190.511598904974,2014,2015,4795
"4796","249913294",1,190.241492868116,2007,2007,4796
"4797","006249791",1,185.168386391633,2007,2007,4797
"4798","029404068",1,184.101932817317,2010,2010,4798
"4799","151318052",1,180.826442506544,2005,2005,4799
"4800","962978271",3,164.8959972626,2013,2014,4800
"4801","796520807",4,162.729207542101,2006,2007,4801
"4802","691163026",1,155.186872300392,2005,2005,4802
"4803","081207542",1,152.035685730701,2019,2019,4803
"4804","794644591",1,148.301050116917,2008,2008,4804
"4805","078656029",2,141.381644824232,2013,2014,4805
"4806","968456181",2,140.457441308356,2013,2014,4806
"4807","078374973",4,138.497948314909,2012,2013,4807
"4808","111849159",5,134.437321626802,2007,2009,4808
"4809","057127724",2,133.923700542728,2014,2015,4809
"4810","079419413",2,131.726863667856,2014,2015,4810
"4811","064565435",1,126.4,2021,2021,4811
"4812","080045653",2,124.527844099925,2018,2019,4812
"4813","040947632",1,122.996093334524,2011,2011,4813
"4814","808655633",2,122.546917051658,2009,2011,4814
"4815","784483620",2,122.395556592688,2018,2019,4815
"4816","078574088",6,121.6151525738,2013,2014,4816
"4817","080149757",1,111.970940120505,2016,2016,4817
"4818","625386321",2,109.392391268817,2007,2008,4818
"4819","140871166",2,104.313197431709,2012,2013,4819
"4820","605994438",1,100.382276230484,2015,2015,4820
"4821","024618263",1,95.8982000167822,2012,2012,4821
"4822","155169246",1,94.8636469342923,2008,2008,4822
"4823","196921600",6,89.1713105454965,2012,2014,4823
"4824","115141418",1,85.6119808097296,2010,2010,4824
"4825","078801106",4,84.805631261434,2013,2015,4825
"4826","078701789",2,81.0225814302066,2014,2015,4826
"4827","829279889",2,77.9483275406737,2013,2014,4827
"4828","079275724",2,75.6509652276691,2014,2015,4828
"4829","010272008",2,69.6558033496294,2014,2015,4829
"4830","147372960",3,52.2942435593894,2014,2020,4830
"4831","089045491",2,52.0110679689785,2018,2021,4831
"4832","966659844",2,51.6492101226777,2011,2012,4832
"4833","126925358",2,40.8221109948609,2014,2015,4833
"4834","690467691",1,34.3175983741626,2008,2008,4834
"4835","058828815",5,28.9204072331381,2015,2021,4835
"4836","124643615",2,27.1752784666032,2015,2016,4836
"4837","079670786",2,26.9503969607313,2015,2016,4837
"4838","824767466",4,24.8768930491487,2014,2015,4838
"4839","688731094",2,20.6662815050886,2014,2015,4839
"4840","078726627",2,18.9916177111505,2010,2017,4840
"4841","078542823",6,13.3932485810201,2019,2021,4841
"4842","005122601",5,9.99429945197062,2005,2007,4842
"4843","080214899",3,8.7908849036273,2017,2019,4843
"4844","126102495",1,3.91086539659479,2006,2006,4844
"4845","001172170",2,0,2004,2004,4909.5
"4846","001184043",2,0,2004,2004,4909.5
"4847","001787829",1,0,2004,2004,4909.5
"4848","005071071",2,0,2020,2020,4909.5
