"","AllContractor","NumberOfActions","Action_Obligation_OMB23_GDP21","MinOfFiscalYear","MaxOfFiscalYear","pos"
"1","UNITED TECH",25144,64580400559.5562,2000,2021,1
"2","GENERAL ELECTRIC",29256,43255607290.6947,2000,2021,2
"3","ROLLS ROYCE",9158,9473798761.55986,2000,2021,3
"4","HONEYWELL",17809,4648306239.82199,2000,2021,4
"5","CFM INTERNATIONAL",3877,3097701286.36818,2000,2021,5
"6","TEXTRON",7273,3026045883.47604,2000,2021,6
"7","KELLY AVIATION CENTER [Joint Venture Lockheed Martin/Rolls Royce]",565,2883187034.0098,2000,2017,7
"8","GE ROLLS-ROYCE FIGHTER ENGINE TEAM [GE/ROLLS ROYCE]",117,2843057649.76138,2004,2014,8
"9","BOEING",5574,2448313276.58931,2000,2021,9
"10","LOCKHEED MARTIN",3294,2420693766.08066,2000,2021,10
"11","NORTHROP GRUMMAN",2168,1449021263.58266,2000,2021,11
"12","L3 COMMUNICATIONS",680,1324569909.39495,2000,2021,12
"13","URS",536,843706837.562813,2000,2018,13
"14","PARKER HANNIFIN",5380,695946763.030676,2000,2021,14
"15","GOODRICH",2334,648487390.134945,2000,2021,15
"16","WOODWARD GOVERNOR",3281,638568462.578387,2000,2021,16
"17","LONGBOW [LOCKHEED MARTIN/NORTHROP GRUMMAN]",31,565940113.993777,2000,2021,17
"18","CANADIAN COMMERCIAL CORPORATION",2001,553051981.952016,2000,2021,18
"19","GENERAL ATOMICS",120,512930975.765464,2004,2021,19
"20","053489188",840,446596283.637855,2000,2021,20
"21","COLT INDUSTRIES",1442,304279942.78658,2000,2021,21
"22","067655985",149,268041837.109168,2000,2021,22
"23","193823408",164,265561367.348983,2003,2021,23
"24","BAE SYSTEMS",1374,262260137.702081,2000,2021,24
"25","RAYTHEON",439,260797291.079545,2001,2021,25
"26","879940666",147,254417040.742651,2000,2015,26
"27","JOINT VENTURE [Boeing/UTC]",2,226872027.241196,2000,2000,27
"28","012895066",1291,216403771.72256,2000,2021,28
"29","UNISON INDUSTRIES LLC [SLICK AIRCRAFT PRODUCTS]",1707,215730688.643798,2000,2021,29
"30","004475216",1069,200027292.04656,2000,2020,30
"31","AAR",1754,188558777.751576,2000,2021,31
"32","001447762",922,183981892.448208,2000,2021,32
"33","122607435",23,172836970.23034,2000,2003,33
"34","COMPUTER SCIENCES",181,171366596.454838,2004,2015,34
"35","STANDARD AERO",201,170135600.94168,2008,2021,35
"36","801849758",44,168556659.197473,2016,2021,36
"37","ROBERTSON FUEL SYSTEMS",126,167078887.399297,2000,2014,37
"38","807445499",2401,162346499.021917,2000,2021,38
"39","006401970",336,161011706.690639,2000,2021,39
"40","787814909",415,141712471.485364,2006,2021,40
"41","884812025",408,130703884.570946,2000,2021,41
"42","006033583",155,129964988.606947,2000,2011,42
"43","001288810",397,122689635.472063,2000,2021,43
"44","DYNCORP INTERNATIONAL",92,122253202.324465,2002,2021,44
"45","BELL BOEING JOINT PROJECT OFFICE [BELL/BOEING]",4595,121530616.235713,2004,2021,45
"46","002042067",232,113439759.23522,2000,2021,46
"47","070458062",955,112675708.282498,2000,2021,47
"48","MEGGITT CORP USA",925,109526684.889409,2000,2021,48
"49","BBA AVIATION PLC",1355,107899177.966701,2000,2021,49
"50","360301837",20,107868995.717026,2004,2010,50
"51","M1 SUPPORT SERVICES",289,107663262.67014,2006,2019,51
"52","799987615",58,107322217.39803,2000,2002,52
"53","056100274",450,106579444.501667,2000,2021,53
"54","185050945",801,104987264.873828,2000,2021,54
"55","MOOG CLASS A",767,104090735.804191,2000,2021,55
"56","078792471",287,101203740.177039,2013,2021,56
"57","COLTEC INDUSTRIES",171,99080414.5218533,2000,2015,57
"58","001004332",1396,97418105.2175067,2000,2021,58
"59","SIERRA NEVADA",28,93541766.1393616,2005,2018,59
"60","062875943",40,93084716.337981,2000,2021,60
"61","942928540",193,92655998.9559558,2005,2021,61
"62","099553455",335,91155099.1413839,2000,2019,62
"63","056933906",30,88915406.9887672,2000,2021,63
"64","131733347",607,88366579.7277702,2000,2021,64
"65","AEROVIRONMENT",72,87457554.9640499,2006,2021,65
"66","085957876",87,87167403.258022,2003,2016,66
"67","NORTHSTAR AEROSPACE",37,85117975.6388461,2000,2016,67
"68","SMITHS GROUP",204,82083021.9209081,2000,2021,68
"69","096277595",1530,81552724.1551307,2001,2021,69
"70","028774917",461,80505384.4716948,2000,2017,70
"71","TELEDYNE TECHNOLOGIES",187,76860676.9812631,2000,2017,71
"72","MD HELICOPTERS",19,75252999.6805426,2012,2019,72
"73","103964110",109,73670443.9623186,2000,2021,73
"74","024570061",47,69283339.906575,2000,2018,74
"75","001826627",1290,66980015.5873974,2002,2021,75
"76","107254757",281,65458846.6372212,2000,2021,76
"77","006419980",101,64323958.4458852,2000,2021,77
"78","600014492",158,63920019.6022896,2000,2017,78
"79","WHITT CORPAKER",682,63624350.2038181,2000,2013,79
"80","081594350",429,60463317.176801,2000,2019,80
"81","056484637",70,58949309.1993528,2000,2019,81
"82","601020951",22,56616926.3752307,2000,2010,82
"83","SCIENCE & ENGINEERING SERVICES",81,56251612.9920671,2008,2021,83
"84","017689373",823,56090721.5464072,2000,2021,84
"85","EATONORAT",585,55770397.7639255,2003,2021,85
"86","135192990",101,55358404.5255743,2000,2020,86
"87","144999690",159,54788047.1298892,2004,2018,87
"88","SABRELINER",181,54501193.4611199,2000,2012,88
"89","179559364",7,53823222.1076564,2003,2004,89
"90","ELBIT SYSTEMS",109,53027844.1607268,2010,2020,90
"91","104012638",660,52300341.0830996,2019,2021,91
"92","060017282",179,51864694.0028297,2000,2021,92
"93","SAMSUNG",118,49066975.6179703,2000,2015,93
"94","083334987",76,48608683.5645242,2000,2021,94
"95","002283539",737,48219382.8008993,2000,2021,95
"96","UNIVERSITY OF DAYTON",158,45963037.3223486,2000,2021,96
"97","002037513",415,45947774.8230128,2000,2021,97
"98","048159342",152,44731322.1336455,2003,2021,98
"99","027957869",711,43965664.8531543,2000,2021,99
"100","HEICO",132,43820467.9093108,2000,2021,100
"101","STANDARD AERO [CANADA HQ]",68,42666823.9303949,2000,2007,101
"102","797524402",249,42410355.2393848,2000,2021,102
"103","794958835",237,42234735.7436866,2000,2021,103
"104","012386405",390,41644795.0434833,2000,2021,104
"105","039276225",588,41441511.4200651,2000,2021,105
"106","782766831",145,41403023.3529137,2008,2021,106
"107","157367301",138,40416310.5802895,2000,2020,107
"108","473848745",9,39169330.9471968,2005,2008,108
"109","156171134",850,38388246.3282718,2000,2021,109
"110","VSE",63,37759820.5465976,2009,2021,110
"111","AMETEK",289,36565099.0894468,2000,2021,111
"112","038729679",1053,36293624.5707415,2000,2021,112
"113","801694282",57,35632621.985627,2000,2021,113
"114","372380824",29,35413654.8457765,2001,2009,114
"115","TRW [NORTHROP GRUMMAN]",94,35312855.6440569,2000,2004,115
"116","EADS NV",128,35288011.3213137,2002,2017,116
"117","COBHAM PLC",208,34296428.7334641,2000,2006,117
"118","058796855",122,34222597.8513788,2000,2020,118
"119","034879544",356,34074066.2776208,2000,2021,119
"120","932135148",33,32170765.4624347,2000,2021,120
"121","TRANSDIGM",288,32110012.3919426,2000,2021,121
"122","966423352",730,32045953.8595871,2000,2021,122
"123","001026207",6,31981702.4998697,2010,2021,123
"124","005277249",95,31759981.1690038,2001,2002,124
"125","113501704",284,31313686.243279,2000,2011,125
"126","092043256",218,30126717.3869325,2003,2019,126
"127","933851081",641,29841659.808104,2000,2020,127
"128","758989446",17,29694644.0564777,2016,2021,128
"129","613901826",47,29201559.8452159,2000,2021,129
"130","806991118",10,28588692.6342416,2010,2015,130
"131","782449107",1887,28229380.0291477,2007,2021,131
"132","KAY & ASSOCIATES",84,28025804.6788513,2009,2018,132
"133","131820631",21,27722510.3443862,2000,2005,133
"134","828194758",260,27708720.4586955,2004,2021,134
"135","033999764",111,27692789.223461,2000,2021,135
"136","071926661",1853,27605259.1284485,2000,2021,136
"137","132098315",140,27556423.3649199,2004,2021,137
"138","BFM AEROSPACE",677,27445544.4405302,2000,2020,138
"139","002049880",741,27168891.8702675,2006,2021,139
"140","152136628",11,26154096.773242,2000,2004,140
"141","056989031",472,25946686.4652159,2000,2021,141
"142","151262938",25,25792155.172834,2000,2010,142
"143","110480956",727,25512452.2655398,2007,2021,143
"144","001141407",55,25118567.9450094,2000,2009,144
"145","080846413",98,24812065.303722,2000,2013,145
"146","197223399",132,24056687.8798725,2000,2011,146
"147","843897112",37,23758992.8128929,2001,2004,147
"148","001141803",174,23540208.4457313,2000,2017,148
"149","PRAXAIR",436,23451666.2656675,2000,2014,149
"150","AM GENERAL",57,23206603.8308755,2005,2021,150
"151","605086024",95,23191558.6963376,2005,2021,151
"152","363384004",149,23090484.9360475,2014,2020,152
"153","612706192",42,23074978.4559645,2002,2021,153
"154","831179457",644,22997725.1594411,2010,2021,154
"155","202015897",186,22752359.0389001,2005,2015,155
"156","079084247",75,22475619.2785166,2014,2021,156
"157","168778546",7,22296835.5980169,2000,2011,157
"158","606582542",84,21962680.8049333,2000,2021,158
"159","004071320",13,21755455.8535583,2007,2014,159
"160","006413637",114,21428261.1330635,2000,2021,160
"161","001418052",160,21083901.3473329,2000,2014,161
"162","008931651",25,21021447.1607828,2000,2012,162
"163","052423506",241,20963321.5055331,2000,2021,163
"164","004091765",35,20892700.8747642,2000,2016,164
"165","004215505",68,20838338.6002151,2000,2016,165
"166","001150986",122,20778004.3090453,2000,2020,166
"167","946823218",17,20596398.8427511,2000,2016,167
"168","430685594",16,20507735.6293251,2001,2011,168
"169","803638477",406,20452974.3849849,2003,2021,169
"170","TLM MANUFACTURING",234,20437286.8501743,2000,2021,170
"171","109234716",675,20098675.1872528,2000,2021,171
"172","174510750",143,20043231.7561565,2003,2021,172
"173","030712848",6277,19878491.0642522,2015,2021,173
"174","TIMKEN CO",48,19795118.3744136,2000,2018,174
"175","001144062",383,19615598.7074493,2000,2020,175
"176","086591724",897,19543717.4213193,2000,2021,176
"177","095344755",76,19540427.5738507,2005,2021,177
"178","001153766",97,19519986.1742639,2001,2018,178
"179","KAMPI COMPONENTS",753,19259165.3987291,2000,2021,179
"180","114125862",160,19252400.3072313,2004,2021,180
"181","532856549",17,19186110.3448004,2013,2020,181
"182","DRS",59,18938056.5833883,2000,2017,182
"183","021780689",73,18933043.949837,2000,2021,183
"184","074689217",116,18908073.6287376,2002,2021,184
"185","046284019",13,18753408.0800681,2009,2014,185
"186","001022581",73,18729961.1005634,2000,2019,186
"187","613584481",22,18519735.8866841,2001,2021,187
"188","084235621",90,18518701.4723177,2000,2021,188
"189","789484664",8,18457594.5537014,2005,2014,189
"190","196694640",14,18015658.5098162,2001,2018,190
"191","064745789",302,17836962.8205093,2000,2021,191
"192","884237785",181,17680656.1324783,2000,2021,192
"193","041660445",61,17315895.0430698,2003,2015,193
"194","002185551",131,17256671.6962686,2000,2021,194
"195","ITT",306,17179053.1652921,2000,2021,195
"196","007233596",18,17132520.5558631,2000,2014,196
"197","HEROUX DEVTEK",14,17100913.4806486,2000,2009,197
"198","005390083",149,17068739.441673,2000,2021,198
"199","931251065",192,17022439.2940345,2001,2021,199
"200","878972892",132,16796841.6142056,2000,2021,200
"201","027005180",1268,16666486.3802162,2000,2021,201
"202","043656581",37,16558880.3230863,2000,2005,202
"203","RUAG",44,16403308.2291267,2010,2020,203
"204","786554423",11,16130580.4745603,2013,2018,204
"205","008787202",146,15744896.8720179,2006,2021,205
"206","005424197",316,15684565.7826068,2000,2021,206
"207","032730108",69,15167849.3036486,2000,2019,207
"208","018720771",363,15083109.5454091,2000,2021,208
"209","964249259",167,14734820.5226453,2002,2021,209
"210","069172294",633,14708937.7062556,2010,2021,210
"211","866954159",51,14702651.7259787,2001,2021,211
"212","080840622",331,14677640.7905623,2000,2021,212
"213","999945702",12,14568651.4616985,2000,2003,213
"214","TAT TECHNOLOGIES",115,14343137.9010519,2001,2021,214
"215","CRANE COMPANY",266,14237133.3578657,2000,2021,215
"216","150426468",4,14213090.0000138,2000,2003,216
"217","080374350",17,14148264.3546373,2018,2021,217
"218","019839130",32,14108697.2419117,2014,2020,218
"219","687757112",13,14050138.1137319,2000,2002,219
"220","360663033",118,13901156.3321625,2002,2021,220
"221","008285264",186,13751450.524369,2002,2008,221
"222","001150978",322,13687673.6637159,2000,2015,222
"223","047154182",115,13532303.5394334,2002,2021,223
"224","144387615",309,13514618.9482114,2006,2021,224
"225","038361853",376,13481763.5881425,2001,2021,225
"226","Foreign Contractor",95,13311701.2588652,2004,2021,226
"227","046067922",913,13274265.1932933,2000,2021,227
"228","001443399",258,13036640.32177,2000,2021,228
"229","009534801",26,13034483.6407266,2003,2019,229
"230","963444869",242,12902213.8943117,2011,2021,230
"231","941719007",384,12882537.0570146,2000,2021,231
"232","809526085",76,12794826.8467553,2014,2019,232
"233","039603477",484,12718713.2258353,2000,2021,233
"234","194903670",741,12586959.4849197,2000,2021,234
"235","091824177",10,12567715.993427,2000,2001,235
"236","AEROQUIP VICKERS",211,12519333.6026291,2001,2021,236
"237","780026220",42,12409770.5992929,2008,2021,237
"238","960114320",36,12358552.5452454,2002,2021,238
"239","150682177",260,12218771.9099236,2001,2016,239
"240","001307594",156,12212921.8861856,2000,2021,240
"241","033359266",43,12200283.0190702,2000,2002,241
"242","849905286",175,12079751.5873504,2000,2019,242
"243","879186468",158,11682453.0449777,2000,2021,243
"244","002045375",227,11666507.8784922,2000,2021,244
"245","118649891",776,11650476.251267,2005,2021,245
"246","363038212",134,11562910.3092857,2009,2021,246
"247","CURTISS WRIGHT",46,11291290.7836287,2001,2021,247
"248","041827986",24,11239535.7052287,2006,2017,248
"249","361941875",69,11193512.9072345,2000,2021,249
"250","111714531",23,11002428.6981462,2000,2000,250
"251","174389130",101,10877032.7330936,2000,2021,251
"252","058985383",31,10792940.8065659,2003,2017,252
"253","ARINC [Carlyle Group]",14,10521475.5364518,2002,2012,253
"254","001389642",71,10505254.312862,2000,2014,254
"255","053149084",163,10360206.5438677,2000,2021,255
"256","041306929",23,10338187.0998891,2000,2021,256
"257","FIGGIE INTERNATIONAL",87,10080474.3026653,2002,2007,257
"258","832916188",5,10001773.9609347,2012,2014,258
"259","GENERAL DYNAMICS",84,9903391.90066195,2002,2021,259
"260","192170025",1,9848051.33143036,2003,2003,260
"261","003498029",269,9758533.11366038,2000,2021,261
"262","601888282",38,9629425.8653477,2001,2013,262
"263","005321146",153,9597312.23647325,2004,2021,263
"264","157669607",33,9591701.34334279,2002,2021,264
"265","002377554",119,9537642.15477944,2000,2021,265
"266","001282722",369,9484567.41694456,2000,2021,266
"267","519170963",4,9483407.65748265,2005,2007,267
"268","196928782",90,9464436.0233379,2000,2018,268
"269","104459792",121,9358055.55606151,2003,2016,269
"270","004105904",412,9343509.05565918,2000,2021,270
"271","001022185",466,9305321.51745075,2000,2021,271
"272","253542328",14,9304085.80158247,2000,2005,272
"273","824943455",595,9227026.1036207,2007,2021,273
"274","082416140",123,9223213.09445489,2009,2021,274
"275","796569333",150,9162366.32822369,2001,2008,275
"276","GENERAL MOTORS",22,9128692.75168738,2000,2018,276
"277","058735499",104,9111913.54257823,2001,2021,277
"278","170204825",43,9093349.89344375,2006,2017,278
"279","782389837",239,9081050.78270777,2001,2021,279
"280","LIFE CYCLE ENGINEERING",16,9069395.3066477,2013,2016,280
"281","044368595",106,8894043.27149374,2000,2008,281
"282","AIRBUS",14,8788873.56101301,2017,2020,282
"283","005123856",127,8768933.57069279,2000,2021,283
"284","009577768",175,8729153.35357138,2000,2021,284
"285","085941466",9,8700945.455007,2013,2018,285
"286","614974087",20,8675259.64377208,2007,2015,286
"287","195580881",134,8622862.39202696,2006,2021,287
"288","052705266",106,8328888.38634354,2000,2017,288
"289","175344068",72,8288517.36754857,2001,2018,289
"290","151065349",77,8269308.61327783,2000,2009,290
"291","210253480",97,8233444.07610415,2002,2009,291
"292","008010936",12,8228048.79993427,2000,2018,292
"293","600041321",59,8139795.76257605,2002,2021,293
"294","KRATOS DEFENSE & SECURITY",4,8095149.92876206,2018,2019,294
"295","WOOD GROUP PRATT & WHITNEY",15,7968015.66875171,2000,2005,295
"296","555486646",82,7965324.10816786,2000,2021,296
"297","174297440",151,7933246.23368552,2003,2021,297
"298","017391348",30,7929291.87746986,2004,2021,298
"299","116057019",57,7877575.91902654,2000,2000,299
"300","965252943",61,7868669.26148486,2012,2021,300
"301","600117592",6,7737045.99344468,2003,2012,301
"302","065933426",40,7642605.7156016,2000,2018,302
"303","161597950",146,7638650.44284204,2001,2021,303
"304","073955507",24,7552466.29396563,2000,2013,304
"305","106205552",20,7551348.63390453,2005,2013,305
"306","001119924",207,7514534.38723979,2000,2021,306
"307","062204573",26,7502070.649532,2000,2019,307
"308","005335294",137,7474067.90333414,2000,2021,308
"309","001083609",166,7457379.64534292,2000,2021,309
"310","005451240",64,7438059.22500645,2001,2021,310
"311","962056359",407,7365878.57445759,2010,2021,311
"312","825618861",118,7300836.03810056,2000,2021,312
"313","ISRAEL AIRCRAFT INDUSTRIES",31,7259762.48607846,2000,2012,313
"314","147949895",72,7252088.46789093,2000,2020,314
"315","738322325",54,7244368.30880889,2007,2012,315
"316","089400642",145,7237768.95274541,2000,2021,316
"317","001010081",235,7227343.92016357,2000,2011,317
"318","ATK",18,7223803.54452473,2000,2014,318
"319","ARLINGTON CAPITAL PARTNERS [TSI GROUP, INC ]",5,7198313.04585772,2003,2004,319
"320","878427012",78,7150493.20040469,2002,2014,320
"321","CARNEGIE MELLON UNIVERSITY",16,7117067.13075974,2002,2008,321
"322","072021041",51,7115329.71027417,2006,2020,322
"323","045006343",74,7095461.95044159,2000,2021,323
"324","047874839",130,7044125.01217074,2000,2021,324
"325","556890689",2,7040626.59176219,2002,2002,325
"326","043217764",3,7009412.19805146,2010,2011,326
"327","001124965",164,7009341.1564948,2000,2021,327
"328","183125293",102,6957524.16947573,2001,2021,328
"329","938587201",213,6906375.89194776,2002,2021,329
"330","038727181",14,6903086.23005672,2002,2011,330
"331","932267776",11,6623677.28693818,2007,2010,331
"332","169726267",121,6622306.77984363,2012,2017,332
"333","809968902",93,6592757.1255,2021,2021,333
"334","883926594",36,6589761.19493788,2000,2019,334
"335","085505951",137,6512616.46348245,2008,2021,335
"336","006095921",29,6481426.96771804,2002,2020,336
"337","035020445",144,6471231.34494367,2000,2021,337
"338","057331589",15,6468732.5108134,2001,2018,338
"339","001119825",87,6464588.75282203,2000,2016,339
"340","EDAC TECHNOLOGIES",25,6417807.70875779,2004,2016,340
"341","040370249",469,6303275.32529094,2000,2021,341
"342","194909032",133,6243091.5316822,2000,2021,342
"343","072051394",2,6186987.40389161,2019,2021,343
"344","020016718",17,6153177.95644204,2008,2020,344
"345","001055318",86,6110001.92154582,2000,2016,345
"346","DEFENSE SUPPORT SERVICES",77,6044231.26803051,2006,2021,346
"347","217190248",30,6019572.44838667,2001,2012,347
"348","824903389",12,6013277.53202685,2019,2021,348
"349","005455571",249,5966763.87970171,2003,2009,349
"350","087354882",83,5934676.60867765,2000,2021,350
"351","151317955",30,5911844.20451298,2000,2021,351
"352","799123146",140,5896155.4570468,2000,2021,352
"353","054840228",84,5891531.90152704,2000,2008,353
"354","146592568",361,5884229.48888578,2002,2021,354
"355","024355802",44,5875261.25258561,2001,2016,355
"356","155421522",27,5856504.39935167,2006,2018,356
"357","WESTAR AEROSPACE & DEFENSE GRO",7,5849036.29435323,2002,2004,357
"358","Orbital ATK",65,5795280.45214739,2015,2018,358
"359","958735722",14,5788807.33751478,2017,2021,359
"360","002049351",20,5752978.19241396,2000,2021,360
"361","COLUMBIA HELICOPTERS",46,5746199.19636557,2002,2021,361
"362","190757443",33,5680888.69879542,2000,2002,362
"363","099455826",4,5664008.58379665,2001,2016,363
"364","006295422",70,5656822.05810446,2001,2021,364
"365","966649048",39,5644866.47158621,2000,2019,365
"366","006320915",85,5634940.78857507,2000,2021,366
"367","WESTERN FILTER",111,5614527.94138923,2000,2016,367
"368","687874370",20,5610246.12505182,2016,2020,368
"369","TRANSTECHNOLOGY",77,5607883.2113586,2000,2014,369
"370","CATERPILLAR",1010,5576784.58208166,2003,2021,370
"371","148411283",54,5574647.37304407,2000,2002,371
"372","005471065",80,5574035.36401705,2005,2021,372
"373","966569613",183,5554598.19326896,2011,2021,373
"374","941348278",38,5530708.31553356,2008,2021,374
"375","185169620",28,5506193.77113303,2002,2014,375
"376","118947956",18,5496241.13658991,2012,2021,376
"377","006249098",10,5485908.27854951,2000,2003,377
"378","967545849",121,5475514.02035491,2000,2021,378
"379","022839687",6,5410668.36903389,2000,2003,379
"380","006896823",27,5390753.17722898,2000,2019,380
"381","181947730",35,5348785.22093955,2004,2021,381
"382","039467761",71,5333107.62172719,2005,2021,382
"383","070111927",220,5323648.34469655,2001,2021,383
"384","072702871",52,5323144.72773235,2000,2021,384
"385","GLOBAL STRATEGIES GROUP",6,5318940.94924375,2009,2013,385
"386","145723656",14,5247314.87371256,2003,2009,386
"387","938895794",20,5194840.09760116,2006,2009,387
"388","177039922",130,5154857.98849983,2007,2021,388
"389","216302588",8,5146442.02730364,2004,2007,389
"390","076905350",69,5108574.97906352,2017,2021,390
"391","087742854",36,5087822.91688893,2000,2012,391
"392","158246293",120,5072855.28094899,2001,2021,392
"393","059717173",90,5069381.3241853,2000,2013,393
"394","798611331",27,5069226.98011774,2000,2016,394
"395","005106778",24,5066200.84214032,2000,2006,395
"396","001315126",162,5065099.98793768,2000,2021,396
"397","069342616",34,5051204.23658843,2001,2017,397
"398","362934754",4,5024911.9649565,2007,2007,398
"399","161911532",20,4998807.65495254,2008,2021,399
"400","148704398",23,4982263.88240982,2000,2010,400
"401","002271856",90,4962726.19653234,2000,2019,401
"402","609717462",227,4891322.04920694,2006,2021,402
"403","002947836",18,4884622.97890504,2000,2019,403
"404","131331253",124,4843685.00435951,2004,2021,404
"405","043175926",149,4839325.00587532,2000,2021,405
"406","136108342",46,4792777.36840167,2004,2021,406
"407","028913619",22,4779843.36807239,2006,2011,407
"408","783140346",210,4768322.50968186,2000,2021,408
"409","605305804",154,4720877.43355664,2000,2015,409
"410","062167416",22,4707473.52196505,2000,2017,410
"411","404309817",15,4674055.26564491,2000,2010,411
"412","216972737",219,4662752.23054639,2003,2021,412
"413","040200599",210,4654000.76141056,2003,2021,413
"414","054989991",572,4650328.54735802,2002,2021,414
"415","196231166",34,4624351.52255982,2006,2020,415
"416","089107726",259,4601963.44696223,2000,2021,416
"417","605435101",4,4573611.19681908,2014,2015,417
"418","130455335",30,4568680.69724551,2006,2015,418
"419","006247019",20,4563885.41944731,2001,2016,419
"420","962236571",15,4559239.66771309,2016,2020,420
"421","050198027",323,4558827.57505496,2000,2021,421
"422","163747152",168,4503771.41019745,2013,2021,422
"423","157301839",87,4461003.51240064,2002,2017,423
"424","879079523",77,4413222.03926049,2000,2021,424
"425","141951223",8,4407647.52378359,2004,2017,425
"426","061962358",229,4404321.37476185,2005,2021,426
"427","009694092",67,4382341.34806271,2000,2021,427
"428","132336426",6,4363948.13564515,2013,2021,428
"429","096531967",100,4339905.15993894,2013,2021,429
"430","010153476",146,4330831.87313338,2000,2021,430
"431","037551280",312,4299287.14466345,2000,2021,431
"432","072453749",52,4288040.21160463,2002,2021,432
"433","607330206",131,4260402.39122845,2006,2021,433
"434","066477154",162,4257877.43029334,2006,2021,434
"435","048112213",20,4256886.59943785,2001,2017,435
"436","600026074",11,4248483.3964944,2014,2016,436
"437","068149707",6,4226261.34853449,2000,2000,437
"438","149642071",55,4207097.39321311,2006,2017,438
"439","607611381",123,4195720.40501012,2000,2021,439
"440","079880866",3,4192859.3864586,2020,2021,440
"441","103175931",9,4185197.60522156,2017,2019,441
"442","828118674",9,4150781.79848325,2011,2012,442
"443","170303205",239,4146228.08339959,2005,2021,443
"444","615111408",59,4141759.98606196,2001,2021,444
"445","003384687",15,4138717.58104776,2002,2016,445
"446","361517212",83,4135031.78029664,2000,2021,446
"447","127800675",29,4132240.96793354,2005,2021,447
"448","097858836",15,4102358.1826811,2000,2009,448
"449","018413208",21,4086046.97702743,2003,2014,449
"450","BATTELLE",17,4078738.44286541,2000,2007,450
"451","792956013",11,4075160.7326039,2003,2009,451
"452","MODERN TECHNOLOGIES",2,4037579.52655525,2001,2002,452
"453","379990062",9,4001745.42262603,2000,2000,453
"454","044465508",45,3983924.59021978,2000,2019,454
"455","048485478",8,3982715.03074885,2005,2016,455
"456","833249076",3,3982536.40753786,2010,2011,456
"457","008376014",58,3981774.61581307,2001,2019,457
"458","053000720",2,3974222.12363281,2002,2002,458
"459","787408947",150,3964728.23110889,2010,2012,459
"460","615345329",23,3958616.65464017,2007,2021,460
"461","798021085",60,3939140.63434263,2003,2021,461
"462","081248114",25,3932208.0297004,2004,2021,462
"463","128193997",15,3913534.4836048,2000,2010,463
"464","032614406",48,3903997.73228849,2000,2020,464
"465","627265200",86,3900695.44686739,2003,2021,465
"466","078750814",48,3900580.85833516,2016,2021,466
"467","211382430",26,3896140.58945523,2018,2021,467
"468","121360627",169,3881665.84589944,2006,2021,468
"469","235489762",74,3865615.3608385,2003,2021,469
"470","097977268",228,3826713.42140797,2000,2021,470
"471","009558396",117,3818970.67481194,2001,2021,471
"472","AEROJET ROCKETDYNE HOLDINGS",8,3816123.05015494,2018,2021,472
"473","096085097",13,3811319.69727261,2004,2014,473
"474","CMC Electronics",12,3811247.91783851,2004,2006,474
"475","152721460",19,3801244.019011,2000,2013,475
"476","ESSEX INDUSTRIES",68,3786314.63898658,2003,2014,476
"477","EXTEX",39,3766358.61057393,2000,2010,477
"478","145940628",88,3750359.31122958,2002,2021,478
"479","036500804",13,3746927.25369836,2011,2016,479
"480","060320702",5,3745972.10273675,2005,2021,480
"481","078880610",129,3663904.13009048,2014,2019,481
"482","161183322",27,3663471.58443684,2008,2018,482
"483","050624279",58,3656030.38200743,2003,2021,483
"484","153573837",164,3601825.68451858,2000,2021,484
"485","556062649",21,3590870.05321546,2007,2021,485
"486","047705561",113,3589213.86053467,2000,2010,486
"487","079430565",4,3568305.20760121,2018,2021,487
"488","085172005",186,3553593.63160615,2001,2021,488
"489","828127139",133,3551558.42634132,2008,2021,489
"490","013518477",64,3543935.26284174,2000,2008,490
"491","187848619",3,3532233.06553916,2010,2014,491
"492","062217922",62,3510342.55835676,2001,2009,492
"493","077523082",106,3508285.37739029,2000,2021,493
"494","030868475",30,3506527.20178725,2003,2021,494
"495","001468669",43,3489428.25678563,2000,2016,495
"496","604072413",195,3464960.67883352,2000,2011,496
"497","073800062",21,3462335.84615866,2005,2017,497
"498","101905318",119,3460104.07328943,2006,2021,498
"499","005594908",17,3452733.65029715,2005,2017,499
"500","929515468",15,3442392.2734382,2009,2015,500
"501","153927827",14,3419120.44518626,2000,2017,501
"502","068067230",82,3415980.36391539,2002,2021,502
"503","623854903",168,3413931.56751805,2008,2021,503
"504","121797757",53,3364957.6695856,2000,2008,504
"505","018925735",63,3363492.36641654,2000,2021,505
"506","002050177",8,3361568.83859877,2002,2013,506
"507","188465819",20,3356328.91316481,2004,2017,507
"508","001185040",67,3338943.11637661,2000,2021,508
"509","059974006",73,3338618.17096154,2002,2021,509
"510","066534723",84,3338063.79973163,2004,2010,510
"511","416214963",3,3310822.58490635,2002,2002,511
"512","010304475",8,3306855.14292196,2000,2002,512
"513","056746068",70,3302346.08050979,2001,2021,513
"514","THE ALPINE GROUP",29,3302161.99098732,2006,2021,514
"515","004117594",135,3282416.2806067,2008,2021,515
"516","328784728",92,3281274.64133333,2009,2016,516
"517","004193843",20,3274578.74873021,2017,2021,517
"518","004212437",34,3271829.87125226,2000,2010,518
"519","092071232",57,3270740.53225551,2000,2021,519
"520","177484149",149,3264987.66998497,2005,2021,520
"521","802594817",8,3261512.98629324,2017,2020,521
