"progsourceagency","progsourceaccount","ColorOfMoney","Action_Obligation_OMB23_GDP21"
11,4116,NA,9511408.05308736
11,8242,"FMS",1450985384.59785
14,1804,NA,114028.689004706
17,1106,"O&M",2149204.20540531
17,1108,NA,2344186.77740546
17,1109,"PROC",-1517.76243133948
17,1319,"RDT&E",1939315206.98361
17,1320,"RDT&E",0
17,1506,"PROC",11205729264.1032
17,1507,"PROC",11136349.1880022
17,1611,"PROC",5855304.78150994
17,1804,"O&M",3101590311.89356
17,1805,"O&M",0
17,1806,"O&M",289571990.231849
17,1807,"O&M",559685.001576309
17,1810,"PROC",66746611.2608967
21,2010,"MILPERS",0
21,2020,"O&M",1316306267.48764
21,2031,"PROC",1820027658.44432
21,2032,"PROC",0
21,2035,"PROC",2170880.99169031
21,2040,"RDT&E",242118804.389446
21,2050,"MILCON",50391.3566689618
21,2065,"O&M",113457581.942945
21,2080,"O&M",33629246.1306898
21,2093,NA,2395292.57553895
49,4930,NA,102342.832459907
57,3010,"PROC",6405627018.46591
57,3020,"PROC",12689.435074158
57,3080,"PROC",18693581.1009456
57,3200,NA,0
57,3400,"O&M",4973389817.97266
57,3500,"MILPERS",0
57,3600,"RDT&E",2687403102.34323
57,3605,"RDT&E",-128235.862935331
57,3700,NA,0
57,3730,"MILCON",932753.748225847
57,3740,"O&M",35310721.8042653
57,3830,"MILCON",10428.2026439151
57,3840,"O&M",307158679.976136
57,3850,NA,38417.8474903989
70,610,NA,40533561.3530392
70,613,NA,4432.11440077562
80,121,NA,273019.752237339
80,126,NA,10217.213312157
89,4045,NA,4512294.43710383
93,100,NA,11796.825391198
96,3112,NA,488683.065589174
96,3122,NA,13288338.6396451
96,3123,NA,11691185.0171825
96,3125,NA,42398.5622865238
96,3134,NA,4704991.12670002
96,3135,NA,15312672.0297722
96,4045,NA,210301.488029843
96,4902,NA,5484892.72786079
96,6094,NA,11221.1297241237
96,8862,NA,29310475.9508743
97,40,NA,159577.165015057
97,100,"O&M",229641870.331558
97,111,NA,1677054.44373314
97,130,NA,636259.123824758
97,300,"PROC",8986905.52231733
97,350,NA,24377042.1814544
97,400,"RDT&E",51062529.0865123
97,512,NA,587222.986323316
97,4116,NA,41486.3055289863
97,4930,"RF",19423764464.194
97,8242,"FMS",5687491462.53908
NA,NA,NA,3132373980.64126
