CSIScontractID,idvpiid,piid,ContractNumber,idvmodificationnumber,modnumber,transactionnumber,CSIStransactionID,agencyID,contractingofficeagencyid,idvagencyid,CSISidvmodificationID,CSISidvpiidid,isIDV,CSISsourceIDVmodificationID,CSISmodifiedBy,CSISmodifiedDate,fiscal_year,last_modified_date,MaxOfCSISCreatedDate,IsInContractFPDS,IsNew6Dup,contract_transaction_unique_key,contract_award_unique_key,IsFPDSerror,ContractLabelID,ContractLabelText,TFBSOoriginated,TFBSOmentioned,IsPerformanceBasedLogistics,IsOrganicPBL,IsOfficialPBL,PrimaryProjectID,CrisisFunding,IsOddBlankIDVagencyID,IsOddBlankIDVPIID
10096770,FA865009D2923,0011,NULL,0,0,4,15624978,9700,5700,9700,284400,171543,0,NULL,CSIS\GSanders,2015-04-23 15:04:40.037,2009,2013-07-16 00:00:00.0000000,2017-01-03 07:44:00.343,1,0,9700_9700_0011_0_FA865009D2923_4,CONT_AWD_0011_9700_FA865009D2923_9700,NULL,1070,Advanced Engine Development,NULL,NULL,NULL,NULL,NULL,2260,NULL,0,0
10096754,FA865009D2922,0007,NULL,0,1,4,15844706,9700,5700,9700,258678,270707,0,NULL,CSIS\GSanders,2015-04-23 15:04:40.037,2009,2010-02-15 00:00:00.0000000,2017-01-03 07:29:41.120,1,0,9700_9700_0007_1_FA865009D2922_4,CONT_AWD_0007_9700_FA865009D2922_9700,NULL,1070,Advanced Engine Development,NULL,NULL,NULL,NULL,NULL,2260,NULL,0,0
10096764,FA865009D2923,0004,NULL,0,6,4,338672,9700,5700,9700,284400,171543,0,NULL,CSIS\GSanders,2015-04-23 15:04:40.037,2010,2013-07-16 00:00:00.0000000,2017-01-03 08:37:10.240,1,0,NULL,NULL,NULL,1070,Advanced Engine Development,NULL,NULL,NULL,NULL,NULL,2260,NULL,0,0
10096764,FA865009D2923,0004,NULL,0,22,4,1238330,9700,5700,9700,284400,171543,0,NULL,CSIS\GSanders,2015-04-23 15:04:40.037,2012,2013-07-16 00:00:00.0000000,2017-01-04 00:10:01.707,1,0,NULL,NULL,NULL,1070,Advanced Engine Development,NULL,NULL,NULL,NULL,NULL,2260,NULL,0,0
10096764,FA865009D2923,0004,NULL,0,1,4,1896713,9700,5700,9700,284400,171543,0,NULL,CSIS\GSanders,2015-04-23 15:04:40.037,2010,2013-07-16 00:00:00.0000000,2017-01-03 08:49:28.320,1,0,NULL,NULL,NULL,1070,Advanced Engine Development,NULL,NULL,NULL,NULL,NULL,2260,NULL,0,0
10096759,FA865009D2922,0012,NULL,0,0,2,2269709,9700,5700,9700,258678,270707,0,NULL,CSIS\GSanders,2015-04-23 15:04:40.037,2012,2012-04-16 00:00:00.0000000,2017-01-03 23:59:53.423,1,0,NULL,NULL,NULL,1070,Advanced Engine Development,NULL,NULL,NULL,NULL,NULL,2260,NULL,0,0
10096764,FA865009D2923,0004,NULL,0,14,4,3306038,9700,5700,9700,284400,171543,0,NULL,CSIS\GSanders,2015-04-23 15:04:40.037,2011,2013-07-16 00:00:00.0000000,2017-01-03 16:18:50.057,1,0,NULL,NULL,NULL,1070,Advanced Engine Development,NULL,NULL,NULL,NULL,NULL,2260,NULL,0,0
10096759,FA865009D2922,0012,NULL,0,1,2,3356286,9700,5700,9700,258678,270707,0,NULL,CSIS\GSanders,2015-04-23 15:04:40.037,2012,2012-06-29 00:00:00.0000000,2017-01-04 00:07:49.783,1,0,NULL,NULL,NULL,1070,Advanced Engine Development,NULL,NULL,NULL,NULL,NULL,2260,NULL,0,0
10096764,FA865009D2923,0004,NULL,0,20,4,3587510,9700,5700,9700,284400,171543,0,NULL,CSIS\GSanders,2015-04-23 15:04:40.037,2012,2013-07-16 00:00:00.0000000,2017-01-04 00:27:42.147,1,0,NULL,NULL,NULL,1070,Advanced Engine Development,NULL,NULL,NULL,NULL,NULL,2260,NULL,0,0
10096776,FA865009D2923,0018,NULL,0,3,2,4661278,9700,5700,9700,284400,171543,0,NULL,CSIS\GSanders,2015-04-23 15:04:40.037,2012,2013-08-20 00:00:00.0000000,2017-01-04 00:36:46.577,1,0,NULL,NULL,NULL,1070,Advanced Engine Development,NULL,NULL,NULL,NULL,NULL,2260,NULL,0,0
10096764,FA865009D2923,0004,NULL,0,0,4,5941166,9700,5700,9700,284400,171543,0,NULL,CSIS\GSanders,2015-04-23 15:04:40.037,2009,2013-07-16 00:00:00.0000000,2017-01-03 07:08:17.520,1,0,9700_9700_0004_0_FA865009D2923_4,CONT_AWD_0004_9700_FA865009D2923_9700,NULL,1070,Advanced Engine Development,NULL,NULL,NULL,NULL,NULL,2260,NULL,0,0
10096764,FA865009D2923,0004,NULL,0,17,4,6256330,9700,5700,9700,284400,171543,0,NULL,CSIS\GSanders,2015-04-23 15:04:40.037,2011,2013-07-16 00:00:00.0000000,2017-01-03 16:17:59.283,1,0,NULL,NULL,NULL,1070,Advanced Engine Development,NULL,NULL,NULL,NULL,NULL,2260,NULL,0,0
10096764,FA865009D2923,0004,NULL,0,11,4,7563158,9700,5700,9700,284400,171543,0,NULL,CSIS\GSanders,2015-04-23 15:04:40.037,2011,2013-07-16 00:00:00.0000000,2017-01-03 16:08:32.507,1,0,NULL,NULL,NULL,1070,Advanced Engine Development,NULL,NULL,NULL,NULL,NULL,2260,NULL,0,0
10096764,FA865009D2923,0004,NULL,0,19,4,8674659,9700,5700,9700,284400,171543,0,NULL,CSIS\GSanders,2015-04-23 15:04:40.037,2012,2013-07-16 00:00:00.0000000,2017-01-03 23:51:03.383,1,0,NULL,NULL,NULL,1070,Advanced Engine Development,NULL,NULL,NULL,NULL,NULL,2260,NULL,0,0
10096777,FA865009D2923,0019,NULL,0,1,4,9125136,9700,5700,9700,284400,171543,0,NULL,CSIS\GSanders,2015-04-23 15:04:40.037,2012,2013-07-16 00:00:00.0000000,2017-01-04 00:16:43.597,1,0,NULL,NULL,NULL,1070,Advanced Engine Development,NULL,NULL,NULL,NULL,NULL,2260,NULL,0,0
10096777,FA865009D2923,0019,NULL,0,0,4,10381836,9700,5700,9700,284400,171543,0,NULL,CSIS\GSanders,2015-04-23 15:04:40.037,2012,2013-07-16 00:00:00.0000000,2017-01-03 23:52:54.810,1,0,NULL,NULL,NULL,1070,Advanced Engine Development,NULL,NULL,NULL,NULL,NULL,2260,NULL,0,0
10096775,FA865009D2923,0017,NULL,0,0,4,10405030,9700,5700,9700,284400,171543,0,NULL,CSIS\GSanders,2015-04-23 15:04:40.037,2012,2013-07-16 00:00:00.0000000,2017-01-04 00:11:33.577,1,0,NULL,NULL,NULL,1070,Advanced Engine Development,NULL,NULL,NULL,NULL,NULL,2260,NULL,0,0
10096764,FA865009D2923,0004,NULL,0,13,4,11907622,9700,5700,9700,284400,171543,0,NULL,CSIS\GSanders,2015-04-23 15:04:40.037,2011,2013-07-16 00:00:00.0000000,2017-01-03 16:09:16.463,1,0,NULL,NULL,NULL,1070,Advanced Engine Development,NULL,NULL,NULL,NULL,NULL,2260,NULL,0,0
10096764,FA865009D2923,0004,NULL,0,10,4,12262739,9700,5700,9700,284400,171543,0,NULL,CSIS\GSanders,2015-04-23 15:04:40.037,2011,2013-07-16 00:00:00.0000000,2017-01-03 16:00:26.007,1,0,NULL,NULL,NULL,1070,Advanced Engine Development,NULL,NULL,NULL,NULL,NULL,2260,NULL,0,0
10096764,FA865009D2923,0004,NULL,0,16,4,12267179,9700,5700,9700,284400,171543,0,NULL,CSIS\GSanders,2015-04-23 15:04:40.037,2011,2013-07-16 00:00:00.0000000,2017-01-03 16:02:05.950,1,0,NULL,NULL,NULL,1070,Advanced Engine Development,NULL,NULL,NULL,NULL,NULL,2260,NULL,0,0
10096767,FA865009D2923,0008,NULL,0,1,4,1477535,9700,5700,9700,284400,171543,0,NULL,CSIS\GSanders,2015-04-23 15:04:40.037,2009,2013-07-16 00:00:00.0000000,2017-01-03 07:37:05.850,1,0,9700_9700_0008_1_FA865009D2923_4,CONT_AWD_0008_9700_FA865009D2923_9700,NULL,1070,Advanced Engine Development,NULL,NULL,NULL,NULL,NULL,2260,NULL,0,0
10096763,FA865009D2923,0003,NULL,0,2,4,1950508,9700,5700,9700,284400,171543,0,NULL,CSIS\GSanders,2015-04-23 15:04:40.037,2009,2013-07-16 00:00:00.0000000,2017-01-03 07:26:10.827,1,0,9700_9700_0003_2_FA865009D2923_4,CONT_AWD_0003_9700_FA865009D2923_9700,NULL,1070,Advanced Engine Development,NULL,NULL,NULL,NULL,NULL,2260,NULL,0,0
10096766,FA865009D2923,0007,NULL,0,3,4,3449233,9700,5700,9700,284400,171543,0,NULL,CSIS\GSanders,2015-04-23 15:04:40.037,2011,2013-07-16 00:00:00.0000000,2017-01-03 16:18:52.280,1,0,NULL,NULL,NULL,1070,Advanced Engine Development,NULL,NULL,NULL,NULL,NULL,2260,NULL,0,0
10096763,FA865009D2923,0003,NULL,0,6,4,3018689,9700,5700,9700,284400,171543,0,NULL,CSIS\GSanders,2015-04-23 15:04:40.037,2010,2013-07-16 00:00:00.0000000,2017-01-03 09:06:09.313,1,0,NULL,NULL,NULL,1070,Advanced Engine Development,NULL,NULL,NULL,NULL,NULL,2260,NULL,0,0
10096763,FA865009D2923,0003,NULL,0,4,4,6743935,9700,5700,9700,284400,171543,0,NULL,CSIS\GSanders,2015-04-23 15:04:40.037,2010,2013-07-16 00:00:00.0000000,2017-01-03 08:43:34.453,1,0,NULL,NULL,NULL,1070,Advanced Engine Development,NULL,NULL,NULL,NULL,NULL,2260,NULL,0,0
10096749,FA865009D2922,0002,NULL,0,2,4,7137094,9700,5700,9700,258678,270707,0,NULL,CSIS\GSanders,2015-04-23 15:04:40.037,2010,2010-05-06 00:00:00.0000000,2017-01-03 08:54:59.187,1,0,NULL,NULL,NULL,1070,Advanced Engine Development,NULL,NULL,NULL,NULL,NULL,2260,NULL,0,0
10096763,FA865009D2923,0003,NULL,0,1,4,9087580,9700,5700,9700,284400,171543,0,NULL,CSIS\GSanders,2015-04-23 15:04:40.037,2009,2013-07-16 00:00:00.0000000,2017-01-03 07:00:16.360,1,0,9700_9700_0003_1_FA865009D2923_4,CONT_AWD_0003_9700_FA865009D2923_9700,NULL,1070,Advanced Engine Development,NULL,NULL,NULL,NULL,NULL,2260,NULL,0,0
10096766,FA865009D2923,0007,NULL,0,1,4,10206061,9700,5700,9700,284400,171543,0,NULL,CSIS\GSanders,2015-04-23 15:04:40.037,2009,2013-07-16 00:00:00.0000000,2017-01-03 07:06:49.000,1,0,9700_9700_0007_1_FA865009D2923_4,CONT_AWD_0007_9700_FA865009D2923_9700,NULL,1070,Advanced Engine Development,NULL,NULL,NULL,NULL,NULL,2260,NULL,0,0
