CSIStransactionID	descriptionofcontractrequirement	recipient_uei	recipient_parent_uei	parentdunsnumber	vendorname	standardizedvendorname	principalnaicscode
107017229	REPAIR OF RATE OF FLOW TRANSMITTER	Z2X6JNJKXEP8	Z2X6JNJKXEP8	10996890	"GYRO HOUSE, THE"	GYRO HOUSE	336413
107016986	MOD TO EXERCISE OPTION YEAR I FOR TGH.	Z2X6JNJKXEP8	Z2X6JNJKXEP8	10996890	"GYRO HOUSE, THE"	GYRO HOUSE	336413
5380737	NO COST TIME EXTENSION	NULL	NULL	11606915	OPTISWITCH TECHNOLOGY CORP	OPTISWITCH TECHNOLOGY	541712
13222152		NULL	NULL	12076795	SIMMETRIX INC	SIMMETRIX	541710
21285518		NULL	NULL	12630203	"PEREGRINE CONSULTING, INC"	PEREGRINE CONSULTING	541710
14786796		NULL	NULL	12630203	"PEREGRINE CONSULTING, INC"	PEREGRINE CONSULTING	541710
17206740		NULL	NULL	12913265	ANALYSIS & DESIGN APPLICATION	ANALYSIS & DESIGN APPLICATION	541710
33200726		YPG9JKMCSUA8	NULL	14152511	HYPER TECH RESEARCH INC	HYPER TECH RESEARCH	541710
38268391	"IGF::OT::IGF  PHASE II SBIR TOPIC AF 112-208, PROACTIVE METHODOLOGY FOR IDENTIFYING PROBLEM AEROSPACE PARTS"	NULL	NULL	14155393	VG ENTERPRISES INC	VG ENTERPRISES	541712
36307835	IGF::OT::IGF R&D SBIR TOPIC AF112-208 PROACTIVE METHODOLOGY FOR IDENTIFYING PROBLEM AEROSPAE PARTS PHASE II AWARD	NULL	NULL	14155393	VG ENTERPRISES INC	VG ENTERPRISES	541712
41755726	IGF::OT::IGF SBIR PHASE II TOPIC AF112-208 PROACTIVE METHODOLOGY FOR IDENTIFYING PROBLEM AEROSPACE PARTS	NULL	NULL	14155393	VG ENTERPRISES INC	VG ENTERPRISES	541712
62830005	IGF::OT::IGF R&D SBIR TOPIC AF112-208 PROACTIVE METHODOLOGY FOR IDENTIFYING PROBLEM AEROSPAE PARTS PHASE II AWARD	NULL	NULL	14155393	VG ENTERPRISES INC	VG ENTERPRISES	541712
64389333	IGF::OT::IGF R&D SBIR TOPIC AF112-208 PROACTIVE METHODOLOGY FOR IDENTIFYING PROBLEM AEROSPAE PARTS PHASE II AWARD	NULL	NULL	14155393	VG ENTERPRISES INC	VG ENTERPRISES	541712
33074238	SBIR PHASE I AWARD	NULL	NULL	14155393	VG ENTERPRISES INC	VG ENTERPRISES	541712
2950292	HIGH TEMPERATURE BLADE HEALTH MEASUREMENT SYSTEM FOR ADAPTIV	NULL	NULL	15334899	"MECHANICAL SOLUTIONS, INCORPORATED"	MECHANICAL SOLUTIONS	541712
12086807	SBIR II: HI TEMP BLADE HEALTH MEASUREMENT SYS FOR ADAPTIVE ENGINES	NULL	NULL	15334899	"MECHANICAL SOLUTIONS, INCORPORATED"	MECHANICAL SOLUTIONS	541712
27477004	SBIR II HI TEMP BLADE HEALTH MEASUREMENT SYS FOR ADAPTIVE ENGINES	NULL	NULL	15334899	"MECHANICAL SOLUTIONS, INCORPORATED"	MECHANICAL SOLUTIONS	541712
1757870	"PARALLEL OPERATION OF COMPACT, EFFICIENT TURBOGENERATORS FOR"	NULL	NULL	15334899	"MECHANICAL SOLUTIONS, INCORPORATED"	MECHANICAL SOLUTIONS	541712
41365583	IGF::OT::IGF HIGH TEMP BLADE HEALTH MEASUREMENT SYSTEM	NULL	NULL	15334899	"MECHANICAL SOLUTIONS, INCORPORATED"	MECHANICAL SOLUTIONS	541712
12851142		NULL	NULL	15334899	MECHANICAL SOLUTIONS INC	MECHANICAL SOLUTIONS	541710
39384282	SBIR II EXTENSION: HIGH TEMP BLADE HEALTH MEASUREMENT SYSTEMS FOR ADAPTIVE ENGINES	NULL	NULL	15334899	"MECHANICAL SOLUTIONS, INCORPORATED"	MECHANICAL SOLUTIONS	541712
92550054	SBIR II: HI TEMP BLADE HEALTH MEASUREMENT SYS FOR ADAPTIVE ENGINES	NULL	NULL	15334899	"MECHANICAL SOLUTIONS, INCORPORATED"	MECHANICAL SOLUTIONS	541712
104882631	STRUCTURALLY EMBEDDED HEAT EXCHANGER	DW1BZN2H1L71	DW1BZN2H1L71	17391348	"SPIRITECH ADVANCED PRODUCTS, INC."	SPIRITECH ADVANCED PRODUCTS	541715
94332759	STRUCTURALLY EMBEDDED HEAT EXCHANGER	DW1BZN2H1L71	NULL	17391348	"SPIRITECH ADVANCED PRODUCTS, INC."	SPIRITECH ADVANCED PRODUCTS	541715
94332758	IGF::OT::IGF  STRUCTURALLY EMBEDDED HEAT EXCHANGER	DW1BZN2H1L71	NULL	17391348	"SPIRITECH ADVANCED PRODUCTS, INC."	SPIRITECH ADVANCED PRODUCTS	541715
104882630	STRUCTUALLY IMBEDDED HEAT EXCHANGER	DW1BZN2H1L71	DW1BZN2H1L71	17391348	"SPIRITECH ADVANCED PRODUCTS, INC."	SPIRITECH ADVANCED PRODUCTS	541715
86793020	STRUCTURALLY EMBEDDED HEAT EXCHANGER	DW1BZN2H1L71	NULL	17391348	"SPIRITECH ADVANCED PRODUCTS, INC."	SPIRITECH ADVANCED PRODUCTS	541715
86793021	STRUCTURALLY EMBEDDED HEAT EXCHANGER- ADDWORK	DW1BZN2H1L71	NULL	17391348	"SPIRITECH ADVANCED PRODUCTS, INC."	SPIRITECH ADVANCED PRODUCTS	541715
65944122	IGF::OT::IGF STAR NOZZLE INTEGRATION AND PLANNING	DW1BZN2H1L71	NULL	17391348	"SPIRITECH ADVANCED PRODUCTS, INC."	SPIRITECH ADVANCED PRODUCTS	541712
77608230	STRUCTURALLY EMBEDDED HEAT EXCHANGER	DW1BZN2H1L71	NULL	17391348	"SPIRITECH ADVANCED PRODUCTS, INC."	SPIRITECH ADVANCED PRODUCTS	541715
21710023		DW1BZN2H1L71	NULL	17391348	"SPIRITECH ADVANCED PRODUCTS, I"	"SPIRITECH ADVANCED PRODUCTS, I"	541710
1864743		DW1BZN2H1L71	NULL	17391348	"SPIRITECH ADVANCED PRODUCTS, I"	"SPIRITECH ADVANCED PRODUCTS, I"	541710
33587830	INCREMENTAL FUNDING	DW1BZN2H1L71	NULL	17391348	"SPIRITECH ADVANCED PRODUCTS, I"	"SPIRITECH ADVANCED PRODUCTS, I"	541710
16194906		DW1BZN2H1L71	NULL	17391348	"SPIRITECH ADVANCED PRODUCTS, I"	"SPIRITECH ADVANCED PRODUCTS, I"	541710
43736487	IGF::OT::IGF STAR NOZZLE INTERGRATION AND PLANNING	DW1BZN2H1L71	NULL	17391348	"SPIRITECH ADVANCED PRODUCTS, INC."	SPIRITECH ADVANCED PRODUCTS	541712
11953842		DW1BZN2H1L71	NULL	17391348	"SPIRITECH ADVANCED PRODUCTS, I"	"SPIRITECH ADVANCED PRODUCTS, I"	541710
16077412		DW1BZN2H1L71	NULL	17391348	"SPIRITECH ADVANCED PRODUCTS, I"	"SPIRITECH ADVANCED PRODUCTS, I"	541710
77608231	STRUCTURALLY EMBEDDED HEAT EXCHANGER	DW1BZN2H1L71	NULL	17391348	"SPIRITECH ADVANCED PRODUCTS, INC."	SPIRITECH ADVANCED PRODUCTS	541715
22283960	SBIR II INCREMENTAL FUNDING	DW1BZN2H1L71	NULL	17391348	"SPIRITECH ADVANCED PRODUCTS, INC."	SPIRITECH ADVANCED PRODUCTS	541712
7157616	CONFINED RECIRCULATION COMBUSTION AFTERBURNER	DW1BZN2H1L71	NULL	17391348	"SPIRITECH ADVANCED PRODUCTS, I"	"SPIRITECH ADVANCED PRODUCTS, I"	541710
18588013	SBIR PHASE II - ADVANCED HEAT EXCHANGER (HEX) SCALING METHOD	DW1BZN2H1L71	NULL	17391348	"SPIRITECH ADVANCED PRODUCTS, INC."	SPIRITECH ADVANCED PRODUCTS	541712
18821613	SBIR I	DW1BZN2H1L71	NULL	17391348	"SPIRITECH ADVANCED PRODUCTS, INC."	SPIRITECH ADVANCED PRODUCTS	541711
21703170	SBIR II ENHANCEMENT	DW1BZN2H1L71	NULL	17391348	"SPIRITECH ADVANCED PRODUCTS, I"	"SPIRITECH ADVANCED PRODUCTS, I"	541710
15352343	NO COST TIME EXTENSION	DW1BZN2H1L71	NULL	17391348	"SPIRITECH ADVANCED PRODUCTS, I"	"SPIRITECH ADVANCED PRODUCTS, I"	541710
14973615	NO COST TIME EXTENSION	DW1BZN2H1L71	NULL	17391348	"SPIRITECH ADVANCED PRODUCTS, I"	"SPIRITECH ADVANCED PRODUCTS, I"	541710
12361558	SBIR I -- FULLY FUND	DW1BZN2H1L71	NULL	17391348	SPIRITECH ADVANCED PRODUCTS INCORPORATED	SPIRITECH ADVANCED PRODUCTS	541712
20275380	SBIR PHASE II	DW1BZN2H1L71	NULL	17391348	"SPIRITECH ADVANCED PRODUCTS, I"	"SPIRITECH ADVANCED PRODUCTS, I"	541710
17466713	INCREMENTAL FUNDING	DW1BZN2H1L71	NULL	17391348	"SPIRITECH ADVANCED PRODUCTS, I"	"SPIRITECH ADVANCED PRODUCTS, I"	541710
10339790	REVOLUTIONARY TECHNLOGIES FOR THE REDUCTION OF AIRCRAFT NOIS	DW1BZN2H1L71	NULL	17391348	"SPIRITECH ADVANCED PRODUCTS, INC."	SPIRITECH ADVANCED PRODUCTS	541711
11678720	TECHNOLOGIES FOR SUPPRESSION OF SCREECH	DW1BZN2H1L71	NULL	17391348	"SPIRITECH ADVANCED PRODUCTS, INC."	SPIRITECH ADVANCED PRODUCTS	541712
3272311	200506!001160!5700!FA8650!DET 1 AFRL/PK                   !FA865005C2520  !A!N! !Y!             !      !20050309!2007031	DW1BZN2H1L71	NULL	17391348	"SPIRITECH ADVANCED PRODUCTS, I"	"SPIRITECH ADVANCED PRODUCTS, I"	541710
25283788	NO COST TIME EXTENSION	FRYVEE1WQKB1	NULL	18413208	"COMBUSTION SCIENCE & ENGINEERING, INC."	COMBUSTION SCIENCE & ENGINEERING	541711
1650282	INCREMENTAL FUNDING	FRYVEE1WQKB1	NULL	18413208	"COMBUSTION SCIENCE & ENGINEERING, INC."	COMBUSTION SCIENCE & ENGINEERING	541712
30552869	INC FUND EFFICIENCY METHODOLOGIES FOR CHEMICAL REACTIONS	FRYVEE1WQKB1	NULL	18413208	"COMBUSTION SCIENCE & ENGINEERING, INC."	COMBUSTION SCIENCE & ENGINEERING	541712
23882299	MULTIPHASE PHENOMENA IN THERMAL MANAGEMENT SYSTEMS	FRYVEE1WQKB1	NULL	18413208	"COMBUSTION SCIENCE & ENGINEERING, INC."	COMBUSTION SCIENCE & ENGINEERING	541712
1451921	CHANGE IN DELIVERY SCHDULE	FRYVEE1WQKB1	NULL	18413208	"COMBUSTION SCIENCE & ENGINEERING, INC."	COMBUSTION SCIENCE & ENGINEERING	541712
27209481	SBIR 2	FRYVEE1WQKB1	NULL	18413208	"COMBUSTION SCIENCE & ENGINEERING, INC."	COMBUSTION SCIENCE & ENGINEERING	541712
12744295	REASSIGNMENT OF AIR FORCE PROJECT MANAGER	FRYVEE1WQKB1	NULL	18413208	"COMBUSTION SCIENCE & ENGINEERING, INC."	COMBUSTION SCIENCE & ENGINEERING	541712
5767974	NCTE	FRYVEE1WQKB1	NULL	18413208	COMBUSTION SCIENCE & ENGINEERING INC	COMBUSTION SCIENCE & ENGINEERING	541711
5328044	NCTE	FRYVEE1WQKB1	NULL	18413208	"COMBUSTION SCIENCE & ENGINEERING, INC."	COMBUSTION SCIENCE & ENGINEERING	541712
1003750	INCREMENTAL FUNDING	FRYVEE1WQKB1	NULL	18413208	COMBUSTION SCIENCE & ENGINEERI	COMBUSTION SCIENCE & ENGINEERI	541710
2998671	SBIR I	FRYVEE1WQKB1	NULL	18413208	"COMBUSTION SCIENCE & ENGINEERING, INC."	COMBUSTION SCIENCE & ENGINEERING	541711
16207405	NO COST TIME EXTENSION	FRYVEE1WQKB1	NULL	18413208	COMBUSTION SCIENCE & ENGINEERI	COMBUSTION SCIENCE & ENGINEERI	541712
17775464	FLAME IGNITION	FRYVEE1WQKB1	NULL	18413208	COMBUSTION SCIENCE & ENGINEERING INC	COMBUSTION SCIENCE & ENGINEERING	541711
10524543	CORRECTION TO SECTION F	FRYVEE1WQKB1	NULL	18413208	COMBUSTION SCIENCE & ENGINEERI	COMBUSTION SCIENCE & ENGINEERI	541712
28043919	INCREMENTAL FUNDING	FRYVEE1WQKB1	NULL	18413208	"COMBUSTION SCIENCE & ENGINEERING, INC."	COMBUSTION SCIENCE & ENGINEERING	541712
30254042	SBIR I	FRYVEE1WQKB1	NULL	18413208	"COMBUSTION SCIENCE & ENGINEERING, INC."	COMBUSTION SCIENCE & ENGINEERING	541712
9948189	NCTE	FRYVEE1WQKB1	NULL	18413208	COMBUSTION SCIENCE & ENGINEERING INC	COMBUSTION SCIENCE & ENGINEERING	541711
20048847	INCREMENTAL FUNDING	FRYVEE1WQKB1	NULL	18413208	"COMBUSTION SCIENCE & ENGINEERING, INC."	COMBUSTION SCIENCE & ENGINEERING	541712
25134760	SBIR I	FRYVEE1WQKB1	NULL	18413208	"COMBUSTION SCIENCE & ENGINEERING, INC."	COMBUSTION SCIENCE & ENGINEERING	541711
34498049	NCTE- EFFICIENCY METHODOLOGIES FOR CHEMICAL REACTIONS	FRYVEE1WQKB1	NULL	18413208	"COMBUSTION SCIENCE & ENGINEERING, INC."	COMBUSTION SCIENCE & ENGINEERING	541712
38540		FRYVEE1WQKB1	NULL	18413208	COMBUSTION SCIENCE & ENGINEERI	COMBUSTION SCIENCE & ENGINEERI	541710
34185994	IGF::OT::IGF IMPROVED REACTION MODELS FOR PETROLEUM AND ALTERNATIVE JP-5/8 FUELS	FRYVEE1WQKB1	NULL	18413208	"COMBUSTION SCIENCE & ENGINEERING, INC."	COMBUSTION SCIENCE & ENGINEERING	541711
22097738		FRYVEE1WQKB1	NULL	18413208	COMBUSTION SCIENCE & ENGINEERI	COMBUSTION SCIENCE & ENGINEERI	541710
40508000	IGF::OT::IGF NONEQUILIBRIUM PLASMA-ASSISTED COMBUSTION-EFFICIENCY CONTROL IN VITIATED AIR	FRYVEE1WQKB1	NULL	18413208	"COMBUSTION SCIENCE & ENGINEERING, INC."	COMBUSTION SCIENCE & ENGINEERING	541712
