"EngineSeries","Thrust-to-Weight Ratio"
"TF33P",4.36
"JT8D",4.46
"SPEY 202",4.67
"TF30P",5.1875
"Pegasus 5",5.418
"TF34GE",5.62333333333333
"F101GE",6.8875
"F404GE",7.4925
"F119PW",7.71
"F100PW",7.83
"F120GE",8.13
