aircraft,type,engine_type,engine_number,takeoff_weight,speed,range,ceiling,climb_rate,thrust_weight_aircraft,engine,engine_company,thrust,pressure_ratio,engine_weight,thrust_weight_engine
A-1,FighterAttack,Radial,1,25000,322,"1,316","28,500","2,850",NA,,,,,,
A-3,FighterAttack,Turbojet,2,"82,000",610,"2,100","41,000",1000,0.51,J57-P-10,PW,17200,11.5,5175,3.32
A-4,FighterAttack,Turbojet,1,"24,500",673,"2,000","42,250","8,440",0.51,J52-P8A,PW,11200,14.6,2318,4.83
A-7,FighterAttack,Turbofan,1,"41,998",690,"1,231","42,000",1500,0.5,TF41-A-2,Allison,14250,20,2949.241071,4.83
A-9,FighterAttack,Turbofan,2,"41,000",520,"1,231","42,000","5,000",0.5,YF102-LD-100,Lycoming,7500,20,1336,5.61
A-10,FighterAttack,Turbofan,2,"51,000",518,800,"37,000","6,000",0.36,TF34-GE-100,GE,9065,20,1443,6.28
A-26,FighterAttack,Radial,2,"35,000",355,"1,400","22,000","1,250",NA,,,,,,
A-37,FighterAttack,Turbojet,2,"14,000",507,920,"41,765","6,990",0.47,J85-GE-17A,GE,3100,8.3,421,7.36
AC-47,FighterAttack,Radial,2,"33,000",230,"2,175","24,450",1052.631579,NA,,,,,,
AC-119,FighterAttack,Radial,2,"62,000",210,"1,930","23,300",1010,NA,,,,,,
AC-123,FighterAttack,Turboprop,2,"60,000",228,"1,035","21,100",1220,NA,,,,,,
AC-130,FighterAttack,Turboprop,4,"155,000",300,"1,300","30,000",1830,NA,,,,,,
AT-33,FighterAttack,Turbojet,1,"15,061",600,"1,275","48,000","4,870",0.549910341,J33-A-35,Allison,4600,4.1,1820,2.53
F-3,FighterAttack,Turbojet,1,33900,716,"1,370","35,050","12,795",0.697960536,J71-A-2E,Allison,14000,8.75,4869,2.88
F-4,FighterAttack,Turbojet,2,"36,831","1,473",2597,"60,000","41,300",0.86,J79-GE-17A,GE,17835,13.5,3850,4.63
F-5,FighterAttack,Turbojet,2,"24,722","1,060",870,"51,800","34,400",0.52,J85-GE-21B,GE,3100,8.3,421,7.36
F-6,FighterAttack,Turbojet,1,"27,116",722,700,"55,000","18,300",0.71,J57-P-8A/B,PW,17200,11.5,5175,3.32
F-8,FighterAttack,Turbojet,1,"34,000","1,225",1736,"58,000","19,000",0.62,J57-P-20A,PW,17200,11.5,5175,3.32
F-11,FighterAttack,Turbojet,1,"23,459",727,"1,275","49,000","16,300",0.5,J65-W-18,Wright,7239,7.1,2776,2.61
F-15,FighterAttack,Turbofan,2,"68,000",1918,2400,"50,000","50,000",1.07,Combo,PW,25566.66667,27.33333333,3432.333333,7.44
F-16,FighterAttack,Turbofan,1,"42,300","1,535",2622,"50,000","50,000",1.095,Combo,GE/PW,27357.5,29.225,3719.5,7.36
F-24,FighterAttack,Radial,1,"10,700",255,"1,115","25,530","1,700",NA,,,,,,
F-47,FighterAttack,Radial,1,"17,500",433,800,"43,000","3,180",NA,,,,,,
F-51,FighterAttack,Radial,1,"12,100",,"1,650","41,900","3,200",NA,,,,,,
F-80,FighterAttack,Turbojet,1,"16,856",580,"1,200","46,800","4,580",0.364,J33-A-35,Allison,4600,4.1,1820,2.53
F-82,FighterAttack,Turbojet,2,"25,591",580,"2,240","38,900","3,200",NA,,,,,,
F-84,FighterAttack,Turbojet,1,"23,340",622,"1,485","43,240","3,765",0.31,J35-A-29,Allison,7400,5,2930,2.53
F-86,FighterAttack,Turbojet,1,"18,152",685,"1,525",49000,"9,000",0.42,J47-GE-27,GE,6970,5.35,2554,2.73
F-89,FighterAttack,Turbojet,2,"42,241",627,1600,"45,000","7,440",0.29,J35-A-35,Allison,7400,5,2930,2.53
F-94,FighterAttack,Turbojet,1,"24,184",630,930,"42,750","7,980",0.48,J48-P-5,PW,7250,4.9,2080,3.49
F-100,FighterAttack,Turbojet,1,"34,832",864,"1,995","50,000","22,400",0.55,J57-P-21,PW,17200,11.5,5175,3.32
F-101,FighterAttack,Turbojet,2,"52,400","1,134","1,520","58,400","49,200",0.74,J57-P-55,PW,17200,11.5,5175,3.32
F-102,FighterAttack,Turbojet,1,"31,500",810,"1,350","53,400","13,000",0.7,J57-P-25,PW,17200,11.5,5175,3.32
