aircraft,max,relevance,generation
319A,1,Normal,Other
A-1,161,Normal,Other
A-10,670,Normal,Fourth
A-26,32,Normal,Other
A-3,1,Normal,Other
A-37,197,Normal,Other
A-4,6,Normal,Other
A-7,403,Normal,Third
A-9,2,Normal,Other
AC-119,52,Normal,Other
AC-123,2,Normal,Other
AC-130,37,Normal,Other
AC-47,36,Normal,Other
AMST,4,Normal,Other
AT-33,38,Normal,Other
AT-38,94,Normal,Other
B-1,98,Normal,Other
B-17,43,Old,Other
B-2,21,Normal,Other
B-25,96,Normal,Other
B-26,442,Normal,Other
B-29,680,Normal,Other
B-36,191,Normal,Other
B-45,64,Normal,Other
B-47,1535,Normal,Other
B-50,245,Normal,Other
B-52,708,Normal,Other
B-57,279,Normal,Other
B-58,94,Normal,Other
B-66,68,Normal,Other
C-117,26,Normal,Other
C-118,126,Normal,Other
C-119,853,Normal,Other
C-12,86,Normal,Other
C-121,2,Normal,Other
C-122,10,Normal,Other
C-123,269,Normal,Other
C-124,430,Normal,Other
C-125,1,Normal,Other
C-129,2,Normal,Other
C-130,63,Normal,Other
C-131,191,Normal,Other
C-133,48,Normal,Other
C-134,2,Normal,Other
C-135,74,Normal,Other
C-137,8,Normal,Other
C-140,15,Normal,Other
C-141,281,Normal,Other
C-17,222,Normal,Other
C-18,8,Normal,Other
C-20,13,Normal,Other
C-21,83,Normal,Other
C-22,5,Normal,Other
C-23,18,Normal,Other
C-26,11,Normal,Other
C-27,13,Normal,Other
C-32,6,Normal,Other
C-37,12,Normal,Other
C-38,2,Normal,Other
C-40,11,Normal,Other
C-41,2,Normal,Other
C-45,793,Normal,Other
C-46,325,Normal,Other
C-47,1349,Normal,Other
C-5,127,Normal,Other
C-53,2,Normal,Other
C-54,357,Normal,Other
C-6,1,Normal,Other
C-64,2,Normal,Other
C-7,125,Normal,Other
C-74,11,Normal,Other
C-8,1,Normal,Other
C-82,155,Old,Other
C-9,23,Normal,Other
C-97,197,Normal,Other
C-99,1,Normal,Other
C/AC/VC-47,15,Normal,Other
C/T-43,19,Normal,Other
CB-17,33,Old,Other
CB-25,47,Old,Other
CB-26,2,Normal,Other
CH-47,5,Normal,Other
CT-29,4,Normal,Other
CT-39,12,Normal,Other
CT/T-39,135,Normal,Other
CV-22,49,New,Other
DC-130,13,Normal,Other
DT-33,4,Normal,Other
E-11,4,Normal,Other
E-3,34,Normal,Other
E-4,4,Normal,Other
E-47,94,Normal,Other
E-8,18,Normal,Other
E-9,2,Normal,Other
EA-1,13,Normal,Other
EB-47,115,Normal,Other
EB-57,57,Normal,Other
EB-66,65,Normal,Other
EC-121,109,Normal,Other
EC-130,34,Normal,Other
EC-135,55,Normal,Other
EC-137,1,Normal,Other
EC-18,6,Normal,Other
EC-47,64,Normal,Other
EC-54,1,Normal,Other
EF-111,42,Normal,Other
ER-47,3,Normal,Other
ET-29,16,Normal,Other
F-100,1848,Normal,Second
F-101,531,Normal,Second
F-102,908,Normal,Second
F-104,254,Normal,Second
F-105,698,Normal,Second
F-106,319,Normal,Second
F-107,3,Normal,Other
F-11,1,Normal,Second
F-111,378,Normal,Third
F-117,58,Normal,Other
F-15,903,Normal,Fourth
F-16,1810,Normal,Fourth
F-22A,187,Normal,Fifth
F-24,1,Normal,Other
F-3,1,Normal,Other
