year,A-1,A-3,A-4,A-7,A-9,A-10,A-26,A-37,AC-47,AC-119,AC-123,AC-130,AT-33,F-3,F-4,F-5,F-6,F-8,F-11,F-15,F-16,F-24,F-47,F-51,F-80,F-82,F-84,F-86,F-89,F-94,F-100,F-101,F-102,F-104,F-105,F-106,F-107,F-111,F-117,F-22A,FH-1,F-35A,MiG-15,N-156,NA-37,S-2,TF-15,XF-4,YA-37,YAT-28,YF-4,YF-5,YF-15,YF-16/17,YF-84,YF-117,B-1,B-2,B-17,B-25,B-26,B-29,B-36,B-45,B-47,B-50,B-52,B-57,B-58,B-66,FB-111,JD-1,P2V-5,XB-70,B-57,C-121,C-130,C-135,DC-130,E-3,E-4,E-8,E-9,E-11,E-47,EA-1,EB-47,EB-57,EB-66,EC-18,EC-47,EC-54,EC-121,EC-130,EC-135,EF-111,ER-47,ET-29,JRB-57,MC-12,MC/WC-130,MC-130,MQ-9,OC/WC-135,OV-10,R-47,RB-17,RB-25,RB-26,RB-29,RB-36,RB-45,RB-47,RB-50,RB-52,RB-57,RB-66,RC-45,RC-47,RC-54,RC-121,RC-130,RC-135,RF-4,RF-51,RF-80,RF-84,RF-86,RF-101,RF-104,RF-111,M/RQ-1,RQ-4,RT-33,SR-71,TC-130,TC-135,TE-8,TR-1,TU-2,U-2,WB-26,WB-29,WB-47,WB-50,WB-57,WB-66,WC-130,OC-135,WC-135,WT-33,YRB-58,YRF-4,KB-29,KB-50,KC-10,KC-97,KC-119,KC-135,NKC-135,HC-130,YKB-29J,319A,AMST,C/AC/VC-47,C-5,C-6,C-7,C-8,C-9,C-12,C-17,C-18,C-20,C-21,C-22,C-23,C-26,C-27,C-32,C-37,C-38,C-40,C-41,C-45,C-46,C-47,C-53,C-54,C-64,C-74,C-82,C-97,C-99,C-117,C-118,C-119,C-121,C-122,C-123,C-124,C-125,C-129,C-130,C-131,C-133,C-134,C-135,C-137,C-140,C-141,CB-17,CB-25,CB-26,CT/T-39,CT-29,CV-22,DC-130,EC-121,EC-137,LC-130,MC-130,NC-130,NC-135,NC-141,NT-29,NT/T-39,RC-130,T-39,VB-17,VB-25,VB-26,VC-6,VC-9,VC-25,VC-47,VC-53,VC-54,VC-97,VC-117,VC-118,VC-121,VC-123,VC-131,VC-135,VC-137,VC-140,VT-29,WV-2,XC-8,XC-142,H/HH/UH-1,HOK-1,HUL-1,TH-1,YAO-1,YH-1,HSS-2,YHO-2,H/HH/CH-3,H-5,YOH-6,H-12,H/UH-13,OH-13,H-16,YH-16,H-18,H/HH/UH-19,H/HH/CH-21,H-23,H-24,H-32,H/HH/CH/SH/UH-34,H-37,H-39,H-40,XH-40,YH-40,YH-41,H/HH-43,CH-47,H/HH/CH-53,H/HH-60,AT-38,C/T-43,CT-39,DT-33,LT-6,NT-29,T-1,T-3,T-6,T-7,T-11,T-28,T-29,T-33,T-34,T-35,T-37,T-38,T-39,T-41,T-46,T-51,T-53,TB-17,TB-25,TB-26,TB-29,TB-45,TB-47,TB-50,TB-57,TB-58,TC-18,TC-45,TC-46,TC-47,TC-54,TC-121,TC-130,TC-135,TF-47,TF-51,TF-80,TF-84,TF-86,TF-101,TF-102,TG-3,TG-4,TG-7,TG-9,TG-10,TG-11,TG-14,TH-5,TRF-51,TV-2,UV-18,YAT-37
1950,,,,,,,,,,,,,,,,,,,,,,,577,1006,886,174,571,403,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,7,364,433,40,55,0,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3,22,134,2,,,13,,,,12,5,2,,,,,15,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,57,1324,2,353,2,10,155,39,,15,1,86,10,0,0,1,,,,,,,,,,,33,47,1,,,,,,,,,,,,,,,,33,55,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,9,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1802,220,403,4,9,135,,,,,,,,,,37,684,218,10,,,,,,,,285,65,,,,,18,151,69,,,,,,,,,,,,1,6,,,
1951,,,,,,,,,,,,,,,,,,,,,,1,417,1133,601,66,952,423,15,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,12,442,518,47,60,5,205,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3,51,44,40,29,,27,,,,8,5,0,,,,,55,75,,,,,,,,,,,,,,,,,81,,,,,,,,,,,171,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,397,300,1349,2,357,,11,145,50,,15,1,157,10,8,0,50,,2,,,,,,,,,1,23,1,,,,,,,,,,,,,,,,37,34,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,10,,,,2,4,,6,1,,,,,,,,,,,,,,,,,,,,,1688,184,366,317,25,238,1,3,,,,,,,,30,711,263,93,,,10,,,,,33,54,,,,,158,125,64,,,,,,,,,,,,1,7,,,
1952,,,,,,,,,,,,,,,,,,,,,,,283,1109,593,15,1210,630,66,387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,8,433,680,91,64,72,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,93,39,74,24,,41,,,,6,7,0,,,,,37,144,,5,,,,,,,,,,,,,,,83,,,,,,,,,,,179,,,85,,,,,1,,,,,,,,,,,,,,,,,,,,,,,416,267,1309,2,339,,11,126,62,,15,1,274,10,10,0,122,1,,,,,,,,,,,22,0,,,,,,,,,,,,,,,,38,32,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,5,26,,,,2,34,,21,1,,,,,,,,,,,,,,,,,,,,,2374,169,340,350,56,635,3,3,,,,,,,,35,788,288,76,,,11,,,,21,3,53,7,,,,14,152,36,,,,,,,,,,,,1,17,,,
1953,,,,,,,,,,,,,,,,,,,,,,,34,784,400,8,1311,2239,115,489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,8,395,386,160,49,350,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,104,28,122,6,80,39,,,,14,7,1,,,,,11,144,1,3,,,,,,,,,,,,,,6,78,,,,,,,,,,,176,,,299,1,,,,,,,,,,,,,,,,,,,,,,,,,,,671,290,1259,2,327,,11,29,67,,14,17,565,10,9,1,268,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,40,33,2,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,46,,,67,,,,1,117,,3,,,,,,,,,,,,,,,,,,,,,,2054,60,148,691,156,1657,1,,,,,,,,,31,884,293,90,8,42,43,,,,94,2,52,8,,,,,89,20,,,,,,,,,,,,1,32,,,
1954,,,,,,,,,,,,,,,,,,,,,,,4,647,224,,1352,3376,304,628,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,28,6,354,223,172,53,672,97,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,98,19,117,17,185,32,,34,,23,7,,5,,,,19,147,4,13,,,,,,,,,,,,,,5,77,,,,,,,,,,,141,,,497,,,,,,,,,,,,,,,,,,,,,,,,,,,,771,325,1171,2,334,,11,24,66,,26,17,683,10,9,0,345,,,,8,,,,,,,,,0,,,,,,,,,,,,,,,,39,29,2,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,26,,,88,,,,1,174,16,3,,,,,,,,,,,,,,,,,,38,,,,1554,15,28,765,226,2248,61,,,,,,,,,30,841,240,99,11,52,35,,,,93,2,50,8,,,,,65,7,,,,,,,,,,,,1,3,,,
1955,,,,,,,,,,,,,,,,,,,,,,,,264,427,,1722,3767,592,553,128,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,24,6,271,82,191,61,930,25,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,112,6,106,18,273,38,6,59,2,20,6,,31,,,,19,130,151,20,,,,,,,,,,,,,,6,68,,,,,,,,,,,114,,,631,,,,,,,,,,,,,,,,,,,,,,,,,,,,793,243,1046,2,281,,11,2,63,,26,63,831,11,8,7,430,,,,73,,,,,,,,,2,,,,,,,,,,,,,,,,31,34,2,,,,84,,,,,,,,,,,,4,,,,,,,,,,,,,34,,,85,,,,,247,59,0,,,,,,,,,,,,,,,,,,37,,,,944,11,8,871,334,2524,239,,,,,,,,,10,883,232,92,15,62,10,,,,89,2,50,6,,,,,8,0,,1,,,,,,,,,,1,3,,,
1956,,,,,,,,,,,,,,,,,,,,,,,,144,433,,2521,3898,894,633,741,24,52,7,2,,,,,,1,,1,,,,,1,,,,,,,1,,,,25,96,257,18,188,62,1426,80,42,228,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,124,3,133,16,294,39,16,71,60,16,6,,69,,,,,122,290,21,2,,,,,,,,,,,,,8,28,,42,,,,,,,,,115,13,,779,,,,,,,,,,,,,,,,,,,,,,,,,,,,771,243,1118,2,320,,,,67,,26,98,847,47,,127,424,,,29,95,2,,,,,,,,,,,,,,,,,,,,,,,,9,37,4,,,,0,,,,,,,,,,,,4,,,,,,,,,,,,,27,,,97,,2,,,143,138,0,,,3,,1,,,,,,,,,,,,,,,,,166,,,1036,355,2812,427,,9,,,,,,,7,931,209,150,19,98,45,,,,86,2,48,8,,,,,6,0,,39,,3,,,,,,,,1,,,,
1957,,,,,,,,,,,,,,,,,,,,,,,,,353,,1438,3569,916,610,1508,37,408,28,4,1,3,,,,,,,,,,,1,,,,,,,,,,,20,5,100,5,121,53,1535,39,170,279,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,49,,67,15,282,40,8,76,177,16,6,,80,,,,,63,275,17,21,,,,,,,,,,,,,4,1,,70,,4,,,,4,,,47,84,,789,,12,,,,1,,,,,,,,,,,,,,,,,,,,,,741,235,1087,2,319,,,,66,1,26,94,853,44,,224,420,,,112,110,8,1,,,,,,,,,,,,,,,,,,,,,,,,37,4,,,,0,,,,,,,,,,,,0,,,,,1,,,,,,,,22,,,48,,1,,,138,149,0,,2,1,,,,,,,,,,,,,,,,,,,4,,,987,353,2833,406,,53,,,,,,,1,916,176,52,4,109,36,1,,,70,2,46,8,,,,,,38,,19,,26,,,,,,,,,,1,,
1958,,,,,,,,,,,,,,1,,,,,1,,,,,,66,,620,2786,771,147,1848,128,813,130,13,17,,,,,,,,,,,,1,,,,,,,,,,,15,1,31,2,32,40,1499,2,358,262,11,68,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,46,1,206,36,1,58,178,15,5,,78,,,,,,235,,114,,,,,,,,,,,,,,,1,69,,36,,,,3,,,9,127,,784,,103,,,,1,,,,,,,,,,,,,,,,,,,,,,610,23,804,2,245,,,,64,1,26,121,842,44,,269,412,,,185,107,18,2,,,,,,,,,,,,,,,,,,,,,,,,29,3,,,,268,,29,,2,4,1,,4,,,,1,,,,,,,,,1,,,,16,,,14,,,1,,120,154,11,,,1,1,,,,5,1,,,,,,,,,,,,,,,,638,351,2914,190,,170,,,,,,,1,312,84,33,,66,16,6,,,60,0,45,8,,,,,,11,8,1,,103,,,,,,,,,,1,,
1959,,,,,,,,,,,,,,,,,,,,,,,,,23,,481,2203,655,82,1700,247,908,254,39,68,,,,,,,,,,,,,1,,,,,,,,,,2,,24,1,,6,1463,,478,231,0,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,195,28,,55,165,15,5,,73,12,,,,,171,,184,,,,,,,,,,,,,,,1,68,,36,,,,3,25,,1,126,,782,,281,,,,,,,,,,,,,,,,,,,,,,,,,,221,3,794,0,248,,,,65,,24,126,804,73,,264,404,,,211,112,29,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,267,2,29,,2,5,1,,0,,3,,2,,,,,,,,,,,1,,11,,,13,,,,,106,147,1,,,1,1,,1,,,1,15,,,,,,,,,,,,,,,421,342,3016,189,,341,2,,,,,,,41,47,11,,26,10,7,,,20,0,45,8,5,,,,,3,,1,,,,,,,,,,,,0,,
1960,,,,,,,,,,,,,,,,,,2,,,,,,,17,,390,1213,450,1,1548,464,868,198,79,254,,,,,,,,4,,,,,,,,,,,,,,,,,10,,,1,1350,,580,176,11,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,152,26,,82,133,,2,,71,16,,,,,170,,175,,,,,,,,,,,,,,,1,48,,14,,,,3,18,,,122,,725,,383,,,,,,,,,,,,,,,,,,,,,,,,,,64,1,682,1,238,,,,61,,24,126,771,73,,260,401,,,253,109,41,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,265,2,30,,2,5,1,,0,,3,,10,,,,,,,,,,,,,,,,3,,,,,100,97,1,,,0,,,0,,,,56,,,,,,,,,,,,,,,90,336,2958,188,,511,9,,,,,,,2,2,3,,5,2,7,,,,0,35,8,6,,,,,,,,,,,,,,,,,,,2,,
1961,,,,,,,,,,,,,,,,,,2,,,,,,,6,,379,468,307,,1462,531,870,182,224,319,,,,,,,,3,,,,,,,,,,,,,,,,,5,,,1,1033,,629,171,42,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,0,105,23,,83,122,,2,,72,16,,,,,156,,163,,,,,1,,,,,,,,,,1,47,,14,,,,2,13,,,119,,703,,458,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,650,1,244,,,,61,,24,125,751,73,,258,399,,,278,101,48,,,,,,,,,,4,,,,,,,,,,,,,,,,2,,,,259,,28,,2,5,1,,4,,3,,43,,,,2,,,,,,,,,,,,3,,,,,92,80,,,,0,,,0,,,,106,,,,,,,,,,,,,,,40,299,2597,21,,571,26,11,,,,,,,16,,,3,1,7,3,,,0,32,8,5,,,,,,,,,,,,,,,,,,,2,,
1962,,,,,,,,,,,,,,,,,,,,,,,,,1,,356,342,286,,1399,461,848,162,378,317,,,,,,,,2,,,,,,,,,,,,,,,,,22,,,1,909,,697,133,76,17,,,,,,,,,,,,,,,94,,,,,,,,,,,,3,,,,,,,,,34,,,1,,,1,14,16,,93,122,,2,,71,16,,,,,138,,157,,,,,1,,,,,,,,,,1,47,,13,,,,2,8,,,117,,692,,513,,,,,,15,,,,,,,,,,,,,,,,,,,,1,13,526,,234,,,,64,,21,124,733,73,,249,398,,,330,100,47,,40,,,,,,,,4,,,1,,,,,,,,,,,,,2,,,,232,,27,1,2,5,1,,4,,3,4,67,7,,,3,,2,,,,,,,,,,3,,,,,88,75,,,,0,,,1,,,,113,,,,,,,,,,,,,,,80,264,2358,8,,569,151,68,,,,,,,4,,,2,,37,4,,,1,32,8,5,,,,,,,,9,,,,,,,,,,,,,
