FYDP Year,Type,Force,Program Number,Program Name,Project Number,Project Name,2001,2002,2003,2004,2005,2006,2007
2003,RDT&E,Army,0203752A,Aircraft Engine Component Improvement Program,106,A/C Compon Improv Prog,5.658,14.889,3.689,3.858,3.923,4.094,4.188
2003,RDT&E,Army,0603003A,Aviation Advanced Technology,447,Acft Demo Engines,6.637,9.051,6.854,7.125,7.436,8.288,8.684
2003,RDT&E,Army,0601102A,Defense Research Sciences,F20,Adv Propulsion Rsch,2.472,2.589,2.834,2.885,2.942,3.115,3.192
2003,RDT&E,Air Force,0602203F,Aerospace Propulsion,3012,Advanced Propulsion Technology,0,21.436,3.637,14.894,12.909,12.903,12.945
2003,RDT&E,Air Force,0603216F,Aerospace Propulsion and Power Technology,681B,Advanced Turbine Engine Gas Generator,35.617,36.48,34.488,29.929,26.755,27.295,27.811
2003,RDT&E,Air Force,0603216F,Aerospace Propulsion and Power Technology,2480,Aerospace Fuels and Atmospheric Propulsion,3.417,12.38,7.675,8.201,8.248,9.292,10.329
2003,RDT&E,Air Force,0207268F,Aircraft Engine Component Improvement Program (CIP),1012,Aircraft Engine Component Improvement Program (USAF),154.308,173.351,186.69,211.027,168.278,171.514,174.764
2003,RDT&E,Navy,0205633N,Aviation Improvements,W1355,Aircraft Engine Component Improvement Program (USN),36.963,30.431,30.094,37.588,28.065,31.571,32.098
2003,RDT&E,Air Force,0603202F,Aerospace Propulsion Subsystems Integration,668A,Aircraft Propulsion Subsystem Integration,33.267,0,0,0,0,0,0
2003,RDT&E,Air Force,0603216F,Aerospace Propulsion and Power Technology,4921,Aircraft Propulsion Subsystems Int,0,37.479,35.783,28.914,25.217,26.671,27.116
2003,RDT&E,Navy,0604214N,AV-8B Aircraft - Eng Dev,H0652,AV-8B,6.187,24.754,16.426,13.253,6.997,7.108,7.229
2003,RDT&E,Air Force,0602203F,Aerospace Propulsion,3048,Fuels and Lubrication,8.501,12.549,15.06,16.009,16.201,15.513,14.847
2003,RDT&E,Air Force,0602102F,Materials,4347,"Materials for Structures, Propulsion, and Subsystems",62.036,61.777,40.907,42.634,42.701,43.104,45.036
2003,RDT&E,Air Force,0601102F,Defense Research Sciences,2308,Propulsion,20.937,23.104,21.19,21.635,22.102,22.505,22.914
2003,RDT&E,Air Force,0602203F,Aerospace Propulsion,3066,Turbine Engine Technology,40.168,44.864,43.63,41.359,38.146,38.025,38.874
2003,RDT&E,Army,0602211A,Aviation Technology,47B,Veh Prop & Struct Tech,3.528,3.648,4.239,4.34,4.435,4.694,4.804
