FYDP Year,Type,Force,Program Number,Program Name,Project Number,Project Name,1997,1998,1999,2000,2001,2002,2003
1999,RDT&E,Army,0601102A,Defense Research Sciences,AF20,Advanced Propulsion Research,2.279,2.282,2.384,2.516,2.580,2.643,2.714
1999,RDT&E,Air Force,0602203F,Aerospace Propulsion,3012,Advanced Propulsion Technology,6.869,0.000,1.961,1.952,1.945,1.936,1.927
1999,RDT&E,Air Force,0603216F,Aerospace Propulsion and Power Technology,681B,Advanced Turbine Engine Gas Generator,28.894,28.121,33.526,34.451,35.961,34.797,36.245
1999,RDT&E,Air Force,0603216F,Aerospace Propulsion and Power Technology,2480,Aerospace Fuels and Atmospheric Propulsion,2.969,1.533,2.059,2.250,2.212,3.151,3.264
1999,RDT&E,Army,0603003A,Aviation Advanced Technology,D447,Aircraft Demonstration Engines,7.415,6.377,6.630,7.223,7.192,7.101,7.242
1999,RDT&E,Air Force,0207268F,Aircraft Engine Component Improvement Program (CIP),1012,Aircraft Engine Component Improvement Program,92.636,98.058,92.069,93.659,116.663,115.259,114.560
1999,RDT&E,Navy,0205633N,Aviation Improvements,W1355,Aircraft Engine Component Improvement Program (CIP) (USN),39.223,36.484,48.402,52.439,44.754,46.429,52.834
1999,RDT&E,Army,0203752A,Aircraft Engine Component Improvement Program,D106,Aircraft Engine Component Improvement Program (CIP) (USA),3.734,2.849,2.948,3.026,3.098,3.317,3.416
1999,RDT&E,Air Force,0603202F,Aerospace Propulsion Subsystem Integration,668A,Aircraft Propulsion Subsystem Integration,23.919,23.378,30.814,31.616,32.620,31.494,33.214
1999,RDT&E,Navy,0604214N,AV8B Aircraft (Eng),H0652,AV-8B,15.801,10.689,13.787,8.027,1.552,0.617,0.664
1999,RDT&E,Air Force,0602203F,Aerospace Propulsion,3048,Fuels and Lubrication,11.785,10.923,11.790,11.799,12.702,14.100,14.372
1999,RDT&E,Air Force,0601102F,Defense Research Sciences,2308,Propulsion,10.075,9.830,18.675,19.524,19.765,20.078,20.470
1999,RDT&E,Air Force,0602203F,Aerospace Propulsion,3066,Turbine Engine Technology,36.391,31.998,40.745,42.119,42.870,43.241,45.441
1999,RDT&E,Army,0602211A,Aviation Technology,A47B,Vehicle Propulsion and Structures Technology,2.680,2.675,3.120,3.127,3.333,3.349,3.421
