FYDP Year,Type,Force,Program Number,Program Name,Project Number,Project Name,2009,2010,2011,2012,2013,2014,2015
2011,RDT&E,Air Force,0602102F,Materials,624347,"Materials for Structures, Propulsion, and Subsystems",79.314,110.28,84.865,81.649,80.713,78.623,80.669
2011,RDT&E,Air Force,0601102F,Defense Research Sciences,612308,Propulsion ,24.669,32.115,34.022,32.772,32.599,34.335,36.057
2011,RDT&E,Air Force,0602203F,Aerospace Propulsion,623012,Advanced Propulsion Technology,17.276,17.494,22.859,20.455,23.235,20.85,21.336
2011,RDT&E,Air Force,0602203F,Aerospace Propulsion,623048,Combustion and Mechanical Systems,27.086,19.638,18.679,20.087,18.995,16.64,15.778
2011,RDT&E,Air Force,0602203F,Aerospace Propulsion,623066,Turbine Engine Technology,85.675,60.655,67.274,69.169,65.198,55.689,52.17
2011,RDT&E,Air Force,0602203F,Aerospace Propulsion,625330,Aerospace Fuel Technology,0,6.88,6.679,6.234,6.572,6.568,6.544
2011,RDT&E,Air Force,0603216F,Aerospace Propulsion and Power Technology,632480,Aerospace Fuels,14.998,26.524,9.393,6.882,6.731,7.668,7.965
2011,RDT&E,Air Force,0603216F,Aerospace Propulsion and Power Technology,634921,Aircraft Propulsion Subsystems Int,44.678,39.592,41.403,18.006,18.176,17.867,19.479
2011,RDT&E,Air Force,0603216F,Aerospace Propulsion and Power Technology,63681B,Advanced Turbine Engine Gas Generator,48.405,57.842,34.766,33.54,34.756,27.725,29.409
2011,RDT&E,Navy,0604214N,AV-8B Aircraft - Engine Dev,652,AV-8B,29.677,17.287,22.867,21.446,14.486,13.434,13.779
2011,RDT&E,Navy,0205633N,Aviation Improvements,1355,Acft Engines Comp Imp Prog,57.878,65.568,75.583,80.654,81.781,83.123,84.3
2011,RDT&E,Army,0601102A,Defense Research Sciences,F20,Adv Propulsion Rsch,3.299,3.331,3.429,3.496,4.193,4.272,4.355
2011,RDT&E,Army,0602211A,Aviation Technology,47B,Veh Prop & Struct Tech,4.238,4.256,5.448,4.571,4.671,4.762,4.856
2011,RDT&E,Army,0603003A,Aviation Advanced Technology,447,Acft Demo Engines,11.281,17.842,10.943,9.635,9.813,9.998,10.167
2011,RDT&E,Army,0203752A,Aircraft Engine Component Improvement Program,106,A/C Compon Improv Prog,0.326,0.788,0.71,0.852,0.9,0.428,0.333
2011,RDT&E,Air Force,0207268F,Aircraft Engine Component Improvement Program (CIP),671012,Aircraft Engine Component Improvement Program,146.359,139.689,120.626,112.326,111.847,114.091,116.298
2011,RDT&E,Air Force,0207268F,Aircraft Engine Component Improvement Program (CIP),675365,Aircraft Engine Component Improvement Program (F135),0,0,26.77,31.98,31.829,31.678,31.515
