FYDP Year,Type,Force,Program Number,Program Name,Project Number,Project Name,2008,2009,2010,2011,2012,2013,2014
2010,RDT&E,Air Force,0601102F,Defense Research Sciences,612308,Propulsion,20.145,26.159,31.447,NA,NA,NA,NA
2010,RDT&E,Air Force,0602102F,Materials,624347,"Materials for Structures, Propulsion and Subsystems",65.942,83.446,82.625,NA,NA,NA,NA
2010,RDT&E,Air Force,0602203F,Aerospace Propulsion,623012,Advanced Propulsion Technology,21.133,18.006,17.568,NA,NA,NA,NA
2010,RDT&E,Air Force,0602203F,Aerospace Propulsion,623048,Combustion and Mechanical Systems,29.957,28.38,18.921,NA,NA,NA,NA
2010,RDT&E,Air Force,0602203F,Aerospace Propulsion,623066,Turbine Engine Technology,60.816,87.533,64.312,NA,NA,NA,NA
2010,RDT&E,Air Force,0602203F,Aerospace Propulsion,625330,Aerospace Fuel Technology,0,0,5.598,NA,NA,NA,NA
2010,RDT&E,Air Force,0603216F,Aerospace Propulsion and Power Technology,632480,Aerospace Fuels,8.469,17.339,12.019,NA,NA,NA,NA
2010,RDT&E,Air Force,0603216F,Aerospace Propulsion and Power Technology,634921,Aircraft Propulsion Subsystems Int,25.87,47.451,36.568,NA,NA,NA,NA
2010,RDT&E,Air Force,0603216F,Aerospace Propulsion and Power Technology,63681B,Advanced Turbine Engine Gas Generator,32.994,51.48,64.1,NA,NA,NA,NA
2010,RDT&E,Navy,0604214N,AV-8B Aircraft - Engineering Development,652,AV-8B,22.128,25.726,17.359,NA,NA,NA,NA
2010,RDT&E,Navy,0205633N,Aviation Improvements,1355,A/C Eng Comp Imp (CIP),56.277,59.421,78.34,NA,NA,NA,NA
2010,RDT&E,Army,0601102A,Defense Research Sciences,F20,Adv Propulsion Rsch,2.185,3.321,3.348,NA,NA,NA,NA
2010,RDT&E,Army,0602211A,Aviation Technology,47B,Veh Prop & Struct Tech,4.149,4.239,4.279,NA,NA,NA,NA
2010,RDT&E,Army,0603003A,Aviation Advanced Technology,BA7,Aviation Advanced Technology Initiatives,47.287,44.214,0,NA,NA,NA,NA
2010,RDT&E,Army,0603003A,Aviation Advanced Technology,BA8,Vectored Thrust Ducted Propeller (CA),0,4.983,0,NA,NA,NA,NA
2010,RDT&E,Army,0603003A,Aviation Advanced Technology,447,Acft Demo Engines,10.593,8.612,17.935,NA,NA,NA,NA
2010,RDT&E,Army,0203752A,Aircraft Engine Component Improvement Program,106,A/C Compon Improv Prog,0.461,0.331,0.792,NA,NA,NA,NA
2010,RDT&E,Air Force,0207268F,Aircraft Engine Component Improvement Program (CIP),1012,Aircraft Engine Component Improvement Program,158.56,150.547,154.765,NA,NA,NA,NA
2010,RDT&E,Air Force,0207268F,Aircraft Engine Component Improvement Program (CIP),5365,Aircraft Engine Component Improvement Program (F135),0,0,11.798,NA,NA,NA,NA
