,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
"RDT&E, ARMY","5,023","5,031","5,314","6,263","7,018","10,202","10,202","10,576","11,683","11,354","12,554","12,154","11,711","9,760","8,760","8,011 ","7,124 ","6,744 ","7,862 ","8,853 ","11,633 ","11,371 ","12,843 ","14,197 ","14,528 ","13,710 ","13,551 ","12,814 ","10,922 ","11,225 "
"RDT&E, NAVY","7,888","8,942","9,065","9,596","11,379","14,773","14,773","17,077","18,970","19,724","18,487","19,809","19,948","17,866","17,793","15,553 ","14,946 ","16,067 ","18,333 ","17,852 ","18,465 ","18,738 ","20,585 ","20,151 ","22,152 ","24,079 ","25,390 ","24,046 ","23,781 ","22,113 "
"RDT&E, AIR FORCE","14,278","13,732","14,527","14,313","14,479","20,233","20,233","20,478","22,191","24,492","26,347","26,768","27,917","27,421","26,740","23,163 ","23,824 ","23,620 ","25,244 ","28,382 ","38,078 ","41,419 ","45,802 ","36,022 ","41,640 ","44,134 ","42,304 ","42,225 ","41,623 ","40,914 "
"RDT&E, Space Force",,,,,,,,,,,,,,,,,,,,,,,,"10,507 ","11,597 ","15,819 ","16,760 ","15,656 ","14,138 ","14,425 "
"RDT&E,DEF.AGENCIES","9,714","10,093","9,552","11,316","15,518","18,856","18,856","20,855","19,682","21,839","21,883","21,736","20,890","20,895","19,355","17,390 ","17,318 ","17,448 ","19,007 ","19,543 ","23,774 ","24,301 ","26,680 ","25,998 ","29,099 ","32,078 ","36,206 ","37,265 ","38,207 ","40,196 "
"DIR OF OPER, T&E,DEF",30,47,31,225,229,302,302,310,166,180,178,185,188,192,188,210 ,246 ,209 ,187 ,189 ,209 ,377 ,228 ,257 ,277 ,277 ,284 ,292 ,293 ,292 
"DIR OF T&E, DEF.",250,259,265,35,,,,,,,,,,,,,,,,,,,,,,,,,,
Total RDT&E,,,,,,,,,"72,692","77,589","79,449","80,652","80,655","76,135","72,837","64,328 ","63,458 ","64,088 ","70,633 ","74,817 ","92,159 ","96,206 ","106,138 ","107,133 ","119,294 ","130,097 ","134,495 ","132,297 ","128,964 ","129,166 "
