FYDP Year,Type,Force,Program Number,Program Name,Project Number,Project Name,1999,2000,2001,2002,2003,2004,2005
2001,RDT&E,Army,0601102A,Defense Research Sciences,AF20,Advanced Propulsion Research,2.042,2.422,2.509,2.607,2.634,2.656,2.674
2001,RDT&E,Air Force,0602203F,Aerospace Propulsion,623012,Advanced Propulsion Technology,2.003,0.000,0.000,6.476,6.980,7.466,7.757
2001,RDT&E,Air Force,0603216F,Aerospace Propulsion and Power Technology,63681B,Advanced Turbine Engine Gas Generator,28.508,33.005,37.466,34.638,34.457,29.990,26.860
2001,RDT&E,Air Force,0603216F,Aerospace Propulsion and Power Technology,632480,Aerospace Fuels and Atmospheric Propulsion,1.904,2.198,2.075,2.984,3.164,3.228,3.292
2001,RDT&E,Army,0203752A,Aircraft Engine Component Improvement Program,D106,Aircraft Component Improvement Program (CIP),6.543,3.859,2.929,3.108,3.174,3.348,3.425
2001,RDT&E,Army,0603003A,Aviation Advanced Technology,D447,Aircraft Demonstration Engine,6.291,6.940,6.899,6.797,6.766,7.040,7.362
2001,RDT&E,Navy,0205633N,Aviation Improvements,W1355,Aircraft Engine CIP,42.704,39.495,39.038,38.827,38.593,38.361,38.382
2001,RDT&E,Air Force,0207268F,Aircraft Engine Component Improvement Program (CIP),671012,Aircraft Engine Component Improvement Program,93.338,158.329,166.926,174.127,186.200,211.043,168.638
2001,RDT&E,Air Force,0603202F,Aerospace Propulsion Subsystems Integration,63668A,Aircraft Propulsion Subsystem Integration,25.150,19.586,34.440,32.161,32.353,27.080,23.423
2001,RDT&E,Navy,0604214N,AV8B Aircraft (Eng),H0652,AV-8B,1.884,0.759,13.371,20.219,1.747,8.730,8.620
2001,RDT&E,Air Force,0602203F,Aerospace Propulsion,623048,Fuels and Lubrication,11.246,11.399,8.016,9.390,14.082,14.364,14.564
2001,RDT&E,Air Force,0602102F,Materials,624347,"Materials for Structures, Propulsion, and Subsystems",41.812,52.526,44.127,43.178,46.313,47.599,48.058
2001,RDT&E,Air Force,0601102F,Defense Research Sciences,612308,Propulsion,13.766,20.027,18.648,18.486,18.390,18.413,18.540
2001,RDT&E,Air Force,0602203F,Aerospace Propulsion,623066,Turbine Engine Technology,34.782,41.098,42.091,40.849,39.966,38.442,35.304
2001,RDT&E,Army,0602211A,Aviation Technology,A47B,Vehicle Propulsion and Structures Technology,3.061,3.258,3.578,3.680,3.815,3.969,4.068
