Table 6-1:  DEPARTMENT OF DEFENSE TOA BY PUBLIC LAW TITLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Dollars in Millions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Law Title,,,FY 1948,FY 1949,FY 1950,FY 1951,FY 1952,FY 1953,FY 1954,FY 1955,FY 1956,FY 1957,FY 1958,FY 1959,FY 1960,FY 1961,FY 1962,FY 1963,FY 1964,FY 1965,FY 1966,FY 1967,FY 1968,FY 1969,FY 1970,FY 1971,FY 1972,FY 1973,FY 1974,FY 1975,FY 1976,FY 1977,FY 1978,FY 1979,FY 1980,FY 1981,FY 1982,FY 1983,FY 1984,FY 1985,FY 1986,FY 1987,FY 1988,FY 1989,FY 1990,FY 1991,FY 1992,FY 1993,FY 1994,FY 1995,FY 1996,FY 1997,FY 1998,FY 1999,FY 2000,FY 2001,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,"FY 2022
Enacted",FY 2023,FY 2024,FY 2025,FY 2026,FY 2027,
Current Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Military Personnel  .............................................................................................,, ,"4,232 ","4,601 ","4,942 ","8,522 ","11,141 ","12,181 ","11,190 ","11,040 ","10,888 ","10,945 ","10,987 ","11,294 ","11,241 ","11,356 ","12,158 ","12,042 ","12,983 ","13,430 ","15,455 ","18,236 ","19,961 ","21,385 ","22,978 ","22,625 ","23,147 ","23,639 ","24,104 ","24,885 ","25,430 ","25,947 ","27,184 ","28,650 ","31,065 ","36,746 ","42,829 ","45,638 ","48,177 ","68,079 ","71,695 ","74,491 ","76,563 ","78,448 ","78,864 ","83,974 ","81,055 ","75,983 ","71,293 ","71,473 ","69,699 ","70,187 ","69,686 ","70,731 ","73,538 ","77,251 ","87,146 ","109,061 ","115,549 ","121,311 ","126,665 ","130,287 ","137,000 ","145,183 ","152,997 ","153,628 ","152,623 ","146,239 ","143,606 ","139,028 ","138,304 ","139,028 ","144,151 ","148,962 ","154,150 ","163,155 ","167,379 ","173,883 ","188,034 ","192,429 ","197,417 ","201,814 ",
"Retired Pay, Defense  .............................................................................................",, ,175 ,193 ,197 ,324 ,331 ,356 ,386 ,422 ,479 ,511 ,561 ,635 ,693 ,788 ,896 ,"1,015 ","1,211 ","1,386 ","1,592 ","1,831 ","2,093 ","2,443 ","2,853 ","3,389 ","3,889 ","4,392 ","5,137 ","6,239 ","7,326 ","8,219 ","9,173 ","10,282 ","11,920 ","13,724 ","14,940 ","15,954 ","16,503 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operation and Maintenance  .............................................................................................,, ,"3,881 ","4,436 ","4,205 ","11,676 ","13,661 ","10,884 ","8,678 ","8,407 ","9,195 ","9,614 ","10,112 ","10,214 ","10,329 ","10,671 ","11,562 ","11,467 ","11,693 ","12,563 ","15,378 ","19,365 ","20,950 ","22,290 ","21,517 ","20,422 ","21,254 ","22,151 ","23,865 ","26,156 ","28,851 ","32,015 ","34,904 ","37,876 ","46,612 ","55,248 ","62,014 ","66,760 ","70,429 ","77,647 ","76,338 ","80,316 ","82,720 ","86,623 ","88,531 ","109,764 ","92,145 ","90,767 ","89,091 ","93,989 ","93,233 ","91,834 ","95,856 ","102,661 ","106,791 ","124,025 ","142,974 ","172,680 ","177,494 ","197,848 ","211,636 ","239,894 ","256,878 ","270,550 ","291,763 ","304,248 ","288,611 ","256,499 ","259,563 ","248,241 ","247,832 ","258,156 ","274,353 ","283,078 ","299,389 ","284,948 ","308,569 ","308,886 ","296,230 ","301,224 ","301,403 ","305,465 ",
Procurement  .............................................................................................,, ,"2,995 ","3,251 ","4,176 ","21,837 ","28,173 ","16,481 ","6,469 ","8,917 ","11,844 ","12,221 ","13,628 ","13,118 ","11,137 ","14,238 ","16,194 ","16,026 ","15,028 ","14,111 ","22,012 ","23,277 ","22,528 ","22,245 ","19,156 ","17,364 ","18,491 ","18,199 ","17,437 ","17,289 ","20,996 ","27,075 ","29,948 ","31,311 ","35,087 ","47,204 ","63,281 ","76,614 ","83,399 ","90,025 ","87,301 ","83,230 ","82,101 ","79,412 ","79,709 ","71,416 ","61,919 ","53,621 ","43,761 ","43,084 ","43,432 ","43,149 ","44,884 ","50,770 ","55,502 ","62,930 ","63,342 ","79,571 ","83,161 ","98,549 ","105,315 ","134,384 ","164,684 ","134,837 ","135,889 ","131,472 ","119,840 ","103,584 ","100,753 ","104,028 ","119,888 ","125,983 ","148,223 ","148,554 ","144,149 ","142,887 ","147,288 ","145,939 ","156,352 ","160,872 ","174,208 ","173,541 ",
RDT&E  .....................................................................................................,, ,405 ,484 ,553 ,"1,183 ","1,796 ","2,112 ","2,243 ","2,621 ","3,539 ","4,381 ","4,159 ","5,144 ","5,476 ","6,366 ","6,269 ","7,028 ","7,053 ","6,433 ","6,885 ","7,225 ","7,263 ","7,730 ","7,399 ","7,123 ","7,584 ","8,020 ","8,200 ","8,632 ","9,520 ","10,585 ","11,503 ","12,362 ","13,492 ","16,630 ","20,090 ","22,789 ","26,865 ","30,574 ","33,470 ","35,720 ","36,878 ","37,306 ","35,793 ","34,714 ","37,879 ","37,677 ","34,508 ","34,422 ","35,115 ","36,481 ","37,184 ","38,104 ","38,753 ","41,748 ","48,623 ","58,307 ","64,367 ","69,296 ","72,691 ","77,589 ","79,448 ","80,651 ","80,655 ","76,135 ","72,970 ","64,328 ","63,458 ","64,088 ","70,633 ","74,817 ","92,159 ","96,206 ","106,138 ","107,133 ","119,294 ","130,097 ","134,495 ","132,297 ","128,964 ","129,166 ",
Military Construction  .............................................................................................,, ,215 ,239 ,265 ,"1,631 ","2,087 ","2,269 ","1,464 ","2,338 ","2,095 ","2,048 ","1,634 ","1,748 ","1,350 ","1,115 ",915 ,"1,286 ",977 ,"1,063 ","2,595 ","1,217 ","1,557 ","1,142 ","1,015 ","1,209 ","1,262 ","1,550 ","1,847 ","1,828 ","2,147 ","2,210 ","1,860 ","2,535 ","2,255 ","3,403 ","4,849 ","4,204 ","4,744 ","5,468 ","5,107 ","5,169 ","5,461 ","5,680 ","5,158 ","5,496 ","4,988 ","3,905 ","6,477 ","5,874 ","7,358 ","6,003 ","5,469 ","5,148 ","5,404 ","5,280 ","6,745 ","6,592 ","6,505 ","7,305 ","9,826 ","14,373 ","22,423 ","26,743 ","23,379 ","17,036 ","12,694 ","10,345 ","9,706 ","6,441 ","7,551 ","7,593 ","10,669 ","11,592 ","16,868 ","7,523 ","13,506 ","10,198 ","14,605 ","12,562 ","11,500 ","10,526 ",
Family Housing  .............................................................................................,, ,,,,,,,,44 ,25 ,3 ,42 ,42 ,32 ,108 ,440 ,556 ,602 ,575 ,613 ,439 ,612 ,518 ,593 ,714 ,839 ,974 ,"1,104 ","1,103 ","1,254 ","1,297 ","1,385 ","1,605 ","1,552 ","2,069 ","2,317 ","2,624 ","2,630 ","2,826 ","2,732 ","3,132 ","3,253 ","3,350 ","3,165 ","3,385 ","3,705 ","3,822 ","3,566 ","3,728 ","4,312 ","4,122 ","3,931 ","3,553 ","3,601 ","3,727 ","3,894 ","4,323 ","4,260 ","4,495 ","4,653 ","4,420 ","3,461 ","3,544 ","2,425 ","3,415 ","2,017 ","1,933 ","1,513 ","1,282 ","1,514 ","1,362 ","1,488 ","1,633 ","1,461 ","1,536 ","1,558 ","1,956 ","1,640 ","1,753 ","1,695 ","1,716 ",
Revolving and Management Funds  .............................................................................................,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135 ,220 ,171 ,101 ,,525 ,347 ,909 ,"2,525 ","1,554 ","1,497 ",661 ,830 ,722 ,137 ,"1,871 ","3,504 ","3,881 ","2,643 ","1,645 ","1,903 ","2,411 ","2,114 ","1,764 ","3,369 ","1,579 ","2,570 ","2,488 ","4,716 ","3,671 ","5,485 ","2,850 ","5,386 ","4,354 ","4,683 ","3,157 ","3,482 ","2,465 ","2,590 ","2,267 ","2,257 ","2,348 ","1,917 ","2,937 ","3,555 ","3,859 ","2,551 ","1,423 ","1,331 ","1,352 ","1,360 ","1,373 ",
"Trust, Receipts, and Other  .....................................................................................................",, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83 ,,,,,75 ,,,,2 ,51 ,,,29 ,,,,39 ,47 ,,,,"1,264 ",462 ,406 ,351 ,
