FYDP Year,Type,Force,Program Number,Program Name,Project Number,Project Name,2006,2007,2008,2009,2010,2011,2012,2013
2008,RDT&E,Air Force,0602102F,Materials,4347,"Materials for Structures, Propulsion, and Subsystems",73.687,72.689,46.921,38.459,50.459,48.142,43.843,44.954
2008,RDT&E,Air Force,0601102F,Defense Research Sciences,2308,Propulsion,21.276,21.167,20.272,20.662,22.675,21.751,21.419,24.341
2008,RDT&E,Air Force,0602203F,Aerospace Propulsion,3012,Advanced Propulsion Technology,19.272,29.825,21.984,21.639,22.203,23.141,22.936,23.461
2008,RDT&E,Air Force,0602203F,Aerospace Propulsion,3048,Fuels and Lubrication,20.723,24.599,17.349,26.088,26.678,19.067,17.954,18.301
2008,RDT&E,Air Force,0602203F,Aerospace Propulsion,3066,Turbine Engine Technology,33.107,42.568,51.506,83.546,76.501,46.558,40.753,41.676
2008,RDT&E,Air Force,0603216F,Aerospace Propulsion and Power Technology,2480,Aerospace Fuels,5.187,9.432,7.524,12.177,12.658,10.776,8.523,8.654
2008,RDT&E,Air Force,0603216F,Aerospace Propulsion and Power Technology,4921,Aircraft Propulsion Subsystems Int,31.996,27.729,16.459,31.95,43.207,55.598,18.555,19.146
2008,RDT&E,Air Force,0603216F,Aerospace Propulsion and Power Technology,681B,Advanced Turbine Engine Gas Generator,23.427,27.922,33.507,54.536,74.194,48.168,29.051,29.864
2008,RDT&E,Air Force,0207268F,Aircraft Engine Component Improvement Program (CIP),1012,Aircraft Engine Component Improvement Program,146.527,153.736,139.042,163.137,163.615,169.097,172.064,175.573
2008,RDT&E,Navy,0604214N,AV-8B Aircraft - Eng Dev,652,AV-8B,19.517,21.682,17.36,26.277,14.79,12.485,12.662,12.882
2008,RDT&E,Navy,0205633N,Aviation Improvements,1355,A/C Eng Comp Imp (CIP),65.823,58.458,57.616,60.921,60.054,61.134,61.477,62.561
2008,RDT&E,Army,0601102A,Defense Research Sciences,F20,Adv Propulsion Rsch,1.996,1.935,2.198,2.253,2.252,2.26,2.29,2.342
2008,RDT&E,Army,0602211A,Aviation Technology,47B,Veh Prop & Struct Tech,3.999,4.285,4.175,4.242,4.287,4.319,4.414,4.511
2008,RDT&E,Army,0603003A,Aviation Advanced Technology,447,Acft Demo Engines,7.356,8.284,8.507,8.688,9.893,10.262,10.488,10.718
2008,RDT&E,Army,0203752A,Aircraft Engine Component Improvement Program,NA,Aircraft Engine Component Improvement Program (USA),1.982,0.851,0.476,0.331,NA,NA,NA,NA
