FYDP Year,Type,Force,Program Number,Program Name,Project Number,Project Name,2012,2013,2014,2015,2016,2017,2018
2014,RDT&E,Air Force,0602102F,Materials,624347,"Materials for Structures, Propulsion, and Subsystems",88.824,58.464,60.381,53.257,52.689,51.543,52.609
2014,RDT&E,Air Force,0602203F,Aerospace Propulsion,623012,Advanced Propulsion Technology,20.009,23.637,22.304,21.383,23.359,26.02,26.522
2014,RDT&E,Air Force,0602203F,Aerospace Propulsion,623048,Combustion and Mechanical Systems,19.717,15.874,13.235,12.491,12.527,12.645,12.886
2014,RDT&E,Air Force,0602203F,Aerospace Propulsion,623066,Turbine Engine Technology,70.515,102.188,77.444,52.595,55.965,52.887,52.433
2014,RDT&E,Air Force,0602203F,Aerospace Propulsion,625330,Aerospace Fuel Technology,6.13,5.494,5.325,5.142,5.164,5.254,5.358
2014,RDT&E,Air Force,0603216F,Aerospace Propulsion and Power Technology,632480,Aerospace Fuels,6.589,3.581,2.452,4.55,4.573,4.56,4.642
2014,RDT&E,Air Force,0603216F,Aerospace Propulsion and Power Technology,634921,Aircraft Propulsion Subsystems Int,17.24,77.716,64.176,47.209,58.399,39.617,37.448
2014,RDT&E,Air Force,0603216F,Aerospace Propulsion and Power Technology,635098,Advanced Aerospace Propulsion,28.416,9.553,18.811,42.427,39.14,29.523,30.054
2014,RDT&E,Air Force,0603216F,Aerospace Propulsion and Power Technology,63681B,Advanced Turbine Engine Gas Generator,31.125,34.789,32.301,14.432,14.817,15.363,15.635
2014,RDT&E,Navy,0604214N,AV-8B Aircraft - Engine Dev,652,AV-8B,22.81,32.789,35.825,15,18.691,17.248,19.576
2014,RDT&E,Navy,0205633N,Aviation Improvements,1355,Propulsion and Power Component Improvement Program,60.673,61.296,70.497,90.844,94.685,96.693,112.206
2014,RDT&E,Army,0601102A,Defense Research Sciences,F20,Adv Propulsion Rsch,3.94,4.211,4.256,4.307,4.283,4.357,4.435
2014,RDT&E,Army,0602211A,Aviation Technology,47B,Veh Prop & Struct Tech,5.484,5.709,6.803,8.683,8.727,8.412,8.896
2014,RDT&E,Army,0603003A,Aviation Advanced Technology,447,ACFT Demo Engines,8.149,9.909,8.276,10.251,9.772,8.478,8.631
2014,RDT&E,Army,0203752A,Aircraft Engine Component Improvement Program,106,A/C Compon Improv Prog,0.8,0.898,0.315,0.387,0.37,0.331,0.145
2014,RDT&E,Air Force,0207268F,Aircraft Engine Component Improvement Program,671012,Aircraft Engine Component Improvement Program,136.516,156.236,107.837,108.45,109.953,111.946,113.816
2014,RDT&E,Air Force,0207268F,Aircraft Engine Component Improvement Program,675365,F-35,31.874,31.748,31.532,31.36,31.913,32.456,33.04
2014,RDT&E,Air Force,0604858F,Tech Transition Program,645350,Advanced Engine Development/Transition Prioritization,NA,37.588,13.636,59.741,28.479,3,3.054
