"Fiscal.Year","type","amount_OMB19_19","amount_OMB19_19.lagged","amount_change","amount_OMB19_19.2000","baseline_change","amount_percent_change","baseline_percent_change","SimpleArea",".group"
2000,"Engines",6192450885.08506,0,0,6192450885.08506,0,NA,0,"Total",1
2000,"Topline",189311231503.992,0,0,189311231503.992,0,NA,0,"Total",1
2001,"Engines",7216436736.05183,6192239292.3846,1022971876.83776,6192239292.3846,1022971876.83776,0.165202252131284,0.165202252131284,"Total",2
2001,"Topline",201399763222.893,189311231503.992,12088531718.9017,189311231503.992,12088531718.9017,0.0638553329502101,0.0638553329502101,"Total",2
2002,"Engines",7977070970.69813,7216436736.05183,760580517.128363,6192239292.3846,1782700130.85776,0.105395577477824,0.28789264217392,"Total",3
2002,"Topline",233702583837.055,201399763222.893,32302820614.1617,189311231503.992,44391352333.0634,0.160391552091407,0.234488741002815,"Total",3
2003,"Engines",10018006216.9521,7977017253.18019,2040988963.77191,6192239292.3846,3825277161.07932,0.255858662328733,0.617753445959971,"Total",4
2003,"Topline",285747300602.427,233702583837.055,52044716765.3718,189311231503.992,96436069098.4352,0.222696368653156,0.509404900767348,"Total",4
2004,"Engines",8293810167.7112,10018006216.9521,-1724494827.86659,6192239292.3846,2099451477.84766,-0.172139524624017,0.339045598646297,"Total",5
2004,"Topline",302692222516.292,285747300602.427,16944921913.8653,189311231503.992,113380991012.3,0.0593003744152303,0.598913176527035,"Total",5
2005,"Engines",9658287148.73923,8293511389.08551,1364775759.65372,6192239292.3846,3441329582.82039,0.164559460477718,0.555748804322314,"Total",6
2005,"Topline",339332177668.015,302692222516.292,36639955151.7231,189311231503.992,150020946164.024,0.121046899874512,0.792456659714141,"Total",6
2006,"Engines",7869628535.8283,9658287148.73923,-1788865325.89401,6192450885.08506,1669534018.67927,-0.185215587230447,0.26960795485685,"Total",7
2006,"Topline",365255162426.924,339332177668.015,25922984758.9089,189311231503.992,175943930922.932,0.0763941248868848,0.929389817630671,"Total",7
2007,"Engines",8333103025.75842,7869628535.8283,463425876.3548,6192450885.08506,2123958042.22478,0.0588878972171237,0.34299150395209,"Total",8
2007,"Topline",395228155776.147,365255162426.924,29972993349.2233,189311231503.992,205916924272.156,0.0820604235955733,1.08771636334643,"Total",8
2008,"Engines",7080352977.41392,8333054412.1831,-1252701434.76918,6192450885.08506,866439066.210248,-0.150329203771633,0.13991860125966,"Total",9
2008,"Topline",445851160799.752,395228155776.147,50623005023.6048,189311231503.992,256539929295.761,0.128085522966327,1.35512260555102,"Total",9
2009,"Engines",7272752579.9037,7080352977.41392,192448586.006763,6192450885.08506,1062665873.91145,0.0271806485666275,0.171606669738949,"Total",10
2009,"Topline",444724139359.998,445851160799.752,-1127021439.7537,189311231503.992,255412907856.007,-0.00252779747782217,1.34916933256874,"Total",10
