"ProductOrServiceArea","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Other",97421397,69021744,147693880,203630352,194840622,238151476.9199,197268658.1534,121816125.5679,133049999.588,76739416.9561,100867315.6638,96214103.8183,234105590.7186,155208078.7345,127949790.1498,144964388.0387,164118497.7761,180105310.3083,261896070.1382,280723369.2669,193446251.388,278789214.1659
"Aircraft",309200445,398593485,440584163,259141264,315349374,381598137,412619558.9472,164891044.9053,155920943.068,290219683.2923,311635897.1066,590246907.8136,471976331.1263,1260615608.9328,1120433050.8325,997798058.8715,953562593.7456,523118425.2289,580899061.3309,413692134.682,211830462.4788,354181813.8706
"Ground Vehicles",87808097,27019575,32914216,38182208,80154411,33649060,40444716.8965,33193491.8545,104617415.5623,594435901.1754,46412819.4487,51213753.5313,66609379.0076,29735624.47,20295007.9959,19952860.9197,13305289.4436,35275035.1597,46720937.2781,48406970.3317,44704403.6419,24002851.1862
"Ships",78398,,275256,-159715,976743,787440,1713267,35367,67129,244062.25,103422,93770.49,229805.2802,1404835.54,89720.97,13004.26,30853.4901,180433.7777,390910.3392,177882.5498,204070.0635,76308.5409
"Missiles & Space",-16521706,14737758,63351563,974330,434942,136399,548543,862706,3604316,458891,1290905.6504,543935.502,2330860.6382,6022692.69,1622175.37,1998484.6409,736757.3186,1203374.8438,2032150.4369,1950160.0699,671287.361,1303729.3135
"Engines & Power Plants",3865697432,4188825534,4397361358,5992137464.0293,4949980884,5722200767.4666,4666736687.4259,5693461438.5318,4642024887.7797,5101579877.8322,4786198180.2612,5019427825.9732,4690150590.4593,4278935513.9035,4497847560.5124,4338453721.8125,5584093563.5387,4357009584.9819,8533884021.3324,10482715869.9405,9119212315.8188,5756764314.4517
"Electronics & Communications",167988048,23467371,116244524,52046841,38633937,73082294,35311573.8125,27089967.548,100675985.4784,143946067.7424,56220911.3835,39260859.7215,77741684.0889,67311568.959,134564931.0819,68436174.0168,71933329.9373,73076173.947,142336189.1012,103659606.468,81119540.4002,93212904.3413
"Launchers & Munitions",21787663,324101,531180,2027946,2116213,3598312,859464,2463273,1274846,66887,3292132.4063,429454.8078,801655.9414,890962.71,404695.0305,691423.3539,2084010.9271,10660943.2787,10453751.1849,1661424.3347,3186545.678,839226.671
"Clothing & Subsistence",885342,363074,,39332,102910,2414467,2386257,916309,4711010.3592,-12375.7998,1194.3101,,12910.96,119959.34,,2198.52,5646.3,,,2025.95,,
"Fuels",,,,,50345,746035,155732,186124,30030,,,0,14138.8101,41071.5,,516.78,7060.75,770.15,,,34921.71,
