"SimpleArea","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Products",5340281749.97769,5934185436.14167,6271541636.03478,8183290723.29597,6820454359.97553,7792834230.84028,6119444439.44182,6834216730.91581,5173589425.70199,5794450138.24362,5266958234.77732,6200961496.52565,5491199434.45931,5850923524.33874,5912398452.99688,5602411214.26321,6863270471.65114,4971602674.59785,7069985694.25729,6249781158.0253,7690146788.67973,4794172414.9101
"R&D",787820642.369625,1084037899.22836,1952748513.32119,2031802009.6243,1466583469.67823,1873621337.20067,1530618081.10633,1705167790.62364,1686636838.011,1473986469.78496,1432632448.98866,668043709.907817,722571271.229486,734022052.333853,415242008.54902,454530305.146527,449884564.507411,201736964.999619,159227619.999831,250543858.142784,134911349.041047,230070564.0793
"Services",139951646.54077,278639273.85967,119533388.790764,227877377.162966,361263716.782702,415129279.915113,394107847.740264,82110287.797267,280152945.319953,80237979.5816627,88246635.7600101,81754322.9900545,77034436.4467464,155914780.436958,218292127.806226,311754867.464522,222165361.451389,430924565.094115,38743624.5463867,31362956.6192142,27927492.6570799,138015689.7671
