"ColorOfMoney","SimpleArea.engines","2011","2012","2013","2014","2015","2016","2017"
"RDT&E","Other Services",47075464.5097293,28516254.7564568,3118257.98624026,4525034.55382143,-1712819.08748371,4426755.15033322,12652508.9318606
"RDT&E","F-35 MDAP",15372729.0932219,111872678.062319,3745732.29536247,1479561.87945137,629189.08065334,16548587.0592453,9020925.01666226
"RDT&E","AETP",12506233.8182308,31673697.7089429,202989894.040194,133553642.532554,116982989.027628,235373080.19508,156332486.942157
"RDT&E","Other R&D",315398882.355042,687407818.420225,495207640.536823,301904906.664004,354904594.079862,316960157.598511,194832762.204544
"RDT&E","Other Products",137892762.167439,148544807.877633,128019705.370927,107581556.313911,121721870.577519,151980001.753783,308368776.376781
"PROC","Other Services",236898786.526692,24735822.0160603,26917366.0050226,36565293.103322,66491613.4753997,21469279.0391454,215068306.677142
"PROC","F-35 MDAP",,,74850410.8165281,503986635.870338,2423455236.14565,2256196014.00013,137902496.628976
"PROC","Other R&D",44087524.186336,18221501.2591694,1078613.4399352,-294126.031505244,19023352.7162511,16787203.3655286,173967.545051632
"PROC","Other Products",1982676945.03298,2817997611.03384,2823155046.0299,2123935346.66747,1364332532.98359,1227506976.23315,1080130818.42084
"O&M","Other Services",1521252633.19629,1463413534.9147,1212586438.38108,912144508.966151,949565315.474123,1022797781.17068,1310358059.56491
"O&M","F-35 MDAP",,,,,552293.716162306,,89336825.0669454
"O&M","Other R&D",4469321.90661227,311180.818164737,1284519.27671946,2286260.15262477,2387449.53481827,-178002.130469371,135756.09369977
"O&M","Other Products",161076800.58265,272795409.905677,263502358.165818,345792709.73447,230392636.277216,378290845.119048,193852486.797994
"MILPERS","Other Services",,0,,,,,
"MILPERS","Other Products",,,,,,,0
"MILCON","Other Services",932753.748225847,,,,,,
"MILCON","Other Products",,,,10428.2026439151,,,
"RF","Other Services",1110392258.44802,929760417.539839,634630450.818089,548723643.064023,492330222.876448,393061929.172422,378566440.133238
"RF","Other R&D",44008364.3457935,21011450.447277,46014865.6803469,-32553.1492213823,-2153144.49365248,-26152263.7577401,1775087.88934322
"RF","Other Products",2491725801.37992,2516642990.3774,2208331906.63098,2033423544.69086,1770481402.3064,1768210126.87384,2007501238.64341
"FMS","Other Services",60832899.1274408,67664201.3462432,123608963.864792,84086442.3925302,152400203.802678,101279667.755841,123544985.82195
"FMS","F-35 MDAP",,-157073.940140748,-200434.262478589,128678442.098154,31263807.7389149,1253009472.51875,41476326.7054078
"FMS","Other R&D",,668532.926516993,0,0,9328349.17969433,2467665.51949878,11226953.660164
"FMS","Other Products",456394016.880365,541488498.004552,1147650952.39632,1400703746.72437,309418059.714306,415495090.288641,676025948.742185
"Unlabeled","Other Services",123701698.926827,7694499.72361388,7827732.40272057,1724221.42896093,19232824.2671869,12325527.8731255,181696446.912286
"Unlabeled","F-35 MDAP",87409905.2732901,,0,0,0,391156.768357418,600951581.238965
"Unlabeled","AETP",0,0,0,0,0,0,0
"Unlabeled","Other R&D",161550913.805848,0,0,672787.267349364,5078764.17229321,850173.785782254,14747883.3979433
"Unlabeled","Other Products",1599239256.45757,5398085.81046038,842307.094745777,85247.8654649369,10243179.4606584,14668733.8012967,353185989.608814
