"TopProject","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Advanced Engine Development",,,,,,,,,,5421329,7550092,10617418,27413621,178236941,119104789,104883744.5,172989886,424300,9712216,1725000,0,0
"AH-64 APACHE",148998009,,,372280,,,,,,,,,,,,,,,,,,
"ITEP",,,,,,,,,,,,,,,,,,,,138814838,76633776,153876044.1152
"JSF (F-35) ",79993785,173028690,11274834,177549743,41375000,206643258,334733510,435665739.6016,462667999.3281,409231661.7501,428599146.4395,87259378.6484,6808877.0478,-21596.44,1177087,1252406.5906,-7851.54,0,-215000,-21378,,
"JSTARS ",,,,,,,,12875832,66643471.75,77049838,92201671,-17131566,11409875,-80905.86,-1722308.02,-6291057.5,,,,,,
"KIOWA WARRIOR ",,,,,,,,,,34382368.6432,53312820.4023,50231998.9316,30736531.1085,41061918.37,-40264.04,-2584632.3282,-23594529.8125,18,,,,
"Other Labeled Project",9403175,1446619,42194564,65741002,2005438,6562150,3219552,26982866,933149.1875,5393892.2969,44348888.25,37052992.6406,0,0,,-1045.64,-13531.4404,-7268.5601,-289016.375,,,13706838.75
"Unlabeled",145395094,427075160,1270495327,1159595016,964935644,1127077305,827424685,871202614.6523,848923521.3316,672659251.3609,564119904.4094,401299348.2542,550562193.9855,425701782.3995,252758755.1,308875009.5145,262208958.2912,183373210.657,120952094.6563,112346176.0449,80567539.2049,60256232.5178
