"ProductOrServiceArea","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"PAMS",118857470,41581566,31169321,49513132,67814161,83683717.6719,333598469,381497846.7831,606295959.3763,381388290.3011,345355971.7658,382240742.4925,411015276.0693,312172864.28,204006002.36,156495313.5183,48376699.1297,184763463.0091,199995370.5949,230223086.3393,278001376.2384,79671446.2409
"ICT",21854169,6014318,960919,4182291,-26425,371924,9177,3585349.196,3787642.8321,2093037.2969,-203177,290422.6593,704127.1899,532987.96,-34845,1940143.2754,1754335.6875,3466633.7109,3470318.6284,2461342.2612,4620945.8767,253261.7802
"ERS",182511107,366202858,130737356,307412421,362476833,394382312.8516,458245853.2344,674261614.4454,1000302426.6221,1983179248.4255,2415872630.6858,2195032278.9825,1711905489.2402,1319561987.1396,1156512606.75,1281247487.9769,1322434690.6033,1840291502.5607,1221013729.564,1003431645.0722,1206536072.145,1406589036.3593
"FRS&C",8349192,69448,127539,,54968,1097531,637294,11357133.7208,7437839.6187,6142293.2002,0,65586.0469,10063072.6592,13504418.08,12312598.26,5981008.54,-505548.5977,,,0,,-196454.6563
"MED",,,,,,30258,,,-180,,,,,,,,,,,,,
