"SubCustomer.JPO","name","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Air Force","pTopline",0.06842102755297,0.0786696037106167,0.0658902966420697,0.0635555883257156,0.0653188610706501,0.0692564804340784,0.0470803147926036,0.0649860017734136,0.0553313134473425,0.0581772156097522,0.0641870267988973,0.0541627687291867,0.0394517147653494,0.0536211781118514,0.0523808010422875,0.0401374482717503,0.0318246280853084,0.0451310479020059,0.046024177853912,0.0406536128420416,0.0510972187488584,0.0436948141454965
"Air Force","pAircraft",0.150180534039487,0.171950745093724,0.14717242983176,0.140222826662355,0.159571942302447,0.189967819495306,0.119252510557965,0.153387502783099,0.134502549982707,0.150156652029007,0.155981452053611,0.129069878553686,0.0876981516096185,0.122333739500623,0.127780869921351,0.0972554782813627,0.070111288284509,0.109577671544375,0.112822406126646,0.103210456464995,0.1300170231589,0.118969986210625
"Army","pTopline",0.0405259207161054,0.0210920063065641,0.0252064922099875,0.0191070114096488,0.0156398279420746,0.0133427400085907,0.0123592881607635,0.00760637593900414,0.00637092417450399,0.00889818684559408,0.0071032417077588,0.00829509991245162,0.00975608561665141,0.00914343371873079,0.00609274944128117,0.00396449401536847,0.00630065127286963,0.0140405663383583,0.0138922729750342,0.00531159445947843,0.0102025849792377,0.0064876586860356
"Army","pAircraft",0.190727586632902,0.110531774541834,0.190369908821847,0.167931438087109,0.129829960574425,0.155511167537127,0.151596931177777,0.101576723352311,0.0726341099742138,0.122159644819861,0.0927293723427987,0.0844221415077382,0.0735527731936264,0.0653527386671517,0.0477898153620716,0.0315956247967758,0.0416977203592785,0.0976670264305597,0.131666929244053,0.0556512473501504,0.106361806589214,0.0973782685450205
"DLA","pTopline",0.0564598436762158,0.0572576587746125,0.0555133850654066,0.0455114085968263,0.0342632086269988,0.0313211220981336,0.0235373110516886,0.0193910166823037,0.0203952271280799,0.0304373899691086,0.0460058060257299,0.041079247960302,0.0358865566629585,0.0403637390732632,0.0385601588487131,0.0332668936443825,0.0394695076055766,0.0442367250460664,0.0524978841238954,0.064675752776952,0.0603761544076004,0.0422969236901503
"DLA","pAircraft",0.421908462495395,0.422822639762585,0.452444505124963,0.45277162716208,0.422375341671755,0.446459815594499,0.340409028816452,0.361270941928084,0.260267569007276,0.33445596998517,0.352059749664335,0.329921875143319,0.326344691082428,0.353310149268392,0.305454805007169,0.254091810555717,0.250300007253219,0.255317775402322,0.288695836891051,0.327657241896465,0.347476187425637,0.303085669704127
"F-35 JPO","pTopline",0.449323882404242,0.644101523333784,1.72013489107381,0.741878423937825,0.213924739427279,0.692345802279961,0.527534389106867,0.408744683840659,0.169762927434172,0.111160031676918,0.230619302944316,0.0180947254968782,0.0204707192131662,0.00560036591608456,0.148702700108054,0.193289942284933,0.313624954142239,0.0333029266896708,0.227974574422319,0.340541816270547,0.103768097311837,0.17125447751164
"F-35 JPO","pAircraft",0.449323882404242,0.644101523333784,1.72013489107381,0.741878423937825,0.213924739427279,0.692345802279961,0.527534389106867,0.408744683840659,0.169762927434172,0.111160031676918,0.230619302944316,0.0180947254968782,0.0204707192131662,0.00560036591608456,0.148702700108054,0.193289942284933,0.313624954142239,0.0333029266896708,0.227974574422319,0.340541816270547,0.103768097311837,0.17125447751164
"Navy","pTopline",0.0232917058023509,0.025325647894615,0.0341796029789192,0.0469373194273723,0.0272696713703266,0.0354117285443439,0.0287977881234963,0.024950879881009,0.0268191044563308,0.0325375852375351,0.0233214839978364,0.0287017556473688,0.0317382654859736,0.0370598814760016,0.0315407655611416,0.0263865817177211,0.021035217377377,0.0148512753917267,0.0173672952893097,0.0171597019360209,0.0123356327953531,0.0170926283722078
"Navy","pAircraft",0.109461503058547,0.139830075679444,0.173597463550901,0.191418246828916,0.119240787370677,0.143561968979582,0.122927742423946,0.113245486485505,0.121137086806056,0.144003905490495,0.106372613150217,0.141714273556818,0.133714547171395,0.149106536230252,0.145941866869757,0.131008556577706,0.0912894013927764,0.0680178761079311,0.0831158820786151,0.0747137581532825,0.0681328518878427,0.0837763046812143
