"Fiscal_Year","SubCustomer","type","Action_Obligation_OMB23_GDP21","Action_Obligation_OMB23_GDP21.lagged","amount_change","Action_Obligation_OMB23_GDP21.2000","baseline_change","amount_percent_change","baseline_percent_change"
2015,"DLA","Topline",34420922946.7371,36199404553.974,-1778481607.23692,14727836081.5909,19693086865.1462,-0.049130134297794,1.33713376194902
2015,"Navy","Engines",4327783276.9656,3177633872.89287,1150149404.07273,1263872297.94853,3063910979.01707,0.361951518041204,2.42422512463507
2015,"Navy","Topline",94677397387.7644,94333930834.3022,343433092.703436,62222771030.4979,32454626357.2665,0.003640610432175,0.521587608841128
2016,"Air Force","Engines",1076937934.39605,1168520638.70441,-91582704.3083525,3341073252.78117,-2264135318.38512,-0.0783749137797811,-0.67766706895768
2016,"Air Force","Topline",72143904692.2785,59070403297.3986,13073501394.8799,58352469213.8231,13791435478.4553,0.221320672707437,0.236347076040927
2016,"Army","Engines",391822325.231903,124376993.677442,267445331.554461,1032405549.59342,-640583224.361516,2.15027975549924,-0.620476347316992
2016,"Army","Topline",82429297540.4263,81109743968.3173,1315583150.53859,56620882464.0461,25808415076.3802,0.0162197916819029,0.4558108943775
2016,"DLA","Engines",932495301.001169,761124319.512342,171370981.488827,579516667.894779,352978633.10639,0.225155046416893,0.609091425081288
2016,"DLA","Topline",33519930672.1863,34420922946.7371,-900992274.550762,14727836081.5909,18792094590.5954,-0.0261757151586248,1.27595761430864
2016,"Navy","Engines",5140102041.16373,4327783276.9656,812318764.198135,1263872297.94853,3876229743.21521,0.187698577357526,3.06694730908097
2016,"Navy","Topline",103053340616.665,94677397387.7644,8375943228.9004,62222771030.4979,40830569586.1669,0.088468245431331,0.656199794865358
2017,"Air Force","Engines",1402083143.23405,1076937934.39605,325145208.837992,3341073252.78117,-1938990109.54712,0.301916385757489,-0.580349475406765
2017,"Air Force","Topline",66501323107.1035,72143904692.2785,-5642581585.175,58352469213.8231,8148853893.28033,-0.0782128664818293,0.139648827257338
2017,"Army","Engines",1152161124.7114,391822325.231903,760338799.479495,1032405549.59342,119755575.117979,1.94051933878316,0.115996640240012
2017,"Army","Topline",85681891653.4565,82429297540.4263,3252594113.03017,56620882464.0461,29061009189.4104,0.0394591997030544,0.513256027188624
2017,"DLA","Engines",1161635384.13643,932495301.001169,229140083.135263,579516667.894779,582118716.241653,0.245727868965396,1.004490031937
2017,"DLA","Topline",38517293933.9698,33519930672.1863,4997363261.7835,14727836081.5909,23789457852.3789,0.149086324511111,1.61527176976899
2017,"Navy","Engines",1916296608.00132,5140102041.16373,-3223805433.16242,1263872297.94853,652424310.052789,-0.627187049468096,0.516210625956263
2017,"Navy","Topline",119318077334.494,103053340616.665,16264736717.829,62222771030.4979,57095306303.9959,0.157828330653833,0.917595043718177
2018,"Air Force","Engines",913511599.439551,1402083143.23405,-488571543.794494,3341073252.78117,-2427561653.34162,-0.348461178035102,-0.726581391569572
2018,"Air Force","Topline",76027642236.4893,66501323107.1035,9526319129.38583,58352469213.8231,17675173022.6662,0.143250069085742,0.302903600495437
2018,"Army","Engines",1231475332.61709,1151962725.62557,79512606.9915173,809767749.750248,421707582.866841,0.0690235935788097,0.520775966932378
2018,"Army","Topline",97573479765.3102,85681891653.4565,11891588111.8538,56620882464.0461,40952597301.2641,0.138787646752125,0.723277270135604
2018,"DLA","Engines",1565482695.06279,1161635384.13643,403847310.926355,579516667.894779,985966027.168008,0.347654105962498,1.7013592219008
2018,"DLA","Topline",48460626000.0126,38517293933.9698,9943332066.04273,14727836081.5909,33732789918.4217,0.2581524050752,2.29041046706013
2018,"Navy","Engines",3717734830.15588,1916296608.00132,1801438222.15456,1263872297.94853,2453862532.20735,0.940062313231068,1.94154309433823
2018,"Navy","Topline",115355414036.523,119318077334.494,-3962663297.97048,62222771030.4979,53132643006.0254,-0.0332109214839394,0.853909945283261
