"","year","aircraft","amount","engine_type","engine_number","type_list","engine_spec_record_count","takeoff_weight","speed","range","ceiling","climb_rate","thrust_weight_aircraft","engine","engine_company","thrust","pressure_ratio","engine_weight","thrust_weight_engine","intro_year","age"
"79",1974,"T-39",139,"Turbojet",2,"Transport, Trainer",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1975,-1
"80",1975,"C-130",561,"Turboprop",4,"Recon, Transport",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1980,-5
"81",1975,"C-135",17,"Turbofan",4,"Recon, Transport",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1980,-5
"82",1976,"C-130",585,"Turboprop",4,"Recon, Transport",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1980,-4
"83",1976,"C-135",17,"Turbofan",4,"Recon, Transport",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1980,-4
"84",1977,"C-130",576,"Turboprop",4,"Recon, Transport",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1980,-3
"85",1977,"C-135",15,"Turbofan",4,"Recon, Transport",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1980,-3
"86",1978,"C-130",572,"Turboprop",4,"Recon, Transport",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1980,-2
"87",1978,"C-135",15,"Turbofan",4,"Recon, Transport",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1980,-2
"88",1979,"C-130",570,"Turboprop",4,"Recon, Transport",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1980,-1
"89",1979,"C-135",15,"Turbofan",4,"Recon, Transport",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1980,-1
"90",1985,"TC-135",1,"Turbofan",4,"Recon, Trainer",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,-25
"91",1986,"TC-135",1,"Turbofan",4,"Recon, Trainer",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,-24
"92",1987,"TC-135",1,"Turbofan",4,"Recon, Trainer",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,-23
"93",1993,"TC-135",3,"Turbofan",4,"Recon, Trainer",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,-17
"94",1994,"TC-135",3,"Turbofan",4,"Recon, Trainer",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,-16
"95",1995,"TC-135",2,"Turbofan",4,"Recon, Trainer",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,-15
