"","year","aircraft","amount"
"1",1950,"C-121_1","10"
"2",1951,"C-121_1","10"
"3",1952,"C-121_1","10"
"4",1953,"C-121_1","10"
"5",1954,"C-121_1","10"
"6",1955,"C-121_1","11"
"7",1956,"C-121_1","47"
"8",1957,"C-121_1","44"
"9",1958,"C-121_1","44"
"10",1959,"C-121_1","73"
"11",1960,"C-121_1","73"
"12",1961,"C-121_1","73"
"13",1962,"C-121_1","73"
"14",1963,"C-121_1","73"
"15",1964,"C-121_1","71"
"16",1965,"C-121_1","71"
"17",1966,"C-121_1","69"
"18",1967,"C-121_1","66"
"19",1968,"C-121_1","57"
"20",1969,"C-121_1","55"
"21",1970,"C-121_1","50"
"22",1971,"C-121_1","47"
"23",1972,"C-121_1","37"
"24",1973,"C-121_1","8"
"25",1974,"C-121_1","7"
"26",1975,"C-121_1","0"
"27",1976,"C-121_1","0"
"28",1977,"C-121_1","0"
"29",1978,"C-121_1","0"
"30",1979,"C-121_1","0"
"31",1980,"C-121_1","0"
"32",1981,"C-121_1","0"
"33",1982,"C-121_1","0"
"34",1983,"C-121_1","0"
"35",1984,"C-121_1","0"
"36",1985,"C-121_1","0"
"37",1986,"C-121_1","0"
"38",1987,"C-121_1","0"
"39",1988,"C-121_1","0"
"40",1989,"C-121_1","0"
"41",1990,"C-121_1","0"
"42",1991,"C-121_1","0"
"43",1992,"C-121_1","0"
"44",1993,"C-121_1","0"
"45",1994,"C-121_1","0"
"46",1995,"C-121_1","0"
"47",1996,"C-121_1","0"
"48",1997,"C-121_1","0"
"49",1998,"C-121_1","0"
"50",1999,"C-121_1","0"
"51",2000,"C-121_1","0"
"52",2001,"C-121_1","0"
"53",2002,"C-121_1","0"
"54",2003,"C-121_1","0"
"55",2004,"C-121_1","0"
"56",2005,"C-121_1","0"
"57",2006,"C-121_1","0"
"58",2007,"C-121_1","0"
"59",2008,"C-121_1","0"
"60",2009,"C-121_1","0"
"61",2010,"C-121_1","0"
"62",2011,"C-121_1","0"
"63",2012,"C-121_1","0"
"64",2013,"C-121_1","0"
"65",2014,"C-121_1","0"
"66",2015,"C-121_1","0"
"67",2016,"C-121_1","0"
"68",1950,"C-130_1","0"
"69",1951,"C-130_1","0"
"70",1952,"C-130_1","0"
"71",1953,"C-130_1","0"
"72",1954,"C-130_1","0"
"73",1955,"C-130_1","0"
"74",1956,"C-130_1","29"
"75",1957,"C-130_1","112"
"76",1958,"C-130_1","185"
"77",1959,"C-130_1","211"
"78",1960,"C-130_1","253"
"79",1961,"C-130_1","278"
"80",1962,"C-130_1","330"
"81",1963,"C-130_1","405"
"82",1964,"C-130_1","550"
"83",1965,"C-130_1","619"
"84",1966,"C-130_1","617"
"85",1967,"C-130_1","607"
"86",1968,"C-130_1","588"
"87",1969,"C-130_1","572"
"88",1970,"C-130_1","575"
"89",1971,"C-130_1","561"
"90",1972,"C-130_1","554"
"91",1973,"C-130_1","518"
"92",1974,"C-130_1","531"
"93",1975,"C-130_1","561"
"94",1976,"C-130_1","585"
"95",1977,"C-130_1","576"
"96",1978,"C-130_1","572"
"97",1979,"C-130_1","570"
"98",1980,"C-130_1","577"
"99",1981,"C-130_1","580"
"100",1982,"C-130_1","581"
"101",1983,"C-130_1","583"
"102",1984,"C-130_1","583"
"103",1985,"C-130_1","586"
"104",1986,"C-130_1","603"
"105",1987,"C-130_1","598"
"106",1988,"C-130_1","589"
"107",1989,"C-130_1","584"
"108",1990,"C-130_1","568"
"109",1991,"C-130_1","576"
"110",1992,"C-130_1","550"
"111",1993,"C-130_1","519"
"112",1994,"C-130_1","518"
"113",1995,"C-130_1","522"
"114",1996,"C-130_1","529"
"115",1997,"C-130_1","525"
"116",1998,"C-130_1","519"
"117",1999,"C-130_1","522"
"118",2000,"C-130_1","526"
"119",2001,"C-130_1","519"
"120",2002,"C-130_1","521"
"121",2003,"C-130_1","512"
"122",2004,"C-130_1","497"
"123",2005,"C-130_1","480"
"124",2006,"C-130_1","488"
"125",2007,"C-130_1","440"
"126",2008,"C-130_1","418"
"127",2009,"C-130_1","404"
"128",2010,"C-130_1","387"
"129",2011,"C-130_1","367"
"130",2012,"C-130_1","369"
"131",2013,"C-130_1","361"
"132",2014,"C-130_1","361"
"133",2015,"C-130_1","349"
"134",2016,"C-130_1","325"
"135",1950,"C-135_1","0"
"136",1951,"C-135_1","0"
"137",1952,"C-135_1","0"
"138",1953,"C-135_1","0"
"139",1954,"C-135_1","0"
"140",1955,"C-135_1","0"
"141",1956,"C-135_1","0"
"142",1957,"C-135_1","0"
"143",1958,"C-135_1","0"
"144",1959,"C-135_1","0"
"145",1960,"C-135_1","0"
"146",1961,"C-135_1","0"
"147",1962,"C-135_1","40"
"148",1963,"C-135_1","44"
"149",1964,"C-135_1","43"
"150",1965,"C-135_1","43"
"151",1966,"C-135_1","29"
"152",1967,"C-135_1","19"
"153",1968,"C-135_1","17"
"154",1969,"C-135_1","12"
"155",1970,"C-135_1","11"
"156",1971,"C-135_1","10"
"157",1972,"C-135_1","9"
