"","aircraft","engine_type","engine_number","takeoff_weight","speed","range","ceiling","climb_rate","thrust_weight_aircraft","engine","engine_company","thrust","pressure_ratio","engine_weight","thrust_weight_engine","type_count","record_count"
"1","B-36","Radial",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"2","B-36","Turbojet",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"3","C-123","Radial",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"4","C-123","Turbojet",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"5","KC-97","Radial",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"6","KC-97","Turbojet",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"7","NT-29","Radial",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"8","NT-29","Radial",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
