"","aircraft","engine_type","engine_number","type_count","record_count","takeoff_weight","speed","range","ceiling","climb_rate","thrust_weight_aircraft","engine","engine_company","thrust","pressure_ratio","engine_weight","thrust_weight_engine"
"1","319A","Turbofan",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","A-1","Radial",1,1,1,25000,322,1316,28500,2850,NA,NA,NA,NA,NA,NA,NA
"3","A-10","Turbofan",2,1,1,51000,518,800,37000,6000,0.36,"TF34-GE-100","GE",9065,20,1443,6.28
"4","A-26","Radial",2,1,1,35000,355,1400,22000,1250,NA,NA,NA,NA,NA,NA,NA
"5","A-3","Turbojet",2,1,1,82000,610,2100,41000,1000,0.51,"J57-P-10","PW",17200,11.5,5175,3.32
"6","A-37","Turbojet",2,1,1,14000,507,920,41765,6990,0.47,"J85-GE-17A","GE",3100,8.3,421,7.36
"7","A-4","Turbojet",1,1,1,24500,673,2000,42250,8440,0.51,"J52-P8A","PW",11200,14.6,2318,4.83
"8","A-7","Turbofan",1,1,1,41998,690,1231,42000,1500,0.5,"TF41-A-2","Allison",14250,20,2949.241071,4.83
"9","A-9","Turbofan",2,1,1,41000,520,1231,42000,5000,0.5,"YF102-LD-100","Lycoming",7500,20,1336,5.61
"10","AC-119","Radial",2,1,1,62000,210,1930,23300,1010,NA,NA,NA,NA,NA,NA,NA
"11","AC-123","Turboprop",2,1,1,60000,228,1035,21100,1220,NA,NA,NA,NA,NA,NA,NA
"12","AC-130","Turboprop",4,1,1,155000,300,1300,30000,1830,NA,NA,NA,NA,NA,NA,NA
"13","AC-47","Radial",2,1,1,33000,230,2175,24450,1052.631579,NA,NA,NA,NA,NA,NA,NA
"14","AMST","Turbofan",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","AT-33","Turbojet",1,1,1,15061,600,1275,48000,4870,0.549910341,"J33-A-35","Allison",4600,4.1,1820,2.53
"16","AT-38","Turbojet",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","B-1","Turbofan",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","B-17","Radial",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","B-2","Turbofan",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","B-25","Radial",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","B-26","Radial",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","B-29","Radial",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","B-36",NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","B-45","Turbojet",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","B-47","Turbojet",6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","B-50","Radial",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","B-52","Turbofan",8,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","B-57","Turbojet",2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","B-58","Turbojet",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","B-66","Turbojet",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","C-117","Radial",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","C-118","Radial",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","C-119","Radial",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","C-12","Turboprop",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","C-121","Radial",4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","C-122","Radial",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","C-123",NA,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","C-124","Radial",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","C-125","Radial",3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","C-129","Radial",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","C-130","Turboprop",4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","C-131","Radial",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","C-133","Turboprop",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","C-134","Radial",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","C-135","Turbofan",4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","C-137","Turbofan",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","C-140","Turbofan",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","C-141","Turbofan",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","C-17","Turbofan",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","C-18","Turbofan",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
