year,A-1,A-3,A-4,A-7,A-9,A-10,A-26,A-37,AC-47,AC-119,AC-123,AC-130,AT-33,F-3,F-4,F-5,F-6,F-8,F-11,F-15,F-16,F-24,F-47,F-51,F-80,F-82,F-84,F-86,F-89,F-94,F-100,F-101,F-102,F-104,F-105,F-106,F-107,F-111,F-117,F-22A,FH-1,F-35A,MiG-15,N-156,NA-37,S-2,TF-15,XF-4,YA-37,YAT-28,YF-4,YF-5,YF-15,YF-16/17,YF-84,YF-117,B-1,B-2,B-17,B-25,B-26,B-29,B-36,B-45,B-47,B-50,B-52,B-57,B-58,B-66,FB-111,JD-1,P2V-5,XB-70,B-57,C-121,C-130,C-135,DC-130,E-3,E-4,E-8,E-9,E-11,E-47,EA-1,EB-47,EB-57,EB-66,EC-18,EC-47,EC-54,EC-121,EC-130,EC-135,EF-111,ER-47,ET-29,JRB-57,MC-12,MC/WC-130,MC-130,MQ-9,OC/WC-135,OV-10,R-47,RB-17,RB-25,RB-26,RB-29,RB-36,RB-45,RB-47,RB-50,RB-52,RB-57,RB-66,RC-45,RC-47,RC-54,RC-121,RC-130,RC-135,RF-4,RF-51,RF-80,RF-84,RF-86,RF-101,RF-104,RF-111,M/RQ-1,RQ-4,RT-33,SR-71,TC-130,TC-135,TE-8,TR-1,TU-2,U-2,WB-26,WB-29,WB-47,WB-50,WB-57,WB-66,WC-130,OC-135,WC-135,WT-33,YRB-58,YRF-4,KB-29,KB-50,KC-10,KC-97,KC-119,KC-135,NKC-135,HC-130,YKB-29J,319A,AMST,C/AC/VC-47,C-5,C-6,C-7,C-8,C-9,C-12,C-17,C-18,C-20,C-21,C-22,C-23,C-26,C-27,C-32,C-37,C-38,C-40,C-41,C-45,C-46,C-47,C-53,C-54,C-64,C-74,C-82,C-97,C-99,C-117,C-118,C-119,C-121,C-122,C-123,C-124,C-125,C-129,C-130,C-131,C-133,C-134,C-135,C-137,C-140,C-141,CB-17,CB-25,CB-26,CT/T-39,CT-29,CV-22,DC-130,EC-121,EC-137,LC-130,MC-130,NC-130,NC-135,NC-141,NT-29,NT/T-39,RC-130,T-39,VB-17,VB-25,VB-26,VC-6,VC-9,VC-25,VC-47,VC-53,VC-54,VC-97,VC-117,VC-118,VC-121,VC-123,VC-131,VC-135,VC-137,VC-140,VT-29,WV-2,XC-8,XC-142,H/HH/UH-1,HOK-1,HUL-1,TH-1,YAO-1,YH-1,HSS-2,YHO-2,H/HH/CH-3,H-5,YOH-6,H-12,H/UH-13,OH-13,H-16,YH-16,H-18,H/HH/UH-19,H/HH/CH-21,H-23,H-24,H-32,H/HH/CH/SH/UH-34,H-37,H-39,H-40,XH-40,YH-40,YH-41,H/HH-43,CH-47,H/HH/CH-53,H/HH-60,AT-38,C/T-43,CT-39,DT-33,LT-6,NT-29,T-1,T-3,T-6,T-7,T-11,T-28,T-29,T-33,T-34,T-35,T-37,T-38,T-39,T-41,T-46,T-51,T-53,TB-17,TB-25,TB-26,TB-29,TB-45,TB-47,TB-50,TB-57,TB-58,TC-18,TC-45,TC-46,TC-47,TC-54,TC-121,TC-130,TC-135,TF-47,TF-51,TF-80,TF-84,TF-86,TF-101,TF-102,TG-3,TG-4,TG-7,TG-9,TG-10,TG-11,TG-14,TH-5,TRF-51,TV-2,UV-18,YAT-37
Type,FighterAttack,FighterAttack,FighterAttack,FighterAttack,FighterAttack,FighterAttack,FighterAttack,FighterAttack,FighterAttack,FighterAttack,FighterAttack,FighterAttack,FighterAttack,FighterAttack,FighterAttack,FighterAttack,FighterAttack,FighterAttack,FighterAttack,FighterAttack,FighterAttack,FighterAttack,FighterAttack,FighterAttack,FighterAttack,FighterAttack,FighterAttack,FighterAttack,FighterAttack,FighterAttack,FighterAttack,FighterAttack,FighterAttack,FighterAttack,FighterAttack,FighterAttack,FighterAttack,FighterAttack,FighterAttack,FighterAttack,FighterAttack,,FighterAttack,FighterAttack,FighterAttack,FighterAttack,FighterAttack,FighterAttack,FighterAttack,FighterAttack,FighterAttack,FighterAttack,FighterAttack,FighterAttack,FighterAttack,FighterAttack,Bomber,Bomber,Bomber,Bomber,Bomber,Bomber,Bomber,Bomber,Bomber,Bomber,Bomber,Bomber,Bomber,Bomber,Bomber,Bomber,Bomber,Bomber,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,,,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,Recon,,,Recon,Recon,Recon,Tanker,Tanker,Tanker,Tanker,Tanker,Tanker,Tanker,Tanker,Tanker,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Transport,Helicopter,Helicopter,Helicopter,Helicopter,Helicopter,Helicopter,Helicopter,Helicopter,Helicopter,Helicopter,Helicopter,Helicopter,Helicopter,Helicopter,Helicopter,Helicopter,Helicopter,Helicopter,Helicopter,Helicopter,Helicopter,Helicopter,Helicopter,Helicopter,Helicopter,Helicopter,Helicopter,Helicopter,Helicopter,Helicopter,Helicopter,Helicopter,Helicopter,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer
Year of Introduction,1963,1968,1964,1968,1973,1973,1966,1967,1966,1968,1969,1969,1967,1958,1963,1963,1966,1960,1958,1974,1975,1951,1942,1942,1945,1946,1947,1949,1950,1949,1954,1956,1955,1956,1956,1957,1957,1965,1988,1998,1956,2010,1954,1960,1980,1967,1975,1956,1959,1964,1969,1969,1996,1974,1956,1996,1976,1990,1938,1941,1941,1944,1949,1948,1951,1948,1956,1954,1958,1956,1968,1951,1958,1965,1975,1977,1980,1980,1974,1977,1975,1993,1993,2012,1962,1967,1963,1966,1966,1985,1963,1963,1963,1977,1965,1975,1962,1967,1968,2009,1971,1977,2004,1966,1968,1962,1938,1941,1941,1944,1949,1951,1953,1948,1955,1954,1955,1940,1941,1942,1954,1959,1964,1964,1942,1945,1953,1952,1956,1963,1968,1997,2003,1961,1975,2010,2010,2000,1982,1997,1975,1953,1951,1958,1956,1972,1957,1966,2010,2010,1957,1959,1964,1948,1956,1981,1951,1953,1957,1993,,1952,1957,1977,1962,1970,1974,1967,1974,1969,1976,1991,1982,1984,1984,1984,1985,2004,1991,1998,2001,1998,2002,2001,1937,1941,1942,1942,1942,1941,1946,1944,1947,1957,1942,1947,1947,1947,1951,1953,1950,1952,1951,1956,1954,1956,1957,1962,1977,1964,1964,1938,1941,1941,1978,1961,2005,1969,1962,1997,1996,1966,1997,2001,1997,1968,1990,1977,1975,1938,1941,1941,1967,1975,1990,1955,1959,1958,1962,1958,1958,1958,1972,1958,1969,1959,1962,1953,1962,1973,1966,1961,1957,1962,1967,1963,1958,1963,1959,1963,1945,1969,1952,1946,1965,1956,1958,1951,1950,1954,1951,1951,1957,1956,1958,1956,1959,1963,1958,1958,1959,1963,1967,1983,1997,1973,1988,1969,1954,1970,1993,1994,1936,1937,1937,1950,1950,1948,1951,1951,1956,1959,1961,1965,1985,2005,2012,1938,1941,1942,1942,1953,1953,1951,1957,1961,1994,1952,1940,1941,1952,1959,2002,1985,1941,1940,1945,1958,1955,1962,1956,1990,1989,1984,1988,1996,1995,2002,1945,1942,1957,1977,1967
