Engine,Thrust (at Intermediate Rating Point) (kg/second),Specific Fuel Consump- tion,Overall Pressure Ratio,Rotor Inlet Temper- ature (FÂº),Thrust- to- Weight Ratio,Air Flow (lbs/ second), Dry Weight (lbs),After- burner (Yes=1/ No=0),Full- Scale Test Hours,Low-Rate Production Release,  Contract Award
TF30P-3,"10,750",0.63,17.1,"2,174",4.77,233,"3,880",1,"15,908",Jul-65,Sep-59
TF30P-8,"12,200",0.68,18.8,"2,035",4.83,256,"2,526",0,"13,217",Mar-67,Nov-65
TF30P-12/12A,"12,290",0.69,17.5,"2,100",5.03,247,"4,027",1,"7,808",Apr-68,Nov-65
TF30P-7,"12,350",0.69,17.5,"2,070",4.94,242,"4,121",1,"7,967",Mar-69,Apr-68
TF30P-408,"13,400",0.64,18.8,"2,090",5.15,256,"2,602",0,"9,717",May-70,Mar-69
TF30P-412,"12,350",0.69,19.8,"2,150",5.27,242,"3,969",1,"6,233",Mar-71,Oct-69
TF30P-100/111,"14,560",0.69,21.8,"2,055",6.24,260,"4,022",1,"1,933",Jul-71,Jan-70
TF30P-414A,"12,350",0.69,19.8,"2,150",5.27,242,"3,969",1,"32,817",Sep-81,Oct-78
TF33P-1/3,"17,000",0.52,13,"1,600",4.36,450,"3,900",0,"2,500",Apr-60,Jan-58
TF34GE-2,"8,165",0.35,21.9,"2,054",5.75,318,"1,421",0,"11,200",Aug-72,Mar-68
TF34GE-100,"7,990",0.36,19.8,"2,234",5.6,314,"1,427",0,"4,100",Aug-74,Jun-72
TF34GE-400,"8,159",0.35,21.9,"2,142",5.52,338.3,"1,478",0,"10,367",Mar-85,N/A
TF39A-1,"37,751",0.32,22,"2,380",4.78,1444,"7,900",0,"8,660",Jul-69,Sep-66
SPEY 202,"12,250",0.64,16.9,"2,043",4.94,234,"4,093",1,"48,500",Nov-67,Jun-65
TF41A-1,"14,500",0.65,21,"2,157",4.57,260,"3,175",0,"3,050",Dec-68,Sep-66
TF41A-2,"15,000",0.66,21.4,"2,157",4.62,263,"3,246",0,"3,700",Jul-69,Sep-68
TF41A-402,"15,000",0.66,21.4,"2,157",4.55,263,"3,296",0,"24,561",Jun-87,N/A
F100PW-100,"14,690",0.72,27.7,"2,565",7.8,228,"3,056",1,"13,305",Oct-73,Mar-70
F100PW-220,"14,590",0.73,25,"2,600",7.16,224,"3,179",1,"37,989",Jun-85,Jun-81
F100PW-229,"16,999",0.7,26.9,"2,730",8.53,248,"3,400",1,"3,000",Sep-88,Jun-85
F101GE-100,"17,200",0.58,26.5,"2,550",7.02,352,"4,382",1,"11,200",Jun-76,Jun-70
F109GA-100,"1,330",0.39,20.7,"1,976",3.33,52.3,400,0,"10,180",Sep-85,Jul-82
F110GE-100,"14,020",0.67,29.9,"2,405",7.01,260,"3,830",1,"5,522",Jan-85,Jan-81
F110GE-400,"16,333",0.69,29.9,"2,528",6.11,261.2,"4,412",1,"4,749",N/A,May-84
F110GE-129,"17,084",0.68,31.2,"2,484",7.41,267,"3,980",1,"2,100",Sep-88,Jun-85
F117PW-100,"40,000",0.35,29.5,"2,400",5.58,1226,"7,164",0,"2,900",Feb-87,Apr-84
F119PW-100,"20,500",0.8,26,"3,000",7.95,270,"3,900",1,"13,325",Jan-93,Nov-88
F120GE-100,"20,300",0.8,24,"3,000",8.13,275,"4,000",1,"13,905",Jan-93,Nov-88
Pegasus 5,"15,500",0.63,13.7,"1,990",4.59,394,"3,380",0,"4,000",Oct-64,Oct-62
Pegasus 6,"19,000",0.64,13.8,"2,160",5.29,409,"3,591",0,"6,500",Oct-68,Oct-66
F402RR-401,"20,500",0.65,14.7,"2,215",5.51,409,"3,720",0,5700,Jun-71,May-69
F402RR-406,"21,500",0.66,14.7,"2,260",5.7,437,"3,770",0,"8,300",N/A,N/A
F402RR-408,"23,390",0.75,15.5,"2,467",6,459,"3,900",0,"2,301",N/A,Sep-87
F404GE-400,"10,600",0.81,24,"2,459",7.48,140,"2,140",1,"14,900",Jun-79,Nov-75
F404GE-400D,"10,800",0.82,25,"2,534",6.02,142,"1,795",0,"11,400",N/A,Mar-85
F404GE-RM12,"11,500",0.7,26,"2,535",7.79,150,"2,310",1,"5,250",Dec-87,Jun-81
F414GE-400,"14,327",0.84,27.2,"2,757",8.68,174,"2,445",1,"10,463",Nov-96,N/A
JT8D-9,"14,500",0.6,15.9,"1,720",4.46,318,"3,252",0,"6,067",Jan-63,Mar-60
JT9D-3,"43,600",0.37,21.5,"2,300",4.93,"1,510","8,850",0,"4,800",Jan-70,Jun-66
JT9D-7,"45,600",0.36,22.3,"2,350",5.15,"1,535","8,850",0,"13,100",Jun-71,N/A
F105PW-100,"45,600",0.36,22.3,"2,405",5.15,"1,535","8,850",0,N/A,Jun-71,Aug-67
JT9D-59A,"53,000",0.37,24.5,"2,400",5.99,"1,640","8,850",0,"23,600",Dec-74,N/A
JT9D-7Q,"53,000",0.37,24.5,"2,400",5.7,"1,640","9,295",0,"22,500",Oct-78,N/A
JT9D-7R4D,"48,000",0.34,23,"2,320",5.39,"1,575","8,905",0,"14,300",Nov-80,N/A
