FYDP Year,Type,Force,Program Number,Program Name,Project Number,Project Name,2007,2008,2009,2010,2011,2012,2013
2009,RDT&E,Air Force,0601102F,Defense Research Sciences,2308,Propulsion,20.499,21.144,25.432,25.732,26.956,27.431,27.847
2009,RDT&E,Air Force,0602102F,Materials,4347,"Materials for Structures, Propulsion, and Subsystems",70.723,73.257,44.313,52.955,54.892,56.284,55.495
2009,RDT&E,Air Force,0602203F,Aerospace Propulsion,3012,Advanced Propulsion Technology,29.077,21.844,18.055,17.057,22.924,19.949,20.446
2009,RDT&E,Air Force,0602203F,Aerospace Propulsion,3048,Fuels and Lubrication,24.022,30.752,25.497,24.963,19.197,19.981,20.697
2009,RDT&E,Air Force,0602203F,Aerospace Propulsion,3066,Turbine Engine Technology,48.345,56.247,87.771,71.314,49.947,47.101,49.024
2009,RDT&E,Air Force,0603216F,Aerospace Propulsion and Power Technology,2480,Aerospace Fuels,17.979,8.666,11.387,12.203,10.646,8.416,8.546
2009,RDT&E,Air Force,0603216F,Aerospace Propulsion and Power Technology,4921,Aircraft Propulsion Subsystems Int,27.413,24.696,42.383,39.537,53.046,21.284,20.137
2009,RDT&E,Air Force,0603216F,Aerospace Propulsion and Power Technology,681B,Advanced Turbine Engine Gas Generator,26.662,34.279,56.624,69.118,44.387,32.141,30.238
2009,RDT&E,Navy,0604214N,AV-8B Aircraft - Engineering Development,652,AV-8B,20.902,17.011,25.915,14.571,12.313,12.547,12.818
2009,RDT&E,Navy,0205633N,Aviation Improvements,1355,A/C Eng Comp Imp (CIP),57.37,56.379,59.963,59.246,60.41,60.945,62.093
2009,RDT&E,Army,0601102A,Defense Research Sciences,F20,Adv Propulsion,1.929,2.184,3.332,3.28,3.321,3.363,4.078
2009,RDT&E,Army,0602211A,Aviation Technology,47B,Veh Prop & Struct Tech,4.261,4.147,4.252,4.301,4.325,4.421,4.52
2009,RDT&E,Army,0603003A,Aviation Advanced Technology,447,Acft Demo Engines,8.051,8.453,8.64,9.834,10.2,10.428,10.662
2009,RDT&E,Army,0203752A,Aircraft Engine Component Improvement Program,NA,Aircraft Engine Component Improvement Program (USA),0.836,1.467,0.332,NA,NA,NA,NA
2009,RDT&E,Air Force,0207268F,Aircraft Engine Component Improvement Program (CIP),1012,Aircraft Engine Component Improvement Program,152.969,138.159,150.956,162.111,167.502,170.448,173.933
