FYDP Year,Type,Force,Program Number,Program Name,Project Number,Project Name,2010,2011,2012,2013,2014,2015,2016
2012,RDT&E,Air Force,0602102F,Materials,624347,"Materials for Structures, Propulsion, and Subsystems",109.378,84.865,81.915,81.785,81.117,81.449,81.449
2012,RDT&E,Air Force,0601102F,Defense Research Sciences,612308,Propulsion,31.164,34.022,NA,NA,NA,NA,NA
2012,RDT&E,Air Force,0602203F,Aerospace Propulsion,623012,Advanced Propulsion Technology,17.061,22.859,20.377,23.095,20.688,21.16,21.553
2012,RDT&E,Air Force,0602203F,Aerospace Propulsion,623048,Combustion and Mechanical Systems,19.171,18.679,20.079,18.925,16.579,15.712,15.999
2012,RDT&E,Air Force,0602203F,Aerospace Propulsion,623066,Turbine Engine Technology,60.738,67.274,67.735,63.495,53.969,50.376,51.301
2012,RDT&E,Air Force,0602203F,Aerospace Propulsion,625330,Aerospace Fuel Technology,6.744,6.679,6.242,6.54,6.534,6.505,6.624
2012,RDT&E,Air Force,0603216F,Aerospace Propulsion and Power Technology,632480,Aerospace Fuels,27.254,9.393,6.77,6.619,7.539,7.828,7.956
2012,RDT&E,Air Force,0603216F,Aerospace Propulsion and Power Technology,634921,Aircraft Propulsion Subsystems Int,38.383,41.403,17.713,17.874,17.567,19.144,19.458
2012,RDT&E,Air Force,0603216F,Aerospace Propulsion and Power Technology,63681B,Advanced Turbine Engine Gas Generator,56.168,34.766,32.996,34.179,27.26,28.903,29.378
2012,RDT&E,Navy,0604214N,AV-8B Aircraft - Engine Dev,652,AV-8B,20.659,22.867,30.676,23.763,26.862,24.932,17.021
2012,RDT&E,Navy,0205633N,Aviation Improvements,1355,Propulsion and Power Component Improvement Program,63.769,75.583,62.379,83.611,82.31,86.775,90.451
2012,RDT&E,Army,0601102A,Defense Research Sciences,F20,Adv Propulsion Rsch,3.303,3.429,3.996,4.193,4.272,4.355,4.429
2012,RDT&E,Army,0602211A,Aviation Technology,47B,Veh Prop & Struct Tech,4.221,5.448,5.576,5.681,6.212,6.555,6.938
2012,RDT&E,Army,0603003A,Aviation Advanced Technology,447,Acft Demo Engines,17.264,10.943,9.635,9.813,9.998,10.167,10.34
2012,RDT&E,Army,0203752A,Aircraft Engine Component Improvement Program,106,A/C Compon Improv Prog,0.767,0.71,0.823,0.889,0.422,0.328,0.332
2012,RDT&E,Air Force,0207268F,Aircraft Engine Component Improvement Program (CIP),671012,Aircraft Engine Component Improvement Program,147.2,120.626,151.093,148.857,155.171,122.392,129.406
2012,RDT&E,Air Force,0207268F,Aircraft Engine Component Improvement Program (CIP),675365,F-35,NA,26.77,31.874,31.689,31.532,31.36,31.913
