FYDP Year,Type,Force,Program Number,Program Name,Project Number,Project Name,2013,2014,2015,2016,2017,2018,2019
2015,RDT&E,Air Force,0602102F,Materials,624347,"Materials for Structures, Propulsion, and Subsystems",60.945,64.381,34.776,47.697,44.806,45.524,44.472
2015,RDT&E,Air Force,0602203F,Aerospace Propulsion,623012,Advanced Propulsion Technology,21.275,22.304,17.646,20.415,23.074,23.643,24.301
2015,RDT&E,Air Force,0602203F,Aerospace Propulsion,623048,Combustion and Mechanical Systems,14.29,13.235,12.008,12.123,12.278,12.507,12.748
2015,RDT&E,Air Force,0602203F,Aerospace Propulsion,623066,Turbine Engine Technology,91.999,77.444,57.245,63.292,50.298,53.808,54.416
2015,RDT&E,Air Force,0602203F,Aerospace Propulsion,625330,Aerospace Fuel Technology,4.944,5.325,4.971,5.022,5.126,5.226,5.325
2015,RDT&E,Air Force,0603216F,Aerospace Propulsion and Power Technology,632480,Aerospace Fuels,3.195,2.452,2.275,4.11,2.28,2.321,4.109
2015,RDT&E,Air Force,0603216F,Aerospace Propulsion and Power Technology,634921,Aircraft Propulsion Subsystems Int,69.342,64.16,53.675,77.407,19.914,18.051,20.481
2015,RDT&E,Air Force,0603216F,Aerospace Propulsion and Power Technology,63681B,Advanced Turbine Engine Gas Generator,31.039,32.287,9.065,18.239,19.692,18.555,25.875
2015,RDT&E,Air Force,0207268F,Aircraft Engine Component Improvement Program,671012,Aircraft Engine Component Improvement Program,113.829,70.069,78.69,116.053,119.053,121.379,123.69
2015,RDT&E,Air Force,0207268F,Aircraft Engine Component Improvement Program,675365,F-35,0.973,19.3,30.974,31.548,32.134,32.762,33.386
2015,RDT&E,Navy,0604214N,AV-8B Aircraft - Engine Dev,652,AV-8B,16.128,33.325,25.372,48.325,22.693,17.358,17.701
2015,RDT&E,Navy,0205633N,Aviation Improvements,1355,Propulsion and Power Component Improvement Program,51.589,61.393,87.15,93.75,95.612,110.039,112.171
2015,RDT&E,Army,0601102A,Defense Research Sciences,F20,Adv Propulsion Rsch,3.886,4.253,4.108,4.184,4.239,4.309,4.391
2015,RDT&E,Army,0602211A,Aviation Technology,47B,Veh Prop & Struct Tech,5.201,6.8,8.024,8.561,9.815,10.496,10.765
2015,RDT&E,Army,0603003A,Aviation Advanced Technology,447,ACFT Demo Engines ,8.869,8.272,8.254,8.276,4.979,6.131,6.187
2015,RDT&E,Army,0203752A,Aircraft Engine Component Improvement Program,106,A/C Compon Improv Prog,0.804,0.315,0.381,0.366,0.326,0.146,0.149
