FYDP Year,Type,Force,Program Number,Program Name,Project Number,Project Name,2004,2005,2006,2007,2008,2009,2010,2011
2006,RDT&E,Air Force,0602102F,Materials,4347,"Materials for Structures, Propulsion, and Subsystems",62.966,72.909,42.499,46.522,47.696,45.328,45.561,45.757
2006,RDT&E,Air Force,0601102F,Defense Research Sciences,2308,Propulsion,15.418,16.715,17.043,18.064,17.783,18.184,18.528,18.839
2006,RDT&E,Air Force,0602203F,Aerospace Propulsion,3012,Advanced Propulsion Technology,16.681,13.094,18.876,23.974,22.228,22.654,23.038,23.392
2006,RDT&E,Air Force,0602203F,Aerospace Propulsion,3048,Fuels and Lubrication,17.54,16.098,14.371,16.255,12.842,13.553,13.674,13.774
2006,RDT&E,Air Force,0602203F,Aerospace Propulsion,3066,Turbine Engine Technology,31.341,34.345,32.095,31.6,33.881,35.948,36.398,36.806
2006,RDT&E,Air Force,0603216F,Aerospace Propulsion and Power Technology,2480,Aerospace Fuels,3.352,0.371,0.196,2.834,4.743,5.156,5.262,5.358
2006,RDT&E,Air Force,0603216F,Aerospace Propulsion and Power Technology,4921,Aircraft Propulsion Subsystems Int,26.887,22.42,18.43,14.172,24.777,26.841,27.408,27.918
2006,RDT&E,Air Force,0603216F,Aerospace Propulsion and Power Technology,681B,Advanced Turbine Engine Gas Generator,27.192,25.954,24.775,25.532,25.546,27.706,28.287,28.812
2006,RDT&E,Air Force,0207268F,Aircraft Engine Componenet Improvement Program (CIP),1012,Aircraft Engine Component Improvement Program (USAF),169.947,164.15,153.265,151.722,155.692,158.632,162.996,167.425
2006,RDT&E,Navy,0604214N,AV-8B Aircraft,652,AV-8B,10.34,13.14,15.556,13.949,12.703,16.535,12.621,12.376
2006,RDT&E,Navy,0205633N,Aviation Improvements,1355,Aircraft Engine Component Improvement Program (USN),47.523,51.962,68.81,58.095,58.065,58.744,58.725,60.113
2006,RDT&E,Army,0601102A,Defense Research Sciences,F20,Adv Propulsion Rsch,1.881,2.041,2.133,2.218,2.24,2.232,2.251,2.267
2006,RDT&E,Army,0602211A,Aviation Technology,47B,Veh Prop & Struct Tech,3.646,3.906,4.057,4.167,4.247,4.289,4.323,4.353
2006,RDT&E,Army,0603003A,Aviation Advanced Technology,447,Acft Demo Engines,6.652,6.877,7.653,8.076,8.46,8.585,9.759,10.122
2006,RDT&E,Army,0203752A,Aircraft Engine Component Improvement Program,106,A/C Compon Improv Prog,5.285,7.121,2.066,6.702,8.454,9.303,10.756,10.674
