FYDP.Year,Type,Program.Number,Program.Name,Project.Number,Project.Name,FY,Amount
2003,RDT&E,604800,F135,0,F135,2001,0
2003,RDT&E,604800,F135,0,F135,2002,792
2003,RDT&E,604800,F135,0,F135,2003,760
2003,RDT&E,604800,F135,0,F135,2004,848.1338385
2003,RDT&E,604800,F135,0,F135,2005,1089.231786
2003,RDT&E,604800,F135,0,F135,2006,869.574829
2003,RDT&E,604800,F135,0,F135,2007,739.240371
2004,RDT&E,604800,F135,0,F135,2002,763.242
2004,RDT&E,604800,F135,0,F135,2003,754.256
2004,RDT&E,604800,F135,0,F135,2004,738
2004,RDT&E,604800,F135,0,F135,2005,755.3546907
2004,RDT&E,604800,F135,0,F135,2006,674.7812969
2004,RDT&E,604800,F135,0,F135,2007,555.8217262
2004,RDT&E,604800,F135,0,F135,2008,441.5224273
2004,RDT&E,604800,F135,0,F135,2009,355.6126004
2005,RDT&E,604800,F135,0,F135,2003,833.127
2005,RDT&E,604800,F135,0,F135,2004,694.114
2005,RDT&E,604800,F135,0,F135,2005,921
2005,RDT&E,604800,F135,0,F135,2006,1003.94934
2005,RDT&E,604800,F135,0,F135,2007,903.5343622
2005,RDT&E,604800,F135,0,F135,2008,833.6343419
2005,RDT&E,604800,F135,0,F135,2009,665.231678
2006,RDT&E,604800,F135,0,F135,2004,868.969
2006,RDT&E,604800,F135,0,F135,2005,797
2006,RDT&E,604800,F135,0,F135,2006,711
2006,RDT&E,604800,F135,0,F135,2007,421
2006,RDT&E,604800,F135,0,F135,2008,362.6731739
2006,RDT&E,604800,F135,0,F135,2009,291.005681
2006,RDT&E,604800,F135,0,F135,2010,234.0397907
2006,RDT&E,604800,F135,0,F135,2011,149.580103
2007,RDT&E,604800,F135,0,F135,2005,956.382
2007,RDT&E,604800,F135,0,F135,2006,846.726
2007,RDT&E,604800,F135,0,F135,2007,593.9
2007,RDT&E,604800,F135,0,F135,2008,503.9520203
2007,RDT&E,604800,F135,0,F135,2009,400.3346263
2007,RDT&E,604800,F135,0,F135,2010,313.0846601
2007,RDT&E,604800,F135,0,F135,2011,203.1893889
2008,RDT&E,604800,F135,0,F135,2006,741.955
2008,RDT&E,604800,F135,0,F135,2007,718.995
2008,RDT&E,604800,F135,0,F135,2008,623.395
2008,RDT&E,604800,F135,0,F135,2009,386.545
2008,RDT&E,604800,F135,0,F135,2010,273.1726726
2008,RDT&E,604800,F135,0,F135,2011,229.8342387
2008,RDT&E,604800,F135,0,F135,2012,214.7608796
2008,RDT&E,604800,F135,0,F135,2013,175.0383086
2009,RDT&E,604800,F135,0,F135,2007,754.246
2009,RDT&E,604800,F135,0,F135,2008,715
2009,RDT&E,604800,F135,0,F135,2009,439
2009,RDT&E,604800,F135,0,F135,2010,309.2969015
2009,RDT&E,604800,F135,0,F135,2011,260.7538143
2009,RDT&E,604800,F135,0,F135,2012,243.9683491
2009,RDT&E,604800,F135,0,F135,2013,199.0700071
2010,RDT&E,604800,F135,0,F135,2008,654.258
2010,RDT&E,604800,F135,0,F135,2009,594.154
2010,RDT&E,604800,F135,0,F135,2010,405
2011,RDT&E,604800,F135,0,F135,2009,507.209
2011,RDT&E,604800,F135,0,F135,2010,636.978
2011,RDT&E,604800,F135,0,F135,2011,211.828
2011,RDT&E,604800,F135,0,F135,2012,211.52528
2011,RDT&E,604800,F135,0,F135,2013,163.1377098
2011,RDT&E,604800,F135,0,F135,2014,94.08110463
2011,RDT&E,604800,F135,0,F135,2015,30.21435242
2012,RDT&E,604800,F135,0,F135,2010,458.329
2012,RDT&E,604800,F135,0,F135,2011,360
2012,RDT&E,604800,F135,0,F135,2012,360
2012,RDT&E,604800,F135,0,F135,2013,354.08916
2012,RDT&E,604800,F135,0,F135,2014,311.3852475
2012,RDT&E,604800,F135,0,F135,2015,236.8633015
2012,RDT&E,604800,F135,0,F135,2016,170.4632796
2013,RDT&E,604800,F135,0,F135,2011,375.628
2013,RDT&E,604800,F135,0,F135,2012,360
2013,RDT&E,604800,F135,0,F135,2013,359.618
2013,RDT&E,604800,F135,0,F135,2014,322.5690591
2013,RDT&E,604800,F135,0,F135,2015,238.7229108
2013,RDT&E,604800,F135,0,F135,2016,171.3363792
2013,RDT&E,604800,F135,0,F135,2017,114.5747861
2014,RDT&E,604800,F135,0,F135,2012,277.559
2014,RDT&E,604800,F135,0,F135,2013,359.618
2014,RDT&E,604800,F135,0,F135,2014,399.749
2014,RDT&E,604800,F135,0,F135,2015,394.3515539
2014,RDT&E,604800,F135,0,F135,2016,310.4047848
2014,RDT&E,604800,F135,0,F135,2017,151.893982
2014,RDT&E,604800,F135,0,F135,2018,44.46388048
2015,RDT&E,604800,F135,0,F135,2013,340.219
2015,RDT&E,604800,F135,0,F135,2014,359.749
2015,RDT&E,604800,F135,0,F135,2015,229.175
2015,RDT&E,604800,F135,0,F135,2016,240.9146953
2015,RDT&E,604800,F135,0,F135,2017,171.2895072
2015,RDT&E,604800,F135,0,F135,2018,33.30092587
2015,RDT&E,604800,F135,0,F135,2019,1.826201943
2016,RDT&E,604800,F135,0,F135,2014,148.826
2016,RDT&E,604800,F135,0,F135,2015,195.378
2016,RDT&E,604800,F135,0,F135,2016,177.048
2016,RDT&E,604800,F135,0,F135,2017,153.1289881
2016,RDT&E,604800,F135,0,F135,2018,24.10702273
2016,RDT&E,604800,F135,0,F135,2019,1.561544348
2016,RDT&E,604800,F135,0,F135,2020,1.652458667
2017,RDT&E,604800,F135,0,F135,2015,200.22
2017,RDT&E,604800,F135,0,F135,2016,174.733
2017,RDT&E,604800,F135,0,F135,2017,55.381
2017,RDT&E,604800,F135,0,F135,2018,7.240674202
2017,RDT&E,604800,F135,0,F135,2019,0.528361683
2017,RDT&E,604800,F135,0,F135,2020,0.31989729
2017,RDT&E,604800,F135,0,F135,2021,0.21125706
2018,RDT&E,604800,F135,0,F135,2016,123.198
2018,RDT&E,604800,F135,0,F135,2017,120
2018,RDT&E,604800,F135,0,F135,2018,0
2018,RDT&E,604800,F135,0,F135,2019,0
2018,RDT&E,604800,F135,0,F135,2020,0
2018,RDT&E,604800,F135,0,F135,2021,0
2018,RDT&E,604800,F135,0,F135,2022,0
2019,RDT&E,604800,F135,0,F135,2017,120
2019,RDT&E,604800,F135,0,F135,2018,0
2019,RDT&E,604800,F135,0,F135,2019,0
2019,RDT&E,604800,F135,0,F135,2020,0
2019,RDT&E,604800,F135,0,F135,2021,0
2019,RDT&E,604800,F135,0,F135,2022,0
2019,RDT&E,604800,F135,0,F135,2023,0
