"","fy","project_name","amount"
"1",1998,"ACFT Demo Engines",5.964e+12
"2",1999,"ACFT Demo Engines",6.291e+12
"3",2000,"ACFT Demo Engines",6.757e+12
"4",2001,"ACFT Demo Engines",6.637e+12
"5",2002,"ACFT Demo Engines",9.993e+12
"6",2003,"ACFT Demo Engines",6.364e+12
"7",2004,"ACFT Demo Engines",6.652e+12
"8",2005,"ACFT Demo Engines",6.873e+12
"9",2006,"ACFT Demo Engines",7.356e+12
"10",2007,"ACFT Demo Engines",8.051e+12
"11",2008,"ACFT Demo Engines",1.0593e+13
"12",2009,"ACFT Demo Engines",1.1281e+13
"13",2010,"ACFT Demo Engines",1.7264e+13
"14",2011,"ACFT Demo Engines",1.057e+13
"15",2012,"ACFT Demo Engines",8.149e+12
"16",2013,"ACFT Demo Engines",8.869e+12
"17",2014,"ACFT Demo Engines",8.03e+12
"18",2015,"ACFT Demo Engines",7.975e+12
"19",2016,"ACFT Demo Engines",7.891e+12
"20",2017,"ACFT Demo Engines",4.947e+12
"21",2018,"ACFT Demo Engines",6.097e+12
"22",1998,"Advanced Aerospace Propulsion",1.2757e+13
"23",1999,"Advanced Aerospace Propulsion",1.3766e+13
"24",2000,"Advanced Aerospace Propulsion",1.9577e+13
"25",2001,"Advanced Aerospace Propulsion",2.0937e+13
"26",2002,"Advanced Aerospace Propulsion",2.206e+13
"27",2003,"Advanced Aerospace Propulsion",2.2554e+13
"28",2004,"Advanced Aerospace Propulsion",1.5418e+13
"29",2005,"Advanced Aerospace Propulsion",1.6524e+13
"30",2006,"Advanced Aerospace Propulsion",2.1276e+13
"31",2007,"Advanced Aerospace Propulsion",2.0499e+13
"32",2008,"Advanced Aerospace Propulsion",2.0145e+13
"33",2009,"Advanced Aerospace Propulsion",0
"34",2010,"Advanced Aerospace Propulsion",3.1164e+13
"35",2011,"Advanced Aerospace Propulsion",3.3329e+13
"36",2012,"Advanced Aerospace Propulsion",2.8416e+13
"37",2013,"Advanced Aerospace Propulsion",0
"38",2014,"Advanced Aerospace Propulsion",0
"39",2015,"Advanced Aerospace Propulsion",0
"40",2016,"Advanced Aerospace Propulsion",2.2599e+13
"41",2017,"Advanced Aerospace Propulsion",2.5013e+13
"42",2018,"Advanced Aerospace Propulsion",2.8797e+13
"43",1998,"Advanced Propulsion Research",2.282e+12
"44",1999,"Advanced Propulsion Research",2.042e+12
"45",2000,"Advanced Propulsion Research",2.423e+12
"46",2001,"Advanced Propulsion Research",2.472e+12
"47",2002,"Advanced Propulsion Research",2.462e+12
"48",2003,"Advanced Propulsion Research",2.439e+12
"49",2004,"Advanced Propulsion Research",1.881e+12
"50",2005,"Advanced Propulsion Research",2.04e+12
"51",2006,"Advanced Propulsion Research",1.996e+12
"52",2007,"Advanced Propulsion Research",1.929e+12
"53",2008,"Advanced Propulsion Research",2.185e+12
"54",2009,"Advanced Propulsion Research",3.299e+12
"55",2010,"Advanced Propulsion Research",3.303e+12
"56",2011,"Advanced Propulsion Research",3.348e+12
"57",2012,"Advanced Propulsion Research",3.94e+12
"58",2013,"Advanced Propulsion Research",3.886e+12
"59",2014,"Advanced Propulsion Research",4.2e+12
"60",2015,"Advanced Propulsion Research",4.054e+12
"61",2016,"Advanced Propulsion Research",4.097e+12
"62",2017,"Advanced Propulsion Research",4.22e+12
"63",2018,"Advanced Propulsion Research",3.46e+12
"64",1998,"Advanced Propulsion Technology",1.683e+12
"65",1999,"Advanced Propulsion Technology",2.003e+12
"66",2000,"Advanced Propulsion Technology",0
"67",2001,"Advanced Propulsion Technology",0
"68",2002,"Advanced Propulsion Technology",1.8435e+13
"69",2003,"Advanced Propulsion Technology",1.4701e+13
"70",2004,"Advanced Propulsion Technology",1.6681e+13
"71",2005,"Advanced Propulsion Technology",1.214e+13
"72",2006,"Advanced Propulsion Technology",1.9272e+13
"73",2007,"Advanced Propulsion Technology",2.9077e+13
"74",2008,"Advanced Propulsion Technology",2.1133e+13
"75",2009,"Advanced Propulsion Technology",1.7276e+13
"76",2010,"Advanced Propulsion Technology",1.7061e+13
"77",2011,"Advanced Propulsion Technology",2.2074e+13
"78",2012,"Advanced Propulsion Technology",2.0009e+13
"79",2013,"Advanced Propulsion Technology",2.1275e+13
"80",2014,"Advanced Propulsion Technology",2.181e+13
"81",2015,"Advanced Propulsion Technology",1.725e+13
"82",2016,"Advanced Propulsion Technology",1.9074e+13
"83",2017,"Advanced Propulsion Technology",2.7095e+13
"84",2018,"Advanced Propulsion Technology",2.8612e+13
"85",1998,"Advanced Turbine Engine Gas Generator",2.6821e+13
"86",1999,"Advanced Turbine Engine Gas Generator",2.8508e+13
"87",2000,"Advanced Turbine Engine Gas Generator",3.1841e+13
"88",2001,"Advanced Turbine Engine Gas Generator",3.5617e+13
