"","fydp_year","account","organization","program_number","program_name","project_number","project_name","fy","amount","amount_18","stage"
"18","2000 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","681B","Advanced Turbine Engine Gas Generator",1999,31427000,NA,"Advanced Technology Development"
"19","2000 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","2480","Aerospace Fuels",1999,2052000,NA,"Advanced Technology Development"
"20","2000 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","D447","ACFT Demo Engines",1999,6584000,NA,"Advanced Technology Development"
"21","2000 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","W1355","Aircraft Engine Component Improvement Program (USN)",1999,46167000,NA,"Operational Systems Development"
"22","2000 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","1012","Aircraft Engine Component Improvement Program (USAF)",1999,96589000,NA,"Operational Systems Development"
"23","2000 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","D106","Aircraft Engine Component Improvement Program (USA)",1999,6901000,NA,"Operational Systems Development"
"24","2000 FYDP","RDT&E","Air Force","0603202F","Aerospace Propulsion Subsystem Integration","668A","Aircraft Propulsion Subsystems Int",1999,27722000,NA,"Advanced Technology Development"
"25","2000 FYDP","RDT&E","Navy","0604214N","AV8B Airraft (Eng)","H0652","AV-8B",1999,2069000,NA,"System Development & Demonstration"
"26","2000 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3048","Combustion and Mechanical Systems",1999,11569000,NA,"Applied Research"
"27","2000 FYDP","RDT&E","Air Force","0602102F","Materials","4347","Materials for Structures, Propulsion, and Subsystems",1999,43862000,NA,"Applied Research"
"28","2000 FYDP","RDT&E","Air Force","0601102F","Defense Research Sciences","2308","Advanced Aerospace Propulsion",1999,14629000,NA,"Advanced Technology Development"
"29","2000 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3066","Turbine Engine Technology",1999,36078000,NA,"Applied Research"
"30","2000 FYDP","RDT&E","Army","0602211A","Aviation Technology","A47B","Veh Prop & Struct Tech",1999,3090000,NA,"Applied Research"
"31","2000 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","AF20","Advanced Propulsion Research",2000,2426000,3.41789959495534,"Basic Research"
"32","2000 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3012","Advanced Propulsion Technology",2000,0,0,"Applied Research"
"33","2000 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","681B","Advanced Turbine Engine Gas Generator",2000,33406000,47.0644492452919,"Advanced Technology Development"
"34","2000 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","2480","Aerospace Fuels",2000,2210000,3.11358536885874,"Advanced Technology Development"
"35","2000 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","D447","ACFT Demo Engines",2000,6992000,9.8507642077196,"Advanced Technology Development"
"36","2000 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","W1355","Aircraft Engine Component Improvement Program (USN)",2000,39714000,55.9515517370389,"Operational Systems Development"
"37","2000 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","1012","Aircraft Engine Component Improvement Program (USAF)",2000,160212000,225.716624034207,"Operational Systems Development"
"38","2000 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","D106","Aircraft Engine Component Improvement Program (USA)",2000,2900000,4.08570025777844,"Operational Systems Development"
"39","2000 FYDP","RDT&E","Air Force","0603202F","Aerospace Propulsion Subsystem Integration","668A","Aircraft Propulsion Subsystems Int",2000,29825000,42.0193138580145,"Advanced Technology Development"
"40","2000 FYDP","RDT&E","Navy","0604214N","AV8B Airraft (Eng)","H0652","AV-8B",2000,763000,1.07496182644309,"System Development & Demonstration"
"41","2000 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3048","Combustion and Mechanical Systems",2000,8415000,11.8555750583467,"Applied Research"
"42","2000 FYDP","RDT&E","Air Force","0602102F","Materials","4347","Materials for Structures, Propulsion, and Subsystems",2000,37946000,53.4606834419519,"Applied Research"
"43","2000 FYDP","RDT&E","Air Force","0601102F","Defense Research Sciences","2308","Advanced Aerospace Propulsion",2000,17263000,24.3211874310445,"Advanced Technology Development"
"44","2000 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3066","Turbine Engine Technology",2000,41421000,58.3564794404968,"Applied Research"
"45","2000 FYDP","RDT&E","Army","0602211A","Aviation Technology","A47B","Veh Prop & Struct Tech",2000,3261000,4.59429949676396,"Applied Research"
"46","2000 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","AF20","Advanced Propulsion Research",2001,2504000,3.44532630055423,"Basic Research"
"47","2000 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3012","Advanced Propulsion Technology",2001,0,0,"Applied Research"
"48","2000 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","681B","Advanced Turbine Engine Gas Generator",2001,34380000,47.3044401809323,"Advanced Technology Development"
"49","2000 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","2480","Aerospace Fuels",2001,2170000,2.98576600327583,"Advanced Technology Development"
"50","2000 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","D447","ACFT Demo Engines",2001,6940000,9.5489474943476,"Advanced Technology Development"
"51","2000 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","W1355","Aircraft Engine Component Improvement Program (USN)",2001,47526000,65.3924032588421,"Operational Systems Development"
"52","2000 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","1012","Aircraft Engine Component Improvement Program (USAF)",2001,168410000,231.720208576813,"Operational Systems Development"
"53","2000 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","D106","Aircraft Engine Component Improvement Program (USA)",2001,2946000,4.05348693347954,"Operational Systems Development"
"54","2000 FYDP","RDT&E","Air Force","0603202F","Aerospace Propulsion Subsystem Integration","668A","Aircraft Propulsion Subsystems Int",2001,31022000,42.6840704855405,"Advanced Technology Development"
"55","2000 FYDP","RDT&E","Navy","0604214N","AV8B Airraft (Eng)","H0652","AV-8B",2001,13640000,18.767672020591,"System Development & Demonstration"
"56","2000 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3048","Combustion and Mechanical Systems",2001,9036000,12.4328947491246,"Applied Research"
"57","2000 FYDP","RDT&E","Air Force","0602102F","Materials","4347","Materials for Structures, Propulsion, and Subsystems",2001,40752000,56.0718599840999,"Applied Research"
"58","2000 FYDP","RDT&E","Air Force","0601102F","Defense Research Sciences","2308","Advanced Aerospace Propulsion",2001,16553000,22.7757532959562,"Advanced Technology Development"
"59","2000 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3066","Turbine Engine Technology",2001,42055000,57.8646955150992,"Applied Research"
"60","2000 FYDP","RDT&E","Army","0602211A","Aviation Technology","A47B","Veh Prop & Struct Tech",2001,3568000,4.90931479248303,"Applied Research"
"61","2000 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","AF20","Advanced Propulsion Research",2002,2608000,3.53127568728028,"Basic Research"
"62","2000 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3012","Advanced Propulsion Technology",2002,0,0,"Applied Research"
"63","2000 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","681B","Advanced Turbine Engine Gas Generator",2002,32084000,43.4422734473545,"Advanced Technology Development"
"64","2000 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","2480","Aerospace Fuels",2002,3087000,4.17984971113275,"Advanced Technology Development"
"65","2000 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","D447","ACFT Demo Engines",2002,6844000,9.26689064560822,"Advanced Technology Development"
"66","2000 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","W1355","Aircraft Engine Component Improvement Program (USN)",2002,41628000,56.3650093213587,"Operational Systems Development"
"67","2000 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","1012","Aircraft Engine Component Improvement Program (USAF)",2002,175598000,237.762633487363,"Operational Systems Development"
"68","2000 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","D106","Aircraft Engine Component Improvement Program (USA)",2002,3132000,4.24078046493935,"Operational Systems Development"
"69","2000 FYDP","RDT&E","Air Force","0603202F","Aerospace Propulsion Subsystem Integration","668A","Aircraft Propulsion Subsystems Int",2002,25495000,34.520657073317,"Advanced Technology Development"
"70","2000 FYDP","RDT&E","Navy","0604214N","AV8B Airraft (Eng)","H0652","AV-8B",2002,20479000,27.728909049008,"System Development & Demonstration"
"71","2000 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3048","Combustion and Mechanical Systems",2002,9392000,12.716925327813,"Applied Research"
"72","2000 FYDP","RDT&E","Air Force","0602102F","Materials","4347","Materials for Structures, Propulsion, and Subsystems",2002,39659000,53.6989503381321,"Applied Research"
"73","2000 FYDP","RDT&E","Air Force","0601102F","Defense Research Sciences","2308","Advanced Aerospace Propulsion",2002,16633000,22.5213606236706,"Advanced Technology Development"
"74","2000 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3066","Turbine Engine Technology",2002,39867000,53.9805858223937,"Applied Research"
"75","2000 FYDP","RDT&E","Army","0602211A","Aviation Technology","A47B","Veh Prop & Struct Tech",2002,3681000,4.98413566137987,"Applied Research"
"76","2000 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","AF20","Advanced Propulsion Research",2003,3006000,3.99384975092648,"Basic Research"
"77","2000 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3012","Advanced Propulsion Technology",2003,0,0,"Applied Research"
"78","2000 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","681B","Advanced Turbine Engine Gas Generator",2003,27627000,36.7059504553712,"Advanced Technology Development"
"79","2000 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","2480","Aerospace Fuels",2003,3193000,4.24230281261087,"Advanced Technology Development"
"80","2000 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","D447","ACFT Demo Engines",2003,6819000,9.05990068249091,"Advanced Technology Development"
"81","2000 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","W1355","Aircraft Engine Component Improvement Program (USN)",2003,37373000,49.654739434922,"Operational Systems Development"
"82","2000 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","1012","Aircraft Engine Component Improvement Program (USAF)",2003,187853000,249.586379660942,"Operational Systems Development"
"83","2000 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","D106","Aircraft Engine Component Improvement Program (USA)",2003,3202000,4.25426044659568,"Operational Systems Development"
"84","2000 FYDP","RDT&E","Air Force","0603202F","Aerospace Propulsion Subsystem Integration","668A","Aircraft Propulsion Subsystems Int",2003,20027000,26.6083928681985,"Advanced Technology Development"
"85","2000 FYDP","RDT&E","Navy","0604214N","AV8B Airraft (Eng)","H0652","AV-8B",2003,1818000,2.41544206493159,"System Development & Demonstration"
"86","2000 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3048","Combustion and Mechanical Systems",2003,14181000,18.8412452820654,"Applied Research"
"87","2000 FYDP","RDT&E","Air Force","0602102F","Materials","4347","Materials for Structures, Propulsion, and Subsystems",2003,40587000,53.9249433934974,"Applied Research"
"88","2000 FYDP","RDT&E","Air Force","0601102F","Defense Research Sciences","2308","Advanced Aerospace Propulsion",2003,16950000,22.5202106713918,"Advanced Technology Development"
"89","2000 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3066","Turbine Engine Technology",2003,36710000,48.773860398041,"Applied Research"
"90","2000 FYDP","RDT&E","Army","0602211A","Aviation Technology","A47B","Veh Prop & Struct Tech",2003,3851000,5.1165387195003,"Applied Research"
"91","2000 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","AF20","Advanced Propulsion Research",2004,3235000,4.19420874275215,"Basic Research"
"92","2000 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3012","Advanced Propulsion Technology",2004,0,0,"Applied Research"
"93","2000 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","681B","Advanced Turbine Engine Gas Generator",2004,21894000,28.3857824463108,"Advanced Technology Development"
"94","2000 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","2480","Aerospace Fuels",2004,3260000,4.22662148419536,"Advanced Technology Development"
"95","2000 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","D447","ACFT Demo Engines",2004,7103000,9.20910809884653,"Advanced Technology Development"
"96","2000 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","W1355","Aircraft Engine Component Improvement Program (USN)",2004,73135000,94.8202338179841,"Operational Systems Development"
"97","2000 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","1012","Aircraft Engine Component Improvement Program (USAF)",2004,213089000,276.271946455738,"Operational Systems Development"
"98","2000 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","D106","Aircraft Engine Component Improvement Program (USA)",2004,3382000,4.38479566243826,"Operational Systems Development"
"99","2000 FYDP","RDT&E","Air Force","0603202F","Aerospace Propulsion Subsystem Integration","668A","Aircraft Propulsion Subsystems Int",2004,13766000,17.8477519482925,"Advanced Technology Development"
"100","2000 FYDP","RDT&E","Navy","0604214N","AV8B Airraft (Eng)","H0652","AV-8B",2004,9026000,11.7022961706587,"System Development & Demonstration"
"101","2000 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3048","Combustion and Mechanical Systems",2004,14629000,18.9666397829123,"Applied Research"
"102","2000 FYDP","RDT&E","Air Force","0602102F","Materials","4347","Materials for Structures, Propulsion, and Subsystems",2004,41785000,54.1746560481912,"Applied Research"
"103","2000 FYDP","RDT&E","Air Force","0601102F","Defense Research Sciences","2308","Advanced Aerospace Propulsion",2004,17447000,22.6202039983916,"Advanced Technology Development"
"104","2000 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3066","Turbine Engine Technology",2004,32179000,41.7203842760499,"Applied Research"
"105","2000 FYDP","RDT&E","Army","0602211A","Aviation Technology","A47B","Veh Prop & Struct Tech",2004,4053000,5.25475364277418,"Applied Research"
"106","2000 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","AF20","Advanced Propulsion Research",2005,3378000,4.24626919297287,"Basic Research"
"107","2000 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3012","Advanced Propulsion Technology",2005,0,0,"Applied Research"
"108","2000 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","681B","Advanced Turbine Engine Gas Generator",2005,22566000,28.3662849640692,"Advanced Technology Development"
"109","2000 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","2480","Aerospace Fuels",2005,3328000,4.18341736951264,"Advanced Technology Development"
"110","2000 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","D447","ACFT Demo Engines",2005,7436000,9.34732318500481,"Advanced Technology Development"
"111","2000 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","W1355","Aircraft Engine Component Improvement Program (USN)",2005,84162000,105.794703321191,"Operational Systems Development"
"112","2000 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","1012","Aircraft Engine Component Improvement Program (USAF)",2005,170449000,214.260609139441,"Operational Systems Development"
"113","2000 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","D106","Aircraft Engine Component Improvement Program (USA)",2005,3463000,4.35311729285525,"Operational Systems Development"
"114","2000 FYDP","RDT&E","Air Force","0603202F","Aerospace Propulsion Subsystem Integration","668A","Aircraft Propulsion Subsystems Int",2005,14197000,17.8461467532966,"Advanced Technology Development"
"115","2000 FYDP","RDT&E","Navy","0604214N","AV8B Airraft (Eng)","H0652","AV-8B",2005,9041000,11.3648667180781,"System Development & Demonstration"
"116","2000 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3048","Combustion and Mechanical Systems",2005,15037000,18.9020573874284,"Applied Research"
"117","2000 FYDP","RDT&E","Air Force","0602102F","Materials","4347","Materials for Structures, Propulsion, and Subsystems",2005,42989000,54.0387407746331,"Applied Research"
"118","2000 FYDP","RDT&E","Air Force","0601102F","Defense Research Sciences","2308","Advanced Aerospace Propulsion",2005,18755000,23.5757189799308,"Advanced Technology Development"
"119","2000 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3066","Turbine Engine Technology",2005,32396000,40.7229534563496,"Applied Research"
"120","2000 FYDP","RDT&E","Army","0602211A","Aviation Technology","A47B","Veh Prop & Struct Tech",2005,4204000,5.2845813165358,"Applied Research"
"121","2001 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","AF20","Advanced Propulsion Research",1999,2042000,NA,"Basic Research"
"122","2001 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623012","Advanced Propulsion Technology",1999,2003000,NA,"Applied Research"
"123","2001 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","63681B","Advanced Turbine Engine Gas Generator",1999,28508000,NA,"Advanced Technology Development"
"124","2001 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","632480","Aerospace Fuels",1999,1904000,NA,"Advanced Technology Development"
"125","2001 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","D106","Aircraft Engine Component Improvement Program (USA)",1999,6543000,NA,"Operational Systems Development"
"126","2001 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","D447","ACFT Demo Engines",1999,6291000,NA,"Advanced Technology Development"
"127","2001 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","W1355","Aircraft Engine Component Improvement Program (USN)",1999,42704000,NA,"Operational Systems Development"
"128","2001 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","671012","Aircraft Engine Component Improvement Program (USAF)",1999,93338000,NA,"Operational Systems Development"
"129","2001 FYDP","RDT&E","Air Force","0603202F","Aerospace Propulsion Subsystems Integration","63668A","Aircraft Propulsion Subsystems Int",1999,25150000,NA,"Advanced Technology Development"
"130","2001 FYDP","RDT&E","Navy","0604214N","AV8B Aircraft (Eng)","H0652","AV-8B",1999,1884000,NA,"System Development & Demonstration"
"131","2001 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623048","Combustion and Mechanical Systems",1999,11246000,NA,"Applied Research"
"132","2001 FYDP","RDT&E","Air Force","0602102F","Materials","624347","Materials for Structures, Propulsion, and Subsystems",1999,41812000,NA,"Applied Research"
"133","2001 FYDP","RDT&E","Air Force","0601102F","Defense Research Sciences","612308","Advanced Aerospace Propulsion",1999,13766000,NA,"Advanced Technology Development"
"134","2001 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623066","Turbine Engine Technology",1999,34782000,NA,"Applied Research"
"135","2001 FYDP","RDT&E","Army","0602211A","Aviation Technology","A47B","Veh Prop & Struct Tech",1999,3061000,NA,"Applied Research"
"136","2001 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","AF20","Advanced Propulsion Research",2000,2422000,3.41226414632392,"Basic Research"
"137","2001 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623012","Advanced Propulsion Technology",2000,0,0,"Applied Research"
"138","2001 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","63681B","Advanced Turbine Engine Gas Generator",2000,33005000,46.4994955199922,"Advanced Technology Development"
"139","2001 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","632480","Aerospace Fuels",2000,2198000,3.09667902296449,"Advanced Technology Development"
"140","2001 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","D106","Aircraft Engine Component Improvement Program (USA)",2000,3859000,5.43679906716103,"Operational Systems Development"
"141","2001 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","D447","ACFT Demo Engines",2000,6940000,9.77750337551116,"Advanced Technology Development"
"142","2001 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","W1355","Aircraft Engine Component Improvement Program (USN)",2000,39495000,55.6430109244688,"Operational Systems Development"
"143","2001 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","671012","Aircraft Engine Component Improvement Program (USAF)",2000,158329000,223.063736590966,"Operational Systems Development"
"144","2001 FYDP","RDT&E","Air Force","0603202F","Aerospace Propulsion Subsystems Integration","63668A","Aircraft Propulsion Subsystems Int",2000,19586000,27.5939742237409,"Advanced Technology Development"
"145","2001 FYDP","RDT&E","Navy","0604214N","AV8B Aircraft (Eng)","H0652","AV-8B",2000,759000,1.06932637781167,"System Development & Demonstration"
"146","2001 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623048","Combustion and Mechanical Systems",2000,11399000,16.059619737385,"Applied Research"
"147","2001 FYDP","RDT&E","Air Force","0602102F","Materials","624347","Materials for Structures, Propulsion, and Subsystems",2000,52526000,74.0018937034725,"Applied Research"
"148","2001 FYDP","RDT&E","Air Force","0601102F","Defense Research Sciences","612308","Advanced Aerospace Propulsion",2000,20027000,28.2152824353548,"Advanced Technology Development"
"149","2001 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623066","Turbine Engine Technology",2000,41098000,57.9014169635097,"Applied Research"
"150","2001 FYDP","RDT&E","Army","0602211A","Aviation Technology","A47B","Veh Prop & Struct Tech",2000,3258000,4.5900729102904,"Applied Research"
"151","2001 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","AF20","Advanced Propulsion Research",2001,2509000,3.45220594572307,"Basic Research"
"152","2001 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623012","Advanced Propulsion Technology",2001,0,0,"Applied Research"
"153","2001 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","63681B","Advanced Turbine Engine Gas Generator",2001,37466000,51.5505571791394,"Advanced Technology Development"
"154","2001 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","632480","Aerospace Fuels",2001,2075000,2.85505274506791,"Advanced Technology Development"
"155","2001 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","D106","Aircraft Engine Component Improvement Program (USA)",2001,2929000,4.03009613990549,"Operational Systems Development"
"156","2001 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","D447","ACFT Demo Engines",2001,6899000,9.49253440396313,"Advanced Technology Development"
"157","2001 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","W1355","Aircraft Engine Component Improvement Program (USN)",2001,39038000,53.7135176202221,"Operational Systems Development"
"158","2001 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","671012","Aircraft Engine Component Improvement Program (USAF)",2001,166926000,229.678329890701,"Operational Systems Development"
"159","2001 FYDP","RDT&E","Air Force","0603202F","Aerospace Propulsion Subsystems Integration","63668A","Aircraft Propulsion Subsystems Int",2001,34440000,47.3869959229584,"Advanced Technology Development"
"160","2001 FYDP","RDT&E","Navy","0604214N","AV8B Aircraft (Eng)","H0652","AV-8B",2001,13371000,18.3975471105075,"System Development & Demonstration"
"161","2001 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623048","Combustion and Mechanical Systems",2001,8016000,11.0294471346816,"Applied Research"
"162","2001 FYDP","RDT&E","Air Force","0602102F","Materials","624347","Materials for Structures, Propulsion, and Subsystems",2001,44127000,60.7156204730658,"Applied Research"
"163","2001 FYDP","RDT&E","Air Force","0601102F","Defense Research Sciences","612308","Advanced Aerospace Propulsion",2001,18648000,25.6583246216994,"Advanced Technology Development"
"164","2001 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623066","Turbine Engine Technology",2001,42091000,57.9142289603148,"Applied Research"
"165","2001 FYDP","RDT&E","Army","0602211A","Aviation Technology","A47B","Veh Prop & Struct Tech",2001,3578000,4.92307408282071,"Applied Research"
"166","2001 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","AF20","Advanced Propulsion Research",2002,2607000,3.52992167052902,"Basic Research"
"167","2001 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623012","Advanced Propulsion Technology",2002,6476000,8.76861248114535,"Applied Research"
"168","2001 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","63681B","Advanced Turbine Engine Gas Generator",2002,34638000,46.9004322300668,"Advanced Technology Development"
"169","2001 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","632480","Aerospace Fuels",2002,2984000,4.0403859857532,"Advanced Technology Development"
"170","2001 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","D106","Aircraft Engine Component Improvement Program (USA)",2002,3108000,4.20828406290917,"Operational Systems Development"
"171","2001 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","D447","ACFT Demo Engines",2002,6797000,9.2032518582991,"Advanced Technology Development"
