"","fydp_year","account","organization","program_number","program_name","project_number","project_name","fy","amount","amount_18","stage"
"1","2000 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","AF20","Advanced Propulsion Research",1998,2282000,NA,"Basic Research"
"2","2000 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3012","Advanced Propulsion Technology",1998,1683000,NA,"Applied Research"
"3","2000 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","681B","Advanced Turbine Engine Gas Generator",1998,26821000,NA,"Advanced Technology Development"
"4","2000 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","2480","Aerospace Fuels",1998,1444000,NA,"Advanced Technology Development"
"5","2000 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","D447","ACFT Demo Engines",1998,5964000,NA,"Advanced Technology Development"
"6","2000 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","W1355","Aircraft Engine Component Improvement Program (USN)",1998,35338000,NA,"Operational Systems Development"
"7","2000 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","1012","Aircraft Engine Component Improvement Program (USAF)",1998,93487000,NA,"Operational Systems Development"
"8","2000 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","D106","Aircraft Engine Component Improvement Program (USA)",1998,2756000,NA,"Operational Systems Development"
"9","2000 FYDP","RDT&E","Air Force","0603202F","Aerospace Propulsion Subsystem Integration","668A","Aircraft Propulsion Subsystems Int",1998,22253000,NA,"Advanced Technology Development"
"10","2000 FYDP","RDT&E","Navy","0604214N","AV8B Airraft (Eng)","H0652","AV-8B",1998,1845000,NA,"System Development & Demonstration"
"11","2000 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3048","Combustion and Mechanical Systems",1998,10629000,NA,"Applied Research"
"12","2000 FYDP","RDT&E","Air Force","0602102F","Materials","4347","Materials for Structures, Propulsion, and Subsystems",1998,39766000,NA,"Applied Research"
"13","2000 FYDP","RDT&E","Air Force","0601102F","Defense Research Sciences","2308","Advanced Aerospace Propulsion",1998,12757000,NA,"Advanced Technology Development"
"14","2000 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3066","Turbine Engine Technology",1998,31682000,NA,"Applied Research"
"15","2000 FYDP","RDT&E","Army","0602211A","Aviation Technology","A47B","Veh Prop & Struct Tech",1998,2675000,NA,"Applied Research"
"16","2000 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","AF20","Advanced Propulsion Research",1999,2068000,NA,"Basic Research"
"17","2000 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3012","Advanced Propulsion Technology",1999,1941000,NA,"Applied Research"
