FYDP Year,Type,Force,Program Number,Program Name,Project Number,Project Name,2003,2004,2005,2006,2007,2008,2009
2005,RDT&E,Air Force,0602102F,Materials,4347,"Materials for Structures, Propulsion, and Subsystems",65.429,64.131,41.057,40.876,45.924,47.644,44.371
2005,RDT&E,Army,0203752A,Aircraft Engine Component Improvement Program,106,A/C Compon Improv Prog,6.759,5.339,2.427,2.575,7.717,9.433,10.388
2005,RDT&E,Army,0603003A,Aviation Advanced Technology,447,Acft Demo Engines,6.364,6.832,7.157,7.959,8.329,8.505,8.701
2005,RDT&E,Army,0601102A,Defense Research Sciences,F20,Adv Propulsion Rsch,2.439,1.882,2.071,2.218,2.262,2.252,2.261
2005,RDT&E,Air Force,0602203F,Aerospace Propulsion,3012,Advanced Propulsion Technology,14.701,13.79,12.211,19.872,25.186,23.526,22.812
2005,RDT&E,Air Force,0603216F,Aerospace Propulsion and Power Technology,681B,Advanced Turbine Engine Gas Generator,31.688,29.05,26.185,26.425,26.914,27.365,27.803
2005,RDT&E,Air Force,0603216F,Aerospace Propulsion and Power Technology,2480,Aerospace Fuels and Atmospheric Propulsion,11.498,3.101,0.374,0.338,3.163,5.359,5.445
2005,RDT&E,Air Force,0207268F,Aircraft Engine Component Improvement Program (CIP),1012,Aircraft Engine Component Improvement Program (USAF),174.205,178.582,165.609,186.996,166.113,170.572,175.265
2005,RDT&E,Navy,0205633N,Aviation Improvements,W1355,Aircraft Engine Component Improvement Program (USN),28.385,48.473,52.436,56.134,54.357,49.471,49.248
2005,RDT&E,Air Force,0603216F,Aerospace Propulsion and Power Technology,4921,Aircraft Propulsion Subsystems Int,33.809,28.6,16.719,19.647,15.036,26.533,26.92
2005,RDT&E,Navy,0604214N,AV-8B Aircraft - Eng Dev,H0652,AV-8B,14.733,8.63,12.284,15.119,11.209,10.375,10.816
2005,RDT&E,Air Force,0602203F,Aerospace Propulsion,3048,Fuels and Lubrication,17.621,16.612,12.841,14.691,16.94,13.392,13.704
2005,RDT&E,Air Force,0601102F,Defense Research Sciences,2308,Propulsion,22.554,15.66,15.864,16.918,17.791,17.675,18.053
2005,RDT&E,Air Force,0602203F,Aerospace Propulsion,3066,Turbine Engine Technology,36.092,36.553,31.749,32.782,32.489,35.282,36.111
2005,RDT&E,Army,0602211A,Aviation Technology,47B,Veh Prop & Struct Tech,3.63,3.65,3.913,4.192,4.264,4.233,4.31
